name,setTime,star,content
呂伯廉,4 週前,1,
Wei Jun WEN,3 個月前,5,
莊勝雄,3 個月前,4,冰淇淋好吃
Al ice,3 個月前,5,
Xinkuan Yeh,4 個月前,5,
新竹阿瑞,4 個月前,1,出發前致電詢問是否可以採草莓，結果開了快40分鐘的車子到現場後，才又和我們說草莓季已經結束了.........==
林川,4 個月前,5,自行車道旁的農園，自製的冰淇淋讓人驚豔，值得品嚐。
張詩淵,4 個月前,5,草莓冰淇淋超好吃的，真材實料，吃的到滿滿的草莓果肉喔！
Joe Yen,5 個月前,4,"桑椹冰很驚艷
場地頗驚恐"
Whitney Chiang,5 個月前,4,
蔡宏欣,6 個月前,5,
彭泰郎,6 個月前,3,
PJ walker,6 個月前,4,環鎮自行車道的一個休息點，冰品吃的到明顯的果肉顆粒，口感、香氣都不錯。至於草莓不見的要自己採，可以繞一下拍個照，再跟老闆買他們採好的，價位比自己在市場、水果店買便宜。至於甜不甜就只能看天氣了
維拉食草,6 個月前,4,"二月初來到這裡採草莓，老闆娘一開始就有說因為季節的關係，現在草莓比較少一些。

草莓園雖然不大片，但交錯走起來都有漂亮的紅色草莓可供剪取，只要顏色夠紅，不分大小顆嚐起來都蠻甜的，一斤500元雖然覺得小貴，但自己採就是特別好吃，採完現場吃有好滿足的感覺☺️

特別提一下，他們家冰淇淋就是定期會去鐵花村擺攤的親山農園，我自己超愛的，夏天很常吃用料實在很推薦喔，記得一定要吃吃看冰淇淋🍦"
楊承達,6 個月前,5,很舒服的大空間，小孩可以跑跳，草莓又很新鮮
Williamㄚ庭,6 個月前,5,草莓好吃
程依故（秀玉）,6 個月前,5,
C.H.,7 個月前,4,草莓冰淇淋真才實料好吃
Evelyn,7 個月前,4,"冰淇淋很好吃
有草莓、桑椹、紅心芭樂、巧克力口味
最喜歡草莓，有優格牛奶酸甜滋味
還有大粒草莓果乾果肉
一直約80偏貴但好吃值得"
chen Hsu,7 個月前,5,"喜歡冰淇淋的好滋味
友善種植的草莓，保有草莓真實的酸甜。"
01,7 個月前,2,2023年2月來訪，自採草莓一斤600元，這價錢應該不太合理？
Kuo Hsiakun,7 個月前,5,冰淇淋是天然的材料
黃大仙（CH Huang）,7 個月前,5,草莓高架化，不用彎腰就可以採收，很棒
古振宏,7 個月前,5,
佳明,7 個月前,3,
阿程,8 個月前,5,每次路過必定繞進來吃的草莓冰跟紅心芭樂冰。
Jimmy Sun,8 個月前,5,親子活動好去處！
qiao qiaoiii,8 個月前,5,冰淇淋好吃
Andy Lee,10 個月前,5,冰淇淋超好吃，吃得到不會太甜又有水果自然的酸味，連餅乾也又脆又好吃。吃了草莓、桑椹、紅芭樂都很驚艷！
CC Lin,10 個月前,5,非草莓季節沒有草莓果肉霜淇淋🍦 …
Chen Luis,11 個月前,5,冰淇淋很好吃
蔡季樺,1 年前,5,
Vincent Yen,1 年前,5,小而美的農場，裡面的手工冰淇淋雖然不便宜但都很好吃，很值得品嚐！！
th chuang,1 年前,5,你們的草莓冰淇淋是我吃過最好吃的！！甜度適中，草莓果肉令人相當滿足🤩 桑椹口味也非常值得推薦！ …
洪陸陸,1 年前,2,冰好吃有果肉，去之前先預約，想採草莓也要先問問。
吳永輝,1 年前,4,
Shiao John,1 年前,5,超大花園 超大活動空間
維尼噗,1 年前,5,離關山市區有點距離，草莓種蠻多的，很難想像這麼熱的地方可以栽植，如果過季也沒關係，店家把草莓加工成冰淇淋，很純很好吃。
Pingyun Lu,1 年前,5,超級好吃冰淇淋，桑椹的有夠桑椹，草莓的很草莓，感覺超越31冰淇淋
Kevin Chen,1 年前,3,
Lydia Tseng,1 年前,5,不錯的體驗
廖文慈,1 年前,4,
范姜士華,1 年前,5,"草莓已入尾聲
量已偏少
味道還是挺香的"
劉青河,1 年前,4,帶小孩走走不錯啦
許原銘,1 年前,5,
Nikki LeLiang,1 年前,4,
李裕平,1 年前,5,
Jing Jing,1 年前,4,他的紙盒子要錢$30有點摳😅 …
林玉婕,1 年前,5,
Pat HU,1 年前,3,旺季採草莓建議先去電詢問，有可能會被採完，且價格不便宜，上次去問採草莓一斤要$450，草莓冰淇淋1支$80。園區不大，一下子就可以逛完。
mm,1 年前,3,
張大膽,1 年前,5,紅心芭樂冰淇淋好吃
黃建中,1 年前,4,
李建邑,1 年前,4,
Claire,1 年前,3,
Yuzn Wang,1 年前,5,
Cindy Hong,1 年前,4,
Huang Benin,1 年前,1,態度差，而且採完才說小朋友剪的那些未成熟的草莓一顆要收10元，整個坐地起價！
I-Chiang Hsu,1 年前,3,
翁源聰,1 年前,3,
郭俊宏,1 年前,3,
正,1 年前,2,"評兩顆星主要是因為草莓冰淇淋還算不錯，然後......
雖然身為台東人，給在地商家差評似乎不太好，不過說真的，這次採草莓的體驗很糟，總結有幾點:
1、草莓數量不多且品相很差；2、價格高出市價很多；3、告示牌及店家未表明收費及採摘規則，事後又藉口祭出罰款(在我看來就是罰款)。糟糕體驗如下:
首先，一進園內明顯可以看出草莓被採收的差不多了，所以也難找到比較漂亮的草，然後一斤400，其實這也沒什麼，主要是帶小孩來體驗而已，於是讓小孩自己挑看上喜歡的草莓自己剪，當然也打算既然採了，即使未成熟也沒關係，反正主要是讓小孩子體驗，到了結帳時才被告知如果摘採未成熟的草莓一顆收取十塊，我說未成熟的我當作成熟的來買下來也不行嗎?店方回復，那個以後都是大草莓耶，說真的，聽到後心裡覺得有點無言..品相好的在裡面還找不到的意思嗎.........
反正是來體驗的，倒也是無所謂，不過如果那樣店家應該要設告示吧，如照片所示，既然都能設立""禁止偷吃""的告示了，多加幾個字禁止採取為成熟草莓應該不難吧，跟店家反應後，店家只回覆""""這是大家都知道的事，他們做這體驗農場已經很吃虧了，草莓要被人摸來摸去的""""，我當下也懶得吵，出去玩為了這點小錢爭吵也沒必要。
不過對他的回覆也難以理解，我相信同類的事應該有遇到過，不設立告示牌的心態是什麼，再加上如果不喜歡草莓被人挑揀，那為什麼要開放體驗??更別說賣的價格也高於市價很多並都只留採收完比較差的，而且，告示牌跟草莓被人挑揀也沒相關聯性吧，更別說我們為了讓小孩體驗，看中哪顆就直接抓著剪了，也沒亂摸阿.....
反正總結就是體驗很差，有機會也不推薦來遊玩的朋友去，真的太坑了。"
Ken Wu,1 年前,3,
Mio Pan,1 年前,4,
蔡東佑,1 年前,4,"草莓冰淇淋很不錯,果肉很多！！ 又有優格的味道，蠻好吃"
王國豪,1 年前,4,
黃夏綿,1 年前,5,"沿路吃吃走走看看，冰淇淋好吃，
繼續往花蓮GoGo"
gigi,1 年前,3,草莓季可以採草莓，但因為來的時候不是草莓季，吃了個冰淇淋(非常好吃唷)
