name,setTime,star,content
Snowman Chen,3 週前,5,
tai chu chen,9 個月前,5,休息好地點，下切台電工寮有水源
スナイビ,1 年前,5,
Ch L,1 年前,5,
廖家歆,1 年前,5,
馬楷鈞,1 年前,4,
林宜瑩,1 年前,5,野營可以享受五星級松針地毯
雪殌,1 年前,4,
165982az,2 年前,5,工作站有床有睡墊，屋後有儲水槽（雨水）
Yu Chi Chen,2 年前,3,
Tien Kenric,2 年前,5,八通關古道上重要的休息點，可容納往來山友的疲累，但要取水相對不容易，必須沿著郡大林道前往附近的瀑布，或是在小營地（往東埔）或11.5k（往觀高）先行取水
蕭嘉偉,3 年前,5,手機訊號不錯
韓吉,3 年前,5,
范陽治,4 年前,5,八通關古道  一個很好的避難躲避山屋   鋼筋混凝土建物
Yao Anthony,4 年前,5,
Bing-jyun Wang,4 年前,3,休息景點。
史賢明,4 年前,3,
miku protozoa (米沽),4 年前,4,八通關古道上平坦的休息空地，可走去觀高工作站
柯志勝,4 年前,4,曾是熱鬧的登山住宿地點  但逐漸地沒落了 (地形崩毀要高繞 法國菊毛地黃都少了 垃圾變多了)
陳和成,5 年前,1,
Chou Chun-Ping,5 年前,5,
黃勝義（James阿義）,5 年前,3,
chen fu、wang miya wang,7 年前,5,"有櫻花！
往東方郡大林道方向距離山上的住宿地點
很近!
住宿地點的水源往南走"
