name,setTime,star,content
蔡繼輝,4 個月前,5,
CY Chang,1 年前,4,"一條讓人覺得放鬆的路，往山的路。
什麼都沒有但也什麼都不需要。"
林林祥,1 年前,3,散散步的好地方！
Jack Kuo,1 年前,3,鄉間，農村，郊外的空曠景緻！
小張,1 年前,4,
湯志強,1 年前,4,
江瑞琪,1 年前,5,
耀玉方（方耀玉）,2 年前,4,好美的山青，可惜電線杆太多
潘靜怡,2 年前,5,阿公家
Tim Yu,2 年前,5,生態豐富的地方
肥龍,2 年前,5,
羅振明,2 年前,4,
莊國華,2 年前,5,離公路不遠很方便
盧智源,3 年前,5,
潘敦仁Danny Pan,3 年前,5,
陳文智,3 年前,5,
muneya Shi,3 年前,5,
王珮璇小姐,3 年前,3,
李均恩,3 年前,2,
汪薛德,3 年前,5,放鬆身心某地方，
練茄煌,3 年前,4,
何浚銨,3 年前,4,
游誌詳（強哥）,3 年前,2,
Wesley JJ,3 年前,5,
李魁恭,3 年前,3,風景不錯
潘睿鴻,4 年前,3,
高政雄,4 年前,3,
李鍊平,4 年前,5,
謝淑娟,4 年前,3,
Dorsoduro Aprilia,4 年前,5,好山好水，安靜的好地方
陸敬樸,4 年前,4,
Rex Wei,4 年前,5,青山瀑布很讚
黃浚祥,4 年前,3,豬槽潭這是放鬆一下健行的好地方點。
lin jerry,4 年前,4,
潘扶明,4 年前,5,
Pearl Yang,4 年前,4,
NeilTim Pan,4 年前,5,景色優美，是個放鬆身心的好地方
Qiubin Cheng,4 年前,3,適合散步賞鳥的自然環境。
湯俊松,5 年前,5,空氣清新，輕鬆自在，可以從這上到青山瀑布
Alan Lu,5 年前,4,青山瀑布步道約走30分鐘即可到達，沿途樹蔭遮日很好走。
趙進興,5 年前,1,
佑阿,5 年前,3,
劉宏毅,5 年前,3,風景還可以，走走不錯
琪琪,5 年前,5,
邱皮卡,5 年前,2,
Ben Tsai,6 年前,5,我的家
aero bird,6 年前,3,北海岸賞鳥，沿路田野，至六和山莊。
