name,setTime,star,content
AMI CHANG,12 小時前,5,視野很好，在這裡看夕陽超美
馮顯志,2 天前,5,很舒服 悠閒的地方
卓騰,2 天前,5,感受到海浪拍打上岸的感受，海風吹拂身心愉快，看到好多人來這邊玩耍，我也光著腳踩在沙灘的觸感，走起路來好費力，也有感受海浪拍打在腳上的衝擊體驗，聞到鹹鹹的海水味，值得親臨現場來感受豬鼻子沙灘的魅力
黃豆漿,6 天前,5,
wayne lo,1 週前,1,這裡簡直就是天堂，前提是如果你想去淨灘
曾欣祥（阿祥）,1 週前,5,垃圾很多 幾乎不會有人
周禹欣,1 週前,5,
Richard Wang,2 週前,3,沒人，尚可。
Willy Willy,2 週前,5,
Ruby Ping,2 週前,5,
水雁,3 週前,5,
M A,3 週前,5,
李庭翰,3 週前,4,風大 燒酒螺很多
Judy Su,3 週前,5,人煙稀少，可以去吹風玩沙的地方。
闇魔陰帝萊達首羌,4 週前,5,看日落的好地方 人偏多 切路況差
poki win,4 週前,4,賞月吹海風的好地方
陳立偉,4 週前,2,太多垃圾了 要是清理乾淨與人人有自覺的話一定很漂亮的
qing song,4 週前,5,還不錯
Jerry chen,4 週前,4,
Hsiao Yulon,4 週前,3,沙灘上的死魚很多，走沒幾步就看到，散步要看清楚腳下，還好小朋友玩的也很開心。
馬蛋糕,1 個月前,5,
三角錐,1 個月前,5,
歆。,1 個月前,4,約會好去處 清幽 不會有太多人
李志宏,1 個月前,1,很瞎。
Joshua Tei,1 個月前,4,擁有像豬鼻子水泥塊而聞名，可觀望夕陽，但小蚊子很多。很多人會把汽車開到外面的馬路停在路旁，走小路進去。
J Chiu,2 個月前,5,
Peggy KE,2 個月前,4,建議騎機車來 防曬要擦足 不然超容易曬傷
Ailin ying (Emma),2 個月前,3,
鄭薇薇,2 個月前,5,
Lexus Chen,2 個月前,3,
陳鴻雁,2 個月前,4,
王秀貞,2 個月前,5,玩沙看夕陽
陳馬丁,2 個月前,5,
Mike Chien,2 個月前,5,
mừng nguyễn văn,2 個月前,4,這個區域可以很清楚地看到星星
Terence Lu,2 個月前,5,"很好停車 一望無際的沙灘也很舒服
不會太多垃圾"
chunyu chen,2 個月前,5,通往竹圍漁港的道路被風沙掩蓋是無法騎乘過去的，是個適合想放空、又希望不被太多人打擾的沙灘。
Jose,2 個月前,5,
Jane,2 個月前,4,聽海，放鬆一下吧
D H,2 個月前,5,豬鼻子沙灘是大園區壯圍沙丘附近的絕佳欣賞夕陽、釣魚、網美、婚紗的好去處。大家一般印象中的消波塊應該都是尖角消波塊，也就是大家俗稱的肉粽，在這裡的消波塊是8字型的，相當特別！
Mei Chang,2 個月前,5,"好奇豬鼻子來的
大家別傻傻的在堤防上騎車

因為現場可遠眺竹圍漁港
然後我豬腦在海堤上騎機車魯過去
結果，車子陷在沙子裡
Word天～差點花轟

後來自已把機車扛上樓梯
像考機車駕照般逃出生天"
Chan Ford,2 個月前,4,"整體風景不錯，但有缺德人在此丟垃圾相當可惡！
吃點東西看看海放鬆，很棒！"
Chih Jordan,2 個月前,5,
郭鎮宇,3 個月前,5,
Sky Chang,3 個月前,4,
Dylan Chang,3 個月前,4,
kaiming Tseng,3 個月前,3,就是放空+吹風地點
Suphod Nuansri,3 個月前,4,
蔡家綺,3 個月前,5,
Chang Fang-Rung,3 個月前,5,
余涵甄,3 個月前,5,看夕陽的好地方，不過蚊子有點多，去的建議帶防蚊
elva sun,3 個月前,5,"2020/09/20
美呆的地方，我發現
雖然跟一般的海邊沒有不同
但~竹圍就是比別人多了一點點的巧思
讓這個地方成為超人氣景點^^

美美的夕陽
配著海岸邊的景色
吹著涼涼的海風
是個適合放鬆的地方"
蔡坤益,3 個月前,4,
蔡承祐,3 個月前,5,豬鼻子造型很可愛～坐著看海發呆很愜意
WW Chen,4 個月前,5,滿特別的機車可以勉強騎進來 車子就不要亂了
Allen Chao,4 個月前,3,垃圾有點多
Ting Wang,4 個月前,1,石頭上一堆殼，易刮傷，沒看到魚、蟹，風沙大會痛
胡耀威,4 個月前,4,垃圾太多了啦！
王杰,4 個月前,3,
陳沿再,4 個月前,5,
陳奕涵,4 個月前,5,
陳雨農,4 個月前,4,海岸線長 砂質地 地處偏僻 適合簡單的親海活動 唯漂流至岸上的垃圾遍佈 需要更多人參與淨灘
陳國鎮,4 個月前,5,
JJ,4 個月前,3,
江比比,4 個月前,5,夕陽美景漂亮，來此遊客別忘了要帶走垃圾，還給大家然美景
DONSON CHUANG,4 個月前,4,
小螞蟻,5 個月前,5,坐在堤防階梯吹著海風看浪花等待著夕陽，很療癒。
超級無聊份子,5 個月前,3,
Agus Yanto,5 個月前,5,好的
Jahua,5 個月前,4,"如果是好天氣來的話很漂亮
可以看到夕陽更好～
但前兩天去剛好刮大風然後也是陰天看起來就有點像普通一般廢墟⋯⋯
有看到豬鼻子形狀的消波塊但是不多
沙灘有沙岸跟岩石交接而成
交通的部分從小路彎進另一條小路 沒有停車位路很窄只能儘量跟大家一起靠邊停
走一小段路就會到達海邊
風浪不大很適合帶孩子去玩沙、放電這樣也比較安全
附近就是竹圍漁港
玩完水後可以再去逛漁港買點海鮮回去
會想要下次等天氣好的時候再來！拍照也會比較漂亮唷"
戴慈容,5 個月前,5,竹圍漁港採買魚貨後，適合黃昏看夕陽的絕佳地點！
Alex Cheng,5 個月前,4,就看看海了，也沒什麼特別
Sean Chi,5 個月前,5,秘境
Jeff Ho,5 個月前,4,
李世湧,5 個月前,4,
連晙捷,5 個月前,5,
gia bảo ngô nguyễn,5 個月前,5,這裡有很多蝸牛、牡蠣和魚。我們可以來這裡洗澡、釣魚、抓蝸牛、抓螃蟹....
林義勳,5 個月前,3,就是海邊
張錫銘108商甲,6 個月前,5,
Catherine Chen,6 個月前,5,很棒我喜歡
