name,setTime,star,content
Jason Yu,1 週前,4,風景好，又自然，但風有點大，目前整修中，要到2023年底，很可惜。
黃浚祥,1 週前,4,
Aaron Wu,2 週前,5,
Lee Yo,1 個月前,5,
曉瑛羅,1 個月前,5,"北投 貴子坑，處處美景，蟲鳴鳥叫樹木繁茂，情人湖畔，好美好涼～
寶貴的生態美景～
非常 適合半日遊，放鬆 身心好地方💖 …"
陳慕清,1 個月前,4,
翁晟銘,1 個月前,5,水土保持示範區，環境規劃的很好，有停車場和露營區，也是輕鬆登山健行的場所。
鄭博文,1 個月前,5,
romeo weng,2 個月前,5,
陳銘宏,2 個月前,4,
舞則天,3 個月前,3,
Kevin Chen,3 個月前,5,好地方！露營 散心 放空 ⋯⋯⋯都好
林金樹,3 個月前,4,適合帶小朋友來玩.有水池生態公園
葉蘋儀,3 個月前,5,
董先生,4 個月前,4,"這是一個景色優雅又安靜的場所。中間有小型湖泊,遠方有直立的山頭,景觀視野很棒。步道輕鬆又有涼亭座椅很方便,是可放鬆心情優哉打發時光。"
馮延春,4 個月前,5,設備完善＇整潔
煒煒,4 個月前,5,112.04.12致電詢問貴子坑管理單位，他們說今年三月到十二月休園，整建中（網路有公告）
chihyuan 9ko,4 個月前,4,
蘇文賢,4 個月前,5,
Clayton Chao,4 個月前,5,風景優美，生態豐富
黃俊銘,4 個月前,5,北投近郊休閒好去處，近在咫尺却可遠離塵囂
Bruce Huang,5 個月前,5,
TSRRR TSRRR,5 個月前,4,就在貴子坑園區旁邊，有一個白色的大型廣場的亞子，其餘沒注意到有什麼設施~
黃水英,5 個月前,5,
塏,5 個月前,5,環境清幽非常適合親子一同體驗大自然
Yao-LIng Cheng,5 個月前,3,
YenYen Chang,5 個月前,4,這是一個不錯的2小時徒步旅行。
陳素琴,5 個月前,5,
SKH李昭美,6 個月前,4,貴子坑水土保持園區，看魚兒悠遊，樹林間春風吹拂，老少咸宜户外活動區，有厠所方便婦幼。
張媖如,6 個月前,5,
Andy Andy,6 個月前,4,：）
吳政穎,6 個月前,5,
Latte Bernachon,6 個月前,3,
洪小馬,6 個月前,4,
伊,6 個月前,5,
永恆吳,6 個月前,5,
貓頭鷹,6 個月前,5,
Ren Hao Chen,6 個月前,5,營區環境優美，上層木棧板營位有一片廣場，如果有小朋友們嬉戲會比較吵鬧。 交通方便，自己從復興崗捷運站走路30-35分鐘，只有最後一段約500m的爬坡稍微累一點點。 今年3月起到12月因整修會暫時關閉營區，短期間內無法再訪有點可惜
忽都斯,6 個月前,5,
Yang Ann,6 個月前,2,
BC A,6 個月前,5,清潔又不用錢
翁永地,6 個月前,5,很棒的免費露營區，今天1帳包場，煮羊肉爐吃，氣象說有了寒流又下雨，然後就沒人了，結果只是毛毛雨，早上4點多就很多人在運動，今年3月要整修了，可以夜遊。
吳育安,6 個月前,5,
ADaM SuNG,6 個月前,3,就是個露營場...
謝明聰,6 個月前,4,
張書桉,6 個月前,5,乾淨，規劃簡單完善
Hui Na,6 個月前,5,很棒的免費露營場，管理員很親切，我們沒有有預約直接來現場，還幫我們辦理入住，雖然是免費的設施一點也不輸給收費的露營區，還有開飲機，我們這次是車露，除了預定的位置之外空位可以自由選擇，我們選了12號，離衛浴近而且早上不會被太陽曬醒，除了半夜有野貓和野狗亂叫之外，沒有缺點，浴室熱水很穩定，廁所很乾淨，對了！垃圾要自行帶走，請不要丟廁所，好的環境要大家一起維持，發揮公德心
陳蓮姬,6 個月前,4,
吳美慧,6 個月前,5,
ㄗㄓ,6 個月前,4,
孫志國,6 個月前,3,
Rouf Hung,6 個月前,5,好寧靜又悠閒的地方，以前常到三層崎賞花，一直都沒有上來貴子坑露營場。沒想到這麼近。看到好多年長者背上登山背包上來，才想上來看看。上來有看到情人湖，感覺就像世外桃園一般寧靜，看著白鷺鷥佇立在湖中，還有鯉魚及烏龜。有一群小學生來這裡戶外教學，更增添活力及青春...我想夏天來更加適合，真是一個遠離人群的好地方
Awen Chiang,6 個月前,3,
YuKang Lin (Mason),6 個月前,5,曬太陽很舒服
Betty Wang,7 個月前,4,
呆玩讙訥,7 個月前,5,昨日來碰碰運氣，沒想到來候補馬上選位，而且位數還不足，12個位置只來九位，真不知那些搶位置的人是在幹麻？！今天還有四位，我還得搶。
孫志國,7 個月前,4,
林華少,7 個月前,5,"很適合北部懶得出遠門的人
近郊露營區"
Ying-Hao Chen,7 個月前,5,
謝明峰,7 個月前,5,五星級的免費露營區 走路750就有ubike站 來往台北市區也方便 木棧板超大
李岳烜（兔寶）,7 個月前,5,讚
林永川,7 個月前,4,
Ka-kun,7 個月前,5,最近正值落羽松變色季節，雖然天氣沒有太好，在落羽松的點綴下，別有一番風情。園區很乾淨，有不少桌椅可休憩或野餐，但別忘了垃圾不落地，把整潔的環境留給下一位使用者。
chiuchu liang,8 個月前,5,到訪日人潮不多很幽靜，漫步林間享受大自然芬多精的洗禮
Marty Chang,8 個月前,5,
Momo Lin,8 個月前,5,三月底要開始封場維修到年底
monster chu,8 個月前,5,
曲文榮,8 個月前,5,
jones yu,8 個月前,4,
高高,8 個月前,5,
徐健中,8 個月前,4,
戴宇濱,8 個月前,5,免費露營區，去之前要先上網申請露營日期，現場不接受訂位。
黃麗蘭,8 個月前,5,
Tiaoho Chou,8 個月前,4,20221202更新 車宿區廁所已維修完成 廁所乾淨 熱水充足 水電沒問題了 之前說要改用電收費 尚未執行 台北市的免費露營區 要一星期前上網申請 只限2天1夜 有水有電 浴廁齊全 廁所也打掃乾淨明亮 可說是5星級浴廁
許哲嘉,8 個月前,5,
悍將,9 個月前,1,到底要封鎖到什麼時候？不給進去玩？拆掉算了！
Allen Yu,9 個月前,4,蠻好的一處景點，停車方便適合銀髮族散步聊天野餐的地方。
蕭文俐,9 個月前,5,氣候宜人.空曠氣氛.戶外踏青適合.
J. Uenglin,9 個月前,4,
W872 Pharmacy Supervisor 03,9 個月前,3,"晚上狗叫很吵，叫了一晚上
是狗在選舉造勢嗎"
