setTime,star,content,seg_result
1 個月前,2,"上山的路程很考驗開車技術車子的性能
非金針花季節上去其實沒什麼東西可以看
by被露營區老闆娘騙上去的女子",上山 路程 考驗 開車 技術 車子 性能 金針花 季節 上去 東西 露營區 老闆娘 騙上去 女子
4 個月前,3,12初去路口有表示有山崩拜託千萬不要不信邪真的非常危險而且沒花可看,12 路口 表示 山崩 拜託 真的 危險
5 個月前,5,花蓮赤科山 滿山的金針花海  ,花蓮 赤科山 金針 花海
5 個月前,3,,
5 個月前,5,,
6 個月前,5,"這是心目中 覺得花東最好的金針花山
道路不會太難開 又有規劃景點可以拍照 ",心目中 覺得 花東 金針花山 道路 規劃 景點 拍照
7 個月前,5,,
7 個月前,4,,
7 個月前,5,好地方,地方
7 個月前,5,"千歲團五部車18人勇闖南橫後在鹿鳴飯店過夜隔日出征赤科山路窄特彎的山路讓姚兄心驚膽跳戰戰兢兢的慢速前進這嚇人的過程在到達目的地時都煙消雲散了大夥們都被金針花海淹沒的無縱跡了
這美景真是壯觀山嵐在滿山遍野裡追逐著花海有如仙女著薄紗若隱若現的舞弄著美姿在這仙境裡夥伴們各個化身為神仙凡塵之煩早就拋到九霄雲外了",18 南橫 飯店 過夜 出征 赤科山路 窄特彎 山路 心驚膽跳 戰戰兢兢 慢速 前進 嚇人 過程 到達 目的地 煙消雲散 金針 花海 淹沒 縱跡 美景 壯觀 山嵐 滿山遍野 追逐 花海 有如 仙女 薄紗 若隱若現 舞弄 美姿 仙境 夥伴 化身為 神仙 凡塵 拋到 九霄雲外
7 個月前,3,,
7 個月前,5,整片金針花開真的很美清晨車停好一路走上去幾乎所有的金針花都是免費參觀店家都很佛心也可以消費一下買個兵棒或金針花乾刺激一下經濟,金針花 清晨車 停好 走上去 所有 金針花 免費 參觀 店家 佛心 消費 一下 兵棒 金針花乾 刺激 一下 經濟
7 個月前,5,滿山的金針花視野好風景美,金針花 視野 風景
7 個月前,5,,
7 個月前,3,"赤柯山位於臺灣花蓮縣玉里鎮海拔約900公尺台灣日治時期因山上種植赤科樹而得名當時日本人砍伐堅硬的赤科樹送往日本做成槍托現今山上則遍植金針與富里鄉的六十石山齊名此地金針開始大片種植始於1959年的八七水災之後由嘉義來的移民最早開發原先僅是作為經濟作物後因花季美景逐漸吸引遊客因當地除了種植金針以外部分農地也種植茶葉在金針種植面積上略大於六十石山但另一方面赤柯山的地勢起伏較大相對於六十石山赤柯山可以感受到山坡起伏岩石錯落其中的特殊景致

建議平日去因為假日山中會車不好會",赤柯山 位於 臺灣 花蓮縣 玉里鎮 海拔 900 公尺 台灣 時期 種植 赤科 得名 當時 日本人 砍伐 堅硬 赤科 送往 日本 做成 槍托 現今 遍植 金針 富里鄉 六十石山 齊名 金針 開始 種植 1959年 水災 之後 嘉義 移民 開發 作為 經濟 作物 後因 花季 美景 吸引 遊客 當地 種植 金針 以外 部分 農地 種植 茶葉 金針 種植 面積 大於 六十石山 赤柯山 地勢 起伏 六十石山 赤柯山 感受到 山坡 起伏 岩石 錯落 特殊 景致 建議 平日 假日 會車
7 個月前,5,,
7 個月前,5,"值得來看看
不過最好是跟團",值得 看看
7 個月前,5,七月底已經有些許金針花綻放可惜來的季節還太早如果金針花開滿赤科山應該很美,七月 些許 金針花 綻放 可惜 季節 金針花 開滿 赤科山
7 個月前,5,"那舒服的早晨 橘黃色佈滿整個的山頭
找一個餐桌坐下來野餐很舒適 ",舒服 早晨 橘黃色 佈滿 山頭 餐桌 坐下來 野餐 舒適
7 個月前,5,陽光露臉後黃色花海有著不同風貌,陽光 露臉 黃色 花海 不同 風貌
7 個月前,4,與六十石山齊名的赤柯山以赤科三景三顆黑色火成岩千噸石龜汪家古厝和金針花海著名,六十石山 齊名 赤柯山 赤科 三景 黑色 火成岩 石龜 汪家 古厝 金針 花海 著名
7 個月前,4,,
7 個月前,5,,
7 個月前,5,金針花季時建議朋友們提早前往以免遇到塞車,金針 花季 建議 朋友 提早 前往 遇到 塞車
7 個月前,5,,
7 個月前,3,,
7 個月前,5,今年赤柯山都要到特別定點才有大片的花海不過沒下雨我就很滿足了,今年 赤柯山 特別 定點 花海 下雨 滿足
