name,setTime,star,content
侯旭彥,11 小時前,4,體驗農村生活的地方
eva Wu,20 小時前,5,寶寶剛滿一歲時去第一次，有三個玩沙區，砂子是細沙，，有個小戲水池，水很乾淨，踩起來不會滑滑的，也沒有青苔，看得出來有再維護，玩沙玩水完有沖澡區可以盥洗，有提供一隻吹風機可以使用，動物看起來也都很健康有活力，有戶外座位，也有室內用餐區，環境不錯，餐點比預期好吃，雖然門票可以抵50元餐費，但每個人還是有底消，整個園區滿乾淨的，上周寶寶一歲五個月，早上出發再去一次，有自備玩沙工具，寶寶玩的很開心，當天下午有駐唱歌手現場演唱（隨緣打賞）和折氣球（要收費），還有釣青蛙活動（沒參加），我們很悠閒的度過下午，很棒！！
杜編直美,1 天前,5,帶大小朋友約30人過來，平日中午午餐時間用餐，這裡的服務人員很細心有先打電話過來預定位置（如果很多人的話還是先預約比較好）園區餐點不錯吃而且出餐的速度也很快！結束用餐後就是在園區內閒逛，這裡就是小朋友的放電區！但園內生態真的很好！我們這團真的看到蠻多次蛇的（園區也有警示）所以小朋友在園區內玩旁邊還是要有大人陪同！讚讚有機會會再來！
許鴻渝,1 天前,5,非常好玩
張嘉峰,1 天前,5,親子景點的好去處
搭西哇,1 天前,5,小孩玩到不想回家
FI FI,1 天前,5,很棒的地方可以帶小孩來玩
張暄,1 天前,5,親子景點 很棒❤️
_鈺萍_小乖媽的小分享,1 天前,5,門票150，可抵消費50，園內蠻大的，有球池有積木區小孩玩得很開心，還有達達象龜很可愛☺️
玫瑰熊,2 天前,1,
李奈奈,2 天前,5,
美食主義,2 天前,5,
林秀麗,2 天前,5,地點好 適合小孩
胡聖偉,2 天前,5,
鄭雅文,2 天前,5,
Wan Wan Jhao,2 天前,5,很好玩很有趣
金霸王,2 天前,5,地方大 適合溜小孩
彭宥宥,2 天前,5,地方很大 適合溜小孩
連升尉,2 天前,5,
曾萍萍,2 天前,5,店家規劃的套裝行程很超值，很適合親子活動，團體活動，導覽人員很親切，大人小孩都收獲滿滿，值得前往
蔡育昀,3 天前,2,車位太少 餐飲太貴
陳仁彬,3 天前,5,小朋友玩樂好地方
林欣潔,3 天前,5,小朋友玩樂好地方
吳佳容,3 天前,5,"動物種類多樣,工作人員態度親切，有玩沙也有玩水，園內餐點好吃"
A Hsbaa,3 天前,5,很適合帶小朋友來放電好玩
許振嘉,3 天前,5,
Lu Andy,3 天前,4,
惡搞手工廠,4 天前,5,
翁佩君,4 天前,5,"活動空間很大
陰涼處也很多
餐廳也好吃
門票可折抵消費
有球池。戲水池。沙坑 盥洗區
很喜歡
會再來！"
Peter Chen,4 天前,5,超好玩
陳泳晴,4 天前,5,小朋友最愛來這裡玩，很開心
Aryi cheng,4 天前,5,很好玩，很適合一家大小來玩。
Jerry Cheng,4 天前,5,週末帶孩子的好去處
Toby Cheng,4 天前,5,園裡很乾淨，很適合一家大小來玩呀。
林孟萱,4 天前,1,
胡瑩煒elly1021,5 天前,5,離市區近，小而美。
小貝,5 天前,4,
Liu Paul,6 天前,5,適合走走
周冠淨,6 天前,5,
陳銀監,6 天前,5,讚
Ting Ting,6 天前,1,"設備、遊戲區沒在維護，很老舊！
動物很可憐，動物區很臭～
兔子都被關起來⋯
能餵食的只有鴕鳥，但很臭！
覺得有收費，請用心經營，好好善待動物～"
陳霈螢,1 週前,5,"好玩
適合遛小孩"
陳燕瑩,1 週前,5,戲水、餵養小動物的好去處
Dustin Lee,1 週前,5,
楊森崴,1 週前,5,
楊昀庭,1 週前,5,
陳品潔,1 週前,5,帶小孩來農場走走逛逛
Pojang Lin,1 週前,5,散步好地方!
Jessica,1 週前,5,溜小孩好去處
王雅君,1 週前,5,很好放電的地方
ted yeung,1 週前,1,"動物不乾淨，感覺很餓。
有一隻母羊跪在地下，不知道是不是受傷了。
動物住的地方感覺很臭。
這些都讓我感覺很差。
希望可以改善動物生活水平。"
Huang Shuanghui (双暉),1 週前,5,週六日門票150元，可以有50元可以抵消費，有大草皮， 有戲水池，有兒童玩沙池，有生態導覽， 有釣青蛙，有烤肉區，有戲水區有餐廳 ，有魚菜共生，水耕植物.....等。可以玩一天，還有駐場表演，CP值很高的親子活動場所
陳柏佑,1 週前,3,"菜單換了吧？德國豬腳很難吃很硬，建議換掉吧⋯⋯2年前有來，不記得有這道菜

其餘沒什麼意見，人越來越多了，建議9:30就入園，11:00就吃飯"
陳曉曉,1 週前,5,園區設施乾淨，用心，讓孩子很好放電
蕃茄姐姐,1 週前,5,親子休閒好去處😍😍😍
陳岑瑩,1 週前,5,小孩的最佳好去處
賴宜盈,1 週前,5,帶孩子來玩玩走走，門票不貴又有抵用券，很划算！場地很大，很多小朋友，而且很乾淨整潔，餐點也不錯吃，很多可以玩，完全不會無聊，小朋友玩到不亦樂乎，覺得很適合沒事來遊走放放電~
張文凱,1 週前,5,"很棒的親子農場
小朋友玩的很開心"
Wen Yi,1 週前,5,"還不錯
設施也都維持的蠻好的"
Natasha Lyu,1 週前,5,適合孩子來農場出遊
Tony Tony,1 週前,5,好玩
范慧敏,1 週前,5,好棒的農場～打卡送禮物
zheng wen,1 週前,5,打卡送氣球 天氣很好 人很多
洪兔兔,1 週前,5,打卡送氣球
陳姮妤,1 週前,5,好好玩
紫眼豆豆,1 週前,5,帶小孩來玩很棒
ying510238,1 週前,5,很棒的地方，適合大小朋友
王碧珠,1 週前,5,好好玩的地方
游士杰,1 週前,3,"還好 有點無聊
不如去公園就好了"
Tomato Chang,1 週前,2,五星好評只為了拿禮物，動線規劃有點爛⋯不推
