name,setTime,star,content
葛瑞龍,1 個月前,4,
惟強張,5 個月前,4,
alar,1 年前,3,禁止進入
黃大昌,1 年前,4,
Kaiser Hsu (凱撒的吃喝玩樂日記),1 年前,5,"循著導航一定可以到的地方，開小車/摩托車是比較適合的。
另外本區只供村民進出，不對外開放，頂多橋前拍拍照，就請不要過去了。

後來跟部落居民聊聊，似乎以後整理好才會開放，所以就請不要擅闖。"
陳炎能,1 年前,4,"達來吊橋位於屏東縣三地門鄉達來村，在三地門前往三德檢查所的台24線24.6公里處有一間山豬毛景觀餐廳（對面是居高風味餐廳），它的旁邊有條岔路，可以下到河谷的達來吊橋，岔路口到吊橋全長約1.8公里，騎機車可以抵達，開車要考慮有些路段路況稍差且狹窄喔！
達來吊橋橫跨隘寮溪，是通往舊達來部落的唯一通行道路，橋長約150公尺，橋頭兩面刻有太陽、百步蛇、陶壺與一對男女的圖騰，象徵著排灣族人的傳統與信仰，另外，在吊橋下方還可以看到一座廢棄的舊吊橋喔！走到吊橋中間可以欣賞到壯闊雄偉深邃的河川山谷景色。
此地居民可以騎行機車通過，不過，入口處有禁止遊客進入部落的標語，所以，我們徒步走過吊橋，前行到辭職坡，爬上一小段辭職坡體驗手作步道的感覺，即返頭回去了。"
蘇董,1 年前,4,
sung denny,1 年前,3,到吊橋前的岔路，往溪底方向的路已是越野等級，過吊橋後，路況較佳，但小落石遍佈。只有部落住民前往與使用。聊數只有石板屋的存在。
王麥華,2 年前,3,
Jyun,2 年前,3,通往舊達來部落的出入口
John Hsieh,2 年前,4,三地鄉達來村遷村，遷村後的達來村稱為「新達來」，而原本的達來村則稱為「舊達來（部落）」。舊達來部落內包留了多棟別具特色的石板屋，村外還有瀑布群，雖然有三地門鄉公所已重新規劃部落重建工作，計畫發展「高山深度旅遊」，提供登山、攬勝、考古等活動，今日到訪發現欲進入吊橋，需雜草叢生的林道，像是無人管理一般，建議公所應積極維護部落特有景觀，帶動周圍部落，照顧原民生活才是。
年年有魚,2 年前,5,優美
劉秀盆,3 年前,5,
永昌林,3 年前,4,
黃誌勝,3 年前,4,
蔡榮基,3 年前,4,新達來橫越北隘寮溪往舊達來的路上，興建的一座吊橋長約150公尺，此橋也成為前往舊達來的重要景點。
201909 5E,3 年前,5,空氣清新 人少 路陡  二位似乎是勘探水源大叔 熱情友善 邀約一同前往舊達來 過吊橋 道路僅機車寬的水泥陡峭山路 半天未見任何人影 加上險竣山路 只能婉謝 。。。
江樂群,3 年前,5,達來舊部落不可缺少的連結
蘇哲玄,3 年前,4,
Huang Jay,3 年前,3,"這裡不是一個熱門和著名的旅遊景點，大多數人來到這個地區，通常是朝著五台村或其他村莊，所以總是被忽視。
如果你是一個文化愛好者，應該嘗試一下這個地方，穿過吊橋，步行大約一個小時就可以到達一個古老的部落。

是觀看老部落、老石板房、原住民（排灣族）文化的高CP值精選。"
Jazilana Aguilan,3 年前,5,
神戸ベアークリス,4 年前,5,
林星北,4 年前,3,
鍾益新,4 年前,4,景觀優美 路面太窄
miku protozoa (米沽),4 年前,5,過吊橋後走一段林道可至舊達來部落，吊橋本身的彩繪、浮雕和圖騰值得欣賞。
DESLAW LEE,4 年前,1,偏僻、不值得來
喵。帶著你的眼睛去旅行,5 年前,4,前往舊達來部落的路徑
Fu yuan 顏 (市長),5 年前,4,
市長,5 年前,4,通往達來舊部落。
Ken Liu,5 年前,5,迷失的山友找到沒？
文上卿,5 年前,5,
謝治勳,5 年前,3,
毓川邱,5 年前,3,
順憶董,5 年前,5,
鍾達,5 年前,5,風景超美的地方.讓人心曠神怡
陳惠瑤,6 年前,5,漂亮，但是走上去還是小心一點
劉珍齡,6 年前,4,聯絡新舊達來部落，過吊橋可以走清幽平整的優質步道。
絲丁螺,6 年前,5,沒什麼人的吊橋 散步的好地方
Nakashi Hong,6 年前,3,舊達來出入吊橋
Col,6 年前,5,
Joseph Chou,7 年前,4,到這裡的路不太好走。
