name,setTime,star,content
Angus huang,6 小時前,5,"建議平日去 人少時最好拍
遇到的人也很重要，機車一點的就把車停前面，很破壞畫面，有默契一點的，大家都把車停涼亭以後，輪流拍"
VAN Chiang,7 小時前,5,感覺是神仙會出沒的地方
陳慶瑜,9 小時前,5,
yawara lin,1 天前,5,"花蓮&台東交界之處，非常建議從台11線繞過來停留一下。
照片拍的照片是夏日傍晚，我們開到道路中段，金剛大道銜接海岸山脈山腳，因為是坡地的關係，往回看還可以看到太平洋的藍，四周均是稻田翠綠一片，非常殺記憶體的鄉間景點！"
Hanshin Feng,1 天前,5,非常顯眼，地方開闊。
98 0816,2 天前,5,
Terrence Huang,2 天前,4,"那天起得很早，一方面是想要拍日出，另一方面是想要趁著大清早沒有人時，可以拍出孤獨淒涼的感覺。
可惜當天運氣不佳，沒有日出大景可拍，但是真的沒有人，路上也沒有停車，隨便自己怎麼拍，都不必考慮避開人群或車輛。
這個景點免門票也沒有任何商店，要來的人自備飲食，盡可能利用清晨前來，不然太陽高掛時，也只有一個涼亭可以休息，整條金剛大道是沒有樹蔭的哦！"
胡小芳,2 天前,4,隨意拍都好看
張書桉,2 天前,5,
Dylan Chang,3 天前,5,
行腳一二事,3 天前,5,"筆直大道盡頭就是蔚藍海洋～美不勝收
燦爛陽光、兩旁有雄偉山林，綠油油的田..
一整個美麗，心情也快樂啊！"
正敏楊,4 天前,5,很美，可惜遇上下雨，還是很美
黃怡華,4 天前,5,
江河水,5 天前,4,
蔣豊郝,5 天前,4,"只適合拍照，建議下午兩點左右，此時太陽從山頭斜射打光下來，人物會比較自然；若是人物、道路補不到陽光，但背景（海、天空、白雲）卻還有陽光，會形成反差過大的照片，就只能補光板、閃光燈 為人物打光，效果就不自然。
遊客越少越好，八月23日下午四點，遊客還是很多。"
歐晉宗,5 天前,5,超級好拍的地方，金剛大道的兩端一邊是太平洋，一邊是金剛山，海稻雙浪，花東真的很美！
廖志偉（廖企鵝）,6 天前,3,天氣好拍照好地方
Jeff Lin,6 天前,5,天氣好時，可以遠眺海天一色的海岸線。
輝,1 週前,5,
Hsiu Mei Chang,1 週前,5,
胡明鳳,1 週前,5,超美 建議要錄影保存
江宜蓉,1 週前,5,"很放鬆的地方
風景優美
超級好拍照
一定要來拍拍"
劉劍華,1 週前,4,
吳品妤,1 週前,5,
034-余彩雲,1 週前,5,
許嘉明,1 週前,5,不一樣的雨天🌧️金剛大道
麗珍,1 週前,5,美麗又筆直通向海邊的道路，地形又特殊的居高臨下，真的是隨意拍就可以拍出很美麗的照片，如果遇上伯朗大道收割時節，這裡還略勝一籌！
林信容,1 週前,5,"適合漫活放鬆，時間最好是晨昏或陰天,因為時在太熱了😁"
舜,1 週前,3,伯朗大道更好
謝佳展,1 週前,5,拍照好看
daniel yu,1 週前,5,很好拍照的地方
KuoWei,1 週前,5,
Elaineluby,1 週前,5,筆直的金剛大道，後面的山隱約可以看見金剛的臉，前方便是湛藍的海，真美~
恩哼,1 週前,5,
莊李英春,2 週前,4,
陳昌明,2 週前,5,
甘文民,2 週前,4,山景特殊，可同時拍到山景與海景的地方
ping wang,2 週前,4,一條直直的金剛大道
alan Luu,2 週前,3,"建議平日來…假日人有點多！
要拍到沒人的景色有點難。因為只要你再拍的時候，別人就會站在你的後方拍照，讓你的鏡頭裡有他，這點令人無語。
不如去太麻里車站拍，大家會排隊守規矩，因為景色只有一處可以拍，要乖乖排隊才能拍到，那拍出來的美景，真的真的很美…."
施行,2 週前,5,
羅先生,2 週前,5,拍照好地方
DAVIDOFF (david),2 週前,5,路旁的稻田看似荒蕪，其實其田埂上的雜草比人高，易造成誤解。一般人看慣了慣行農法稻田，且大多是井然有序；長濱這裡的稻田像似有機耕作，又是梯田，真的差點以為走進雜草叢生的荒郊野外。非假日，沒啥人，這樣也好，對土地，農作物，都是好的。
林俊億,2 週前,5,
鄭周南,2 週前,5,"筆直的金剛大道繼池上的伯朗大道後又被網民發現的一條直通大海的路。
一頭連著山另一頭連著海，來這裡車子可以隨意停只是不要停得太白目的就ok！很多遊客都喜歡把愛車停在中線來拍照也ok，注意一下自身的安全不要造成用路人的困擾！
現場有畢業生著碩士學士服拍照，在這個炎炎夏日中冒著中暑的危害。"
Tony Chiang,2 週前,4,
chia wei kao,2 週前,5,粉美，騎鄉公所的腳踏車過去真的需要點腳力。但看到那片微微凹陷下去的大海美景，一切都值得ㄌ！請準備好大量礦泉水沿途補充💙💦 …
Kuokai Lien,2 週前,5,"台東長濱鄉海天一線的美景公路，可拍出一面海景一面山景的好地方，位於台11線上的一處產業道路（車流量不多），但這條路是微下坡，拍照留念時請注意安全！
來這裡拍照還有一點需要注意，就是時間！
當天金剛大道是我的第一站，到達時間7:30，此時的太陽是從太平洋的東邊升起，所以海景照是背光的很可惜😅山景照就沒問題👌🏻（後面四張照片是2023/7/29 正中午12點二訪）
金剛大道的中間段還有設置一處涼亭及兩個垃圾桶，很方便請大家好好利用，共同維持環境整潔（當天涼亭地上很多酒瓶啤酒罐已處理）。"
胡仙女,2 週前,5,"今天拍照天氣不好
不然後面的海如果天氣好的話拍起來會漂亮"
陳邵雲,2 週前,5,
陳可杰,3 週前,4,"好山好水，順路經過ok, 建議不用特地過來
因為他就真的只是一條看得到海的公路，和你在照片上看得差不多，比較適合有空拍機的人來。"
陳慎平,3 週前,5,"風景還算不錯
但是要找好天氣
海的顏色才會漂亮"
陳佑庭,3 週前,5,搶著拍照的地方，道路相鄰大海的感覺
宜花東旅遊司導謝明煜,3 週前,5,海天一線值得到此拍照，記得到街上買生魚片吃，CP值很高
蔡文榮,3 週前,5,
藍天,3 週前,5,
WIIJ,3 週前,5,旅客都非常遵守規矩也希望往後到來的遊客請維護愛惜現場環境，金剛大道本身是在一條蜿蜒的小路裡面，到訪的旅客需多加注意
Y Lin,3 週前,1,"其實我覺得沒有什麼特別的
就是很筆直的一條路
然後有些車子也會擋在路中間
所以其實拍起來也沒有很好看

如果趕行程的話不建議來這邊"
陳世臻,3 週前,5,一邊向山一邊向海，好拍漂亮的景觀，但沒有其他有趣的點，僅一個打卡的好去處。
ㄚ哲,3 週前,5,東部一定要來打卡景點
莊博展,3 週前,5,
Yunju Huang (阿熊),3 週前,5,環島路過必打卡！
Wen Chen,4 週前,5,另人心曠神怡的好地方
李秉翰,4 週前,5,
