name,setTime,star,content
vincent chiang,1 天前,5,玩水的好地方
內湖營運長,3 天前,5,溪水沁涼 好停車 尿尿好所在
wc huang,3 天前,5,今天很適合親近大自然
Yun Tong Yeh,3 天前,5,很讚 還會想再來
Chao Peng Chen,3 天前,4,跳水很好玩，很多人會在溪邊烤肉。
Huang Hsin Hsiang (阿祥),5 天前,5,"20230825
水量豐沛，滑水道好玩
風景優美
記得垃圾要帶下山唷！"
Min Wang,6 天前,5,天然美景，台灣真美！
Teresa Chen,1 週前,5,
Kao Johnny,1 週前,4,2023-8-19 上游金岳瀑布有虎頭蜂，在下面一點入口處玩水沒問題
kuo mark,1 週前,4,
John,1 週前,4,"還不錯，停車費100偏貴，不過有廁所還算方便。
有虎頭蜂要小心！"
黃裕評,2 週前,5,
黃宥裕,2 週前,5,
陳威霖,2 週前,5,
呂艾兒,2 週前,5,
方沁騰,2 週前,4,
Rocky Chill,2 週前,5,
陳志昶,3 週前,5,
吳銘豪,3 週前,5,8/8 有兩個虎頭蜂巢 在地人說不適合去玩
Richard Dal,3 週前,5,
Ching-tai Wu,1 個月前,5,"平日爆炸多人！停車方便，直接導航🧭「金岳瀑布」倒底就是停車場，極度便利的戲水景點！
維護山林人人有責，請至少將自己製造的垃圾帶走！門口附有垃圾桶，還能分類喔！"
豪老爹,1 個月前,5,
david lin,1 個月前,5,自然的山澗峽谷，溪水清澈涼爽，有岩盤深潭可以跳水滑水戲水山水合一，夏季溯溪必遊的景點之一。
hairsdan1,1 個月前,5,"為了小孩安全所以找了當地教練來帶
過程好玩又刺激，教練幽默又親切
很會逗大家開心
中午也提供午餐
邊吃飯邊看瀑布真的蠻美的
教練群好像是叫南澳蔚藍吧?"
Allen,1 個月前,5,蠻適合所有人群，小孩、老人輕鬆玩，青年、壯年大人也可以玩刺激跳水，很讚 👍 …
何俊生,1 個月前,5,好玩
黃志偉,1 個月前,4,
鍾溫如,1 個月前,4,
Chang Troy,1 個月前,5,戲水好地方
lester lee,1 個月前,5,希望這片美景能夠永續 每年都來看妳 一樣風情萬種 氣勢萬千 希望大家帶走垃圾
吳登淼,1 個月前,5,
Chang en,1 個月前,5,
Kai-Min Su,1 個月前,5,夏日戲水的好去處。瀑布入口處周遭均為私人停車場，收費多為100元/次
D H,1 個月前,5,"金岳瀑布位於南澳北溪的支流鹿皮溪的上游，是金岳部落族人的後花園，地處深山僻壤，原本默默無聞，但優美的瀑布、碧綠的深潭，以及被群山翠嶺環抱的溪谷地形，曾被攝影師喻為「全台最美麗的溪谷」，也是電影「不一樣的月光」的場景之一，美麗景點曝光後迅速傳播開來，成為溯溪的熱門路線。

金岳瀑布從30公尺高的懸崖傾瀉而下，水花四濺，水潭像顆碧綠寶石，清澈見底，溪水冰涼入心，巨石環繞著潭水，美不勝收。瀑布共有七層，第一層清澈淺潭，可見魚、蝦水中悠遊，在此戲水、野餐，適合一般遊客。第二層有天然的石壁滑水道，是溯溪者的天然溜滑梯。再往上層需溯溪攀巨石而上難度較高，需有溯溪裝備及教練帶領下才能前往。"
許奕雲,1 個月前,5,
歐思佳,1 個月前,5,
許為冠,2 個月前,5,我有看到真正的金岳瀑布，讚
