name,setTime,star,content
吳芊,6 天前,5,
Chaochieh Wang,2 週前,5,"必走景點。
一不小心肩膀撞到洞壁…腫了。"
양철민,4 週前,4,"很窄ㅠㅠ
非常窄"
許郡領,1 個月前,5,與仙洞相似
Chih Hao Huang,3 個月前,5,很棒，很漂亮。洞穴狹窄要小心頭部。
珠珠,5 個月前,5,路小小小條還好我可以通過~哈~哈~
洪梅津,5 個月前,5,在墾丁國家森林遊樂區內
吳莉楹,5 個月前,4,
O H,5 個月前,4,天然景觀，美！
黃卡卡,6 個月前,5,
王凱琳,6 個月前,5,"銀龍洞內狹窄
有些地方需要側身穿梭
很有趣👍 …"
蔡文芬,6 個月前,5,告示牌指出如龍鱗甲一般的晶瑩洞壁而得名，真是十分迷人。高位珊瑚石灰岩景色壯觀，能得到如探險家一般的心情，地質非常特殊，樂趣十足。
野蓮遊歹丸,7 個月前,5,真的要去
Nae-Chyun Chen,8 個月前,5,
家家,8 個月前,4,
Tung CHEN,8 個月前,5,"非常神奇的地方
注意是單行道
不要從出口走
不然會沒辦法通過"
林佳欣,8 個月前,4,
張維翰,9 個月前,5,
S Vanson,9 個月前,5,步道很涼好舒服
Vicky Chen,9 個月前,5,"2022/11
覺得比仙洞還漂亮，有些地方要蹲下去才好過"
Bin Chiu,10 個月前,3,
彪姊,11 個月前,5,好像尋寶般，走在裡面彷彿置身古墓奇兵般，大自然行程的景觀令人讚嘆不已！
Vicki,1 年前,5,"大自然神奇的力量
窄而小的步道
路徑不長
但蠻挑戰小小孩的膽量Xd
😅😅😅😅"
郭東環,1 年前,5,
自由潛水教練,1 年前,5,恆春滿意外的景點，道路、廁所、飲食、介紹都很齊全完善。
thriving5,1 年前,5,銀龍動很狹窄也不長，走的時候要小心，雖然地面很穩但左右會容易碰撞，先走這邊再去仙洞就會感動加倍，反之則會覺得普通
Sam Hsieh,1 年前,5,
金帛盛,1 年前,4,漂亮的地質洞穴
Rex Chou,1 年前,5,裡面滿漂亮的，可以看到特殊的石紋。
LP 10KG,1 年前,4,"很短的銀龍洞
一下子就走完了
還是仙洞好玩"
Dustin Wu,2 年前,5,很值得帶小孩去走走
Nick Tsai,2 年前,5,很美的天然景觀，如果有前去必遊景點之一。
jane liu,2 年前,5,
濃湯棒,2 年前,5,洞內比仙洞狹窄很多
劉士毅,2 年前,4,造物主的創意！
Happy Stone,2 年前,5,
yupin Chen,2 年前,3,
Meng-ling Liao,2 年前,5,狹長的地洞，走進去還挺有趣，有階梯也有些光線。
vic wang,3 年前,5,看蝙蝠
Jerry Wang,3 年前,5,涼爽的洞穴，內部有打光
M H,3 年前,1,因輕微維護而關閉至 2019 年 12 月
薛銘浩,4 年前,3,還不錯一個地質上的變化產生的特殊現象，但是洞很小體型較豐腴要有心理準備。
洪志偉,4 年前,4,
PO'A Chen,4 年前,5,
J,4 年前,3,
陳原禾（臺南市環保局）,4 年前,5,天然美景！
蔡榮基,4 年前,4,奇特的洞穴遍布鐘乳石裡面涼風除除非常消暑
peng peng,4 年前,4,
米灰,4 年前,5,自然生態很舒服的下午
黃榮貴,4 年前,5,
張簡銘仁,4 年前,3,
Shane S,4 年前,5,奇特的洞穴，鐘乳石壁。
Chien-Lin Tang,4 年前,4,
呂育全,4 年前,5,
Thomas Schweer,4 年前,4,截至 2018 年 11 月，公園內唯一未關閉的洞穴。非常小、緊湊但令人興奮的洞穴。好開心
c c,4 年前,5,
方心慈,4 年前,5,風景優美
Wu Steven,4 年前,5,
Mir N,4 年前,1,所有洞穴暫時關閉
康智淵,5 年前,5,"比仙洞短，比仙洞窄
但走起來比仙洞刺激😂 …"
蔡君,5 年前,3,
HENG-SHIN HUANG,5 年前,4,讚！值得一遊
Hannah Lee,5 年前,4,
Mike Welte,5 年前,4,
戴維政,5 年前,1,轉乘不便
Tsong Lai,5 年前,5,"有鐘乳石, 值得一看"
B one,5 年前,5,鐘乳石
Soar Tseng,5 年前,5,
張仲誼,5 年前,5,洞內真的十分壯觀，但有些地方有點狹窄，且地上時常有水濕滑，欣賞奇觀通時也要注意腳步和自身安全
chen,6 年前,5,
