name,setTime,star,content
shan,1 天前,5,
陳志彬,2 天前,5,1.3公里長，原路來回，中高海拔的茂密森林，一路階梯徒上徒下，步道整理的很完善，腳力夠時值得一遊。
貓大,3 天前,5,園區步道之一，太加縱走路線起點
吳佩,4 天前,5,最近都有下雨，有起霧，要小心注意
張守博,2 週前,5,前面步道比較陡，6、700公尺之後會比較平緩。下山時要慢慢走不然可能會滑倒
CC 洪 (機車洪),1 個月前,5,太平山森林遊樂區、今天來解鎖最後一個步道！懷著對森林與造林者敬畏之心走完最後一哩路！步道說明完成約二小時、輕裝加上腳程快不停留的話一個小時可完成！太平山森林遊樂區真的很棒、每個步道都值得大家用心去體會與感恩！
Paul 楊 (阿森),1 個月前,5,從太平山莊往上爬有點挑戰，下雨天不好走，建議帶登山拐杖！蠻原始的還不錯！來回要兩小時，單趟1.3公里。
胡傳中,1 個月前,5,注意溼滑。來回不停大約一個多小時。有看到山羌跟紅色的鳥。都是階梯，小孩建議10歲以上。步道最後可以看到大霸尖山。
Huang Huang,2 個月前,5,
Alan Lin,2 個月前,5,慢慢走來回約2.5小時，享受芬多精很舒服！步道不陡，適合一家老小來散步。
vita Bruce,2 個月前,5,很有挑戰性的步道
Jackson Huang,2 個月前,4,步道一路上坡，還好距離不遠，全長1.3公里，高度在2000公尺~2200公尺之間
Ruby Lin,3 個月前,5,路徑明確，部分路段較濕滑，建議穿登山鞋！
Kantanit Kietchakontana,4 個月前,5,這是一個非常美麗的公園。完美的森林條件，美麗的景色，美妙的景色。沒有下雨的那一天讓旅行變得有趣推薦來這裡林間散步散心，多半會遇到老人邊走邊玩拍照。
熊尚力,4 個月前,5,
Gino Lee,4 個月前,5,
像風一樣的男子,4 個月前,5,跟朋友相約來這邊爬山，走到登山口的路上還看到猴子! 登山口一堆網紅在那邊拍照打卡，但我們無心在那邊跟其他人在那邊擠。直接就沿著步道趕快往上，治途山林美景數不勝數，最後會到景觀台，可惜當天山頂天氣狀況不是很好，起霧還下著小雨，所以景觀台什麼都看不到，希望下次來能夠看到美麗的景色。
Suzanne Banana,4 個月前,5,走在鐵杉林自然步道，大口大口呼吸，帶點濕潤、十分清新無比的空氣，極為舒服。濛濛美感，似乎小精靈就要出現了。
Kevin Liu,5 個月前,3,"步道濕滑，到訪時有些棧道破損腐壞。
行走時需留心路況。"
meeishue lin,6 個月前,5,"0226一早走完見晴古道，搭接駁車前往太平山莊，一下車，廣播告知碰碰車車票賣完了，要搭乘碰碰車的朋友一定要一開園就衝上山排隊買票，不然會像我這樣扼腕！
還好鐵山林步道很美，沿路冰霰鋪地、植物像蓋著白色棉被一般，很美！"
Sayaka,6 個月前,5,好喜歡這裏的靜謐，真的是人間仙境！
劉亦恩,8 個月前,5,"細雨濛濛
行走在原始森林中別具滋味"
Lin Eason,11 個月前,5,"很美～
早上空氣很好"
李彥澤,1 年前,5,"其實很棒 走的人卻不多
夏天午後去林中還是很涼爽
奇形怪狀的樹木讓人聯想到泰山"
Ann Lin,1 年前,5,要先爬一大段樓梯，經過咖啡屋，蹦蹦車車站，鎮安宮，才會到登山口，有些路段高低落差大，因為氣侯常年潮濕的關係，有些路面比較濕滑，建議要穿比較止滑的鞋和登山杖，如果體力不太好的可以走檜木林步道，短短的環狀步道，體力和腳力還可以的就可以一次走完兩個步道
Vicky Chen,1 年前,5,接近終點時左側的水潭很美，集結對還可以看到水晶蘭。如果運氣好還可以看到黃喉貂，可惜我運氣不太好，一隻都沒看到
Lin啊儒,1 年前,5,
Matt Huang,1 年前,4,"步道1.3KM,沿途每100m設立距離指標木樁，但是不是很準，最後300m距離一下就到了，走前500m覺得距離好長，有比較累。終點的觀景台，中午過後應該是常起霧,一片白牆看不到景，步道終點是太加縱走起點。"
Jheng Fong Lin,1 年前,5,
Bihyuan Lin,1 年前,5,
windy lin,1 年前,5,鐵衫林步道單線來回，步道有防滑設計，爬升也不甚高，算是好走，不會太過濕滑。景觀既有林木交錯的美，也有苔蘚青翠的綠意，最後展望台可遠眺大霸尖山。早晨帶小六的兒子同遊，雖然沒遇到期望的動物，但看到動物便便，也頗有樂趣。
鄭金堯,1 年前,5,身處森林中的感覺身心靈徹底舒暢
Sundra Wei,1 年前,5,太平山森林遊樂區內除了坐碰碰車，還有一個祕境就是往上走到鎮安宮後接續走鐵杉林國家步道，一路行走其間兩旁的林木讓人驚艷不已，豐富的物種優美動人的樹枝線條，雲霧瀰漫讓人宛如置身於仙境中，到觀景台後原路來回大約兩小時，值得推薦探訪這景色優美的步道。
GangChu Lin,1 年前,4,
Jimmy Cheng,1 年前,5,只有1.3公里，路程也輕鬆，上山來吸收芬多精的好選擇
Davis Chan,1 年前,5,非常非常美
李明堂,1 年前,5,很棒的步道，天雨步道濕滑，行走時需小心！
Kao Brian,1 年前,5,
境芳,1 年前,5,
陳威廷,1 年前,5,"相當不錯的步道
但對平常沒運動的人會相對累
步道也相對原始
行走時需要留意"
DongKuei Li,1 年前,5,很棒的古道 來回約3小時
Chia-Ju,1 年前,5,"走完中央階梯已經快爆腿，還是要去森呼吸。
（爬上中央階梯到鎮安宮，接續上鐵杉林步道平緩許多）"
林柏毅,1 年前,3,太平山，一個遭網紅媒體過度吹捧的景點，現場還算漂亮但綜合考慮車程、花費，我覺得他只能算普通，低cp值，遠沒特地跑來參觀的必要。
陳明東,1 年前,5,郊山步道，很親民，終點雪山群峰
anna anna,1 年前,2,團客拍照很吵很拖，索性不爬。
William Chiu,1 年前,5,鐵杉分佈的很密集，步道長1.3公里，爬升約200多米，防滑設計的不錯，泥濘程度比山毛櫸步道好多了，來回約2個小時，推薦來走走。
MIN,1 年前,5,"很有挑戰性～
步道安全維護做得很好"
溫國暉,1 年前,4,空氣新鮮，
Ally C,1 年前,5,"濛濛細雨、雲霧繚繞的原始森林，蘚苔肆意攀爬覆蓋在樹幹上充滿生命力。步道階梯落差處都很用心，有用黃色反光條標示，讓步道更安全且防滑，很感謝施工維護單位及規劃單位。原本覺得太平山入園費很貴（成人$250/人），但看到這裡的環境設計維護，一切都值得！更珍惜這塊美好土地。

沒搭到碰碰車的旅客也不用失望，可以再繼續往上爬來這個秘境ㄛ"
Rivendell Wu,1 年前,5,"2021/05/03 陰

前一天因天色漸晚爬到一半折返；隔天在朋友堅持下繼續未完的步道。

部分路況是有木棧道很好走，越深入步道，有部分路況偏泥濘，下山時要多注意。沿途景色偏原始林，走起來十分舒服，但也鍛鍊了一下腿力。

走到終點時因為大霧什麼景色都沒看到，著實可惜。"
Xuan,1 年前,5,"美  加拍照來回約一個半小時 植被豐富
終點是太加縱走的起點"
苗氷語（冰語）,1 年前,5,
ruei ye,1 年前,5,微透點陽光走大步道，療癒且可以運動。
Julius Chen,1 年前,5,從原始森林入口到步道終點觀景台單程1.3K，視線好時可看到大霸尖山
張朝欽,1 年前,5,超棒的步道，景色跟之前爬過的山完全不一樣。有登山鞋跟登山杖會更好走一點，可惜最後起大霧視野不佳，整趟下來很涼快
Cher Chen,1 年前,5,很喜歡這裡的靜謐感，感謝微雨的天，願意走進來的人很少，更讓我享受獨自的山林：）
Hung-Wei Lee,1 年前,5,
Rose C,1 年前,5,
Luna Sung,1 年前,5,"一早走藍天白雲
下午雨後走，霧氣朦朧
需要點腿力跟體力，從太平山莊開始走，來回大概兩小時，很多直上的階梯
一路上原始森林風光很漂亮，空氣清新"
黃庭芳,1 年前,4,
TW i (5itw),1 年前,5,
Demian Chang,1 年前,4,
紅茶NG,2 年前,4,"那天去下雨發現到沒有人願意走到底…原因很簡單…腳下的因素，很多立足點是用原木打三個鐵條就可以，只是還是會滑道
周圍的景觀其實…還好本來同伴期待的感覺，變成放棄
回朔率30%
下次回去可能只有蹦蹦車
另外很多都在新增的樣子，下次去可能要很久以後才會好"
jack chen,2 年前,5,"內練一口氣、外練筋骨皮，是修練金鐘罩、鐵布衫的好地方
不過要小心走火入魔練成金臉罩、鐵面皮"
Jung Tsan Chang,2 年前,5,
Charlie Chou,2 年前,5,"非常原始的步道
充滿地衣與蕨類
巨木交叉壯觀
因為原始所以小飛蟲多"
Peko Lin,2 年前,3,飛蟲太多，快被逼瘋了😫 …
Hsu家豪（小口米）,2 年前,5,"很多特殊造型樹頭
下午來時 雲霧繚繞 美不勝收"
Chien-hua Ku,2 年前,5,很棒！也不會很累！
Josephine Chang,2 年前,5,"太平山鐵杉林步道（1.3K), 原始森林景觀，貼心安全的步道。"
