name,setTime,star,content
髙禾396,1 個月前,5,
Loren Lee,2 個月前,5,古色古香
Jimmy Xu,3 個月前,5,荒廢在河道邊的廢棄古宅，如同一張泛黃的照片，閱讀著時間的殘痕，散發著內心的滄桑，隱約瀰漫出，曾經輝煌過的燦爛歲月。
GaGa USA,3 個月前,1,就是一棟有礙市容的荒屋 政府不管 屋主不顧 一點不值得一提 悲哀
Mila,4 個月前,5,有貓貓很棒。哈哈
蜜思阿,4 個月前,5,
YouZhen Wang,4 個月前,4,
楊小銘,5 個月前,1,路小
楊豐榮,7 個月前,5,坐落於新北市汐止區禮門里綠色廊道旁，歷史悠久，是當地著名古厝之一。
David Liu,7 個月前,4,巴洛克式建築 在以前應該算是有錢人的豪宅 所在的位置視野很好 位處基隆河畔 面向西方可欣賞遠方山景與落日餘暉
Mimic Hsu,7 個月前,4,
劉興發,7 個月前,5,
張慧麗,8 個月前,3,有著歲月的痕跡……
H M chen,8 個月前,4,
葉毓恴,9 個月前,4,
Ally,9 個月前,3,"位於禮門里園區內
無告示牌解說
內部及附近無照明
建議天亮時來參訪觀感較佳也較安全
想瞭解相關歷史者推薦參考其它評論"
氣球,10 個月前,5,河濱車道可以看見的古蹟，希望可以協助清除雜草，這邊也可以作為觀光用途
鄭敏德,1 年前,5,
luliya xiao,1 年前,4,荒廢的古厝，就在禮門這邊一眼就能望見，跟一旁車水馬龍的街道相比有些突兀，荒涼的古厝背後有著它的故事。
Rosa Lin,1 年前,5,歷史主義建築，靠老街是中藥店、靠基隆河岸才是正面，屋主願意保留真的很有心，雖然無法入內，但可以近距離欣賞老建築的美。
Karen Lee,1 年前,4,真心期待文化局，或是地方有力人士能出面打理好這間古厝，開放參觀，或是成為風雅的茶藝館，這麼有特色的建築，不該就這樣在時光中凋零。
78 mo,1 年前,5,古厝很有特色，還有貓貓管理員進駐喲
陳谷歌,1 年前,3,
陳君羊金利,1 年前,5,陳君羊
