name,setTime,star,content
Chun Chih Hu,1 週前,5,
徐松枝,2 個月前,4,這次來只到小油坑一遊，來時也不是花季，無法領略他的美，因辦活動來此，匆匆一遊，殊為可惜！
孫立鑫老師,2 個月前,3,
Brandon Huang,2 個月前,5,
Peach Hung,3 個月前,5,
朱台深,3 個月前,5,"三月下旬／陽明山[吉野櫻]滿開／花兒大朵／[粉紅／粉白]開滿枝頭。一棵櫻花樹竟可開出數千朵櫻花－造物者的作品實在令人驚奇！

山上的[八重櫻]還在奮鬥盛開／專程等我們來此鑑賞過後－它們就準備鞠躬謝幕了！花瓣缺損的單朵[八重櫻]／仍然睥睨山林／站在櫻花樹幹上／長花長葉－笑傲江湖。

同一株櫻花／涵蓋[白色／粉紅／暗紅色]組成的[三色櫻]－真是好看！

提早開花／提早凋落的[吉野櫻]／卸下滿身的繁華後／等候來年再起。差點兒忘記[吉野櫻]的季節也是[杜鵑花]的季節－都是淡淡的三月天…。

原本只是上山賞櫻／沒想到浪漫的[紫藤]聽聞我們來訪－竟也急著提早綻放了！

[通泉草]果然是逐水而居／在這山溝旁開了一大片。今天的[通泉草]雖然長得很小／卻是我看過最完整／柔美的[微型]花朵。"
周曉玲,3 個月前,5,
蕭r世哲,3 個月前,5,
shinbiau hsu,4 個月前,5,
ken Huang,4 個月前,5,
tina pink,4 個月前,5,"一年一度的陽明山海芋盛會，第一次去「竹子湖」觀賞海芋。
竹子湖在層層山巒疊翠的包覆下保有豐富的自然生態，賞花時可眺望小油坑冒著煙，我驚喜不已，是活火山🌋！"
陳怡靜,4 個月前,5,
Jieyuan Shi,4 個月前,5,
Tim Hsieh,4 個月前,5,
曹翔維,4 個月前,3,電線似乎年久失修，希望大家多注意一點
陳逸蓁,5 個月前,5,
Weiyu Lee,5 個月前,5,
南彥,5 個月前,5,
Love travel owo,5 個月前,5,靠近市中心的可愛地方，有很多鮮花
王美,5 個月前,4,
ho tongo,5 個月前,4,
媛媛,5 個月前,5,
林德福,5 個月前,5,"活在當下，要惜秒如金，生命就在呼吸之間，每一秒都是下一秒的「過去」
祝福我的好同學們平安健康   德福大安"
Super Tony,5 個月前,5,喜歡這個位置！
JESSICA PENG,5 個月前,5,
張式中,5 個月前,4,
許不了,5 個月前,5,人不擁擠 汽車非假日好停
Tim Kao,5 個月前,4,
葉明祥,5 個月前,4,不只限櫻花季，平常也是遊覽勝地。
Vista Artista,5 個月前,5,今年櫻花早開，又因為最近少雨，所以晚落。能在台灣看到這麼美的櫻花，可以不必急著去日本。
陳訓榮,5 個月前,4,23、3/9暖陽微風直上陽明山、中山樓前及旁邊的湖山路一段是最精彩之處、櫻花未謝、杜鵑已開遊人不多相當悠閒。
김배,5 個月前,5,人沒有到很擁擠，天氣很好的時候去拍照很美，鼓勵大家多去看看走走
吳孟樺,5 個月前,5,步道規畫完善，交通方便，花況不錯，不只能享受大自然的洗禮，又能體驗人文藝術的薰陶，是親子同遊的好去處。
猴子老公,5 個月前,4,"有探險的fell,小隱潭瀑布很棒！！"
楊勝福,6 個月前,4,
陳建志,6 個月前,3,
hs hsu,6 個月前,4,
Huiling Chen,6 個月前,4,花開的還不錯櫻花🌸但不是很多1/16/2023 …
Ken Lien,6 個月前,4,
林素梅,6 個月前,5,
Doris Chang,6 個月前,5,
seepower chen,6 個月前,4,
Gabriel Chua,6 個月前,5,私定終身的好地方
Lee “o-O” yen,6 個月前,3,
Alent Chen,6 個月前,5,
Bảo Ngọc,7 個月前,5,❤️❤️❤️
minghai c,11 個月前,5,美不勝收
林麗卿,1 年前,5,
彭德誠,1 年前,4,
Hu Betta,1 年前,4,111-3-1造訪，天氣晴朗，雖平日但遊客不少，花季期間停車費有調漲。
white hsieh,1 年前,4,美
Lenvince,1 年前,5,"台灣的櫻花季真美🌸❤️
我是 3 月 19 日去的。驚人的和可愛的風景。不過人挺多的。我建議你們在工作日去那裡。並且應該早一點：早上 8 點到 9 點。"
沛寶王,1 年前,5,
Nancy,1 年前,5,
Bingo,1 年前,5,
鍾宛蓁,1 年前,5,
莊國華,2 年前,3,疫情持續沒有開放
過客,2 年前,5,
