name,setTime,star,content
White,3 天前,1,太扯了，裡面設施全部關閉，跟廢墟差不多，還收票入園，加line介紹景點，是要介紹個X...根本詐騙集團
吳庭,5 天前,3,走走 運動 拍拍照
張智勇（Jerry Zheng）,1 週前,1,
黃小米,2 週前,1,雷到爆！！
王宏珍,2 週前,3,還在開發當中
Nelly Peng,3 週前,3,"現在很荒涼。看得出來已經沒有在經營管理了。所有的咖啡館、服務處、泡腳池，全部都關閉，但就還是有開放入園。

裡面飼養的動物環境都很糟糕，尤其是兔子跟鳥類，看起來都很不健康。

此趟唯一覺得值得的地方是山頂上的日月廣場，風景很美。（可以騎車上山）"
楊慧玲,3 週前,3,
歐宗育,1 個月前,5,
冰菁黑杰克,1 個月前,5,"假如評論寫的有用心有幫助，拜託隨手點讚一下啦
非網美拍照打卡人氣名勝
雲夢山丘真的算很秘境
佔地達28公頃的園區
推測是園區路十分陡峭
加上疫情摧殘已沒泡湯區餐廳
但其腹地廣大佔地達28公頃的園區
風景很美空氣清新
絕對夠旅客玩一整天
在偌大森林園區散步很享受
日式廟宇建築很有特色
台開積木概念館很有金字塔感覺
打卡拍照好景點
金字塔內細看是雲夢山丘未來願景圖
艾美酒店希望有天能住看看
山丘好食餐廳無往日人氣
不知何時能再高朋滿座客滿
真心是很美的日式建築餐廳
蘭花園內玲瑯滿目的植物
四季都會開花 有錯落
雲夢山丘頂上的雲水觀
出自日本大師隈研吾之手
超日系 感覺到了日本一樣
還有特別乃雲夢山丘的鳥居
跟台灣其他地方的完全不同
由230根寬黃檜原木、黃檜集成材屋脊及鋼構組成
逐層懸挑的木構搭接
在光線營造下
整座鳥居級極具通透感與線條
最愛鳳山斜陽觀景台 ​
觀景台坐北朝南盤踞紫龍山脈之首
坐擁新竹十景之一「鳳山斜陽」
今日得見果名不虛傳
朓遠鳳山海闊天空
風景遼闊心曠神怡
可惜今天無緣偶遇逛大街的孔雀
園區內結合了許多的元素
日式建築的美與鳥類繁多的園區
能親自餵養羊群番鴨群是很鮮的體驗
碩大園區搭配絕美景觀
極具宗教意義
推薦旅客花半天時間好好逛逛"
陳淑玲,1 個月前,2,"還沒開發好，只有初步的開發。
就當做爬爬山，運動一下。"
