name,setTime,star,content
洪嘉誼 Chloe,11 小時前,5,很驚險刺激的古道～四小時走完來回一趟，風景很美～但要注意落石坍方
黃敬炫,1 天前,5,享受天然的芬多精
Snowman Chen,3 週前,5,
劉彰益,1 個月前,5,風景優美，但要注意安全，旁邊就是斷崖
JS Leu,1 個月前,4,有三層瀑布很棒
Bijo,1 個月前,4,由登山口起登後都是上坡、有點吃力，到了父子斷崖之後沿著山腰小徑平緩好走、路幅稍窄有些路段土石崩落要小心。沿途山景遼闊景色優美，雲龍瀑布有三層含氧量很高，過了瀑布要在往八通關古道要申請許可才能進入。回程可在山腳下吃碗愛玉很享受！
Bodhi,1 個月前,5,水很冰，蜜蜂很多
李清安,1 個月前,5,步道下的瀑布，與八通關古道東段的山風瀑布齊名！
邱銘,1 個月前,5,
levi811204,1 個月前,5,雲龍瀑布是八通關古道上最壯觀的瀑布，為一典型的懸谷瀑布，水量豐沛，終年不竭。瀑布可分三層，總落差達100公尺以上，瀑長水急，溪水以雷霆萬鈞之勢，從近乎垂直的谷壁傾洩而下，呈現一面白簾，因此又有「青山白練」之稱。
紅晨星,2 個月前,5,八通關古道4K處，清涼可玩水，從登山口到此爬升海拔500公尺，實測1小時即可到達，再過去就要申請入山證，步道部分有坍塌，有些地方路幅小不適合交會，很多是沒有護欄的，如果不小心踩空會直接下去幾百公尺深，切記不能踩有草或看不到路的地方，一路緩上還算好走
黃靖堯,2 個月前,5,
MILK城筱蕙,2 個月前,5,八通關古道順遊
蘇秋展,2 個月前,4,
陳金象,3 個月前,5,
angel,3 個月前,5,景色優美
辛邵祺,3 個月前,5,"進入八通關古道要注意，因為社區停車位不足，最好在東埔停車場停車後再過東埔吊橋前往登山口
八通關古道屬於管制地區，只能走到雲龍瀑布跟雲龍吊橋折返，不用申請，過雲龍吊橋後就是管制區域，在雲龍吊橋後端俯瞰雲龍二瀑，氣勢滂薄
整段古道多處坍方，必須很小心落石區域！"
朱明俊,3 個月前,5,八通關古道必經的一處天然美景
曾東海,3 個月前,5,
留文志,4 個月前,5,
王耀輝,4 個月前,5,"氣勢磅礡
不受枯水影響"
謝竹駿,4 個月前,5,進入八通關古道的路上不錯的景點
David,4 個月前,5,"年輕人去到的瀑布要接近2小時
去程9成上坡  之中有3成陡坡  大部分的陡坡集中在從山下到父子斷崖這段
我應該不會來第二次😂 …"
Jeffery Chang,4 個月前,5,雲龍瀑布共有三層，這裡指的是最上層， 就位於步道旁，不但能看到，也能摸到。另外兩層則可從雲龍吊橋旁遠觀。
bart Yuan,4 個月前,4,
蔡炳坤,4 個月前,5,
李好命,4 個月前,5,"萬丈瀑布天際落
怡然自得人開懷"
黃進鴻,5 個月前,4,上中下三層，是陳有蘭溪的源頭，峽谷壯觀是值得去的地方，有像鹿錐古道的感覺，可惜幾處癱塌要小心否則滑落穩死的，希望玉管處能儘快修護確保安全。
孫樹平,5 個月前,4,
劉睿智,5 個月前,4,感受大自然的美好
Vincent Yin,5 個月前,5,慢慢走還是會到的
劉東榮,5 個月前,5,
黄正建,6 個月前,5,"無雨的天氣, 適合大部份年齡健行, 小登山(止到雲龍瀑布, 過雲龍吊橋後, 則需要入山申請) , 路段有似於錐麓古道"
莊峻臣,6 個月前,5,
阮文恭,6 個月前,4,
棠棠,6 個月前,2,路非常狹小，一邊是山壁，一邊是懸崖，行走務必警覺專注，不適合老人和小孩。過父子斷崖後，有一處僅能側身通過，且一邊走，腳下土石持續崩落，十分危險，許多人未到雲龍瀑布即折返。
Sandy Chung,6 個月前,4,
Memory Huang,6 個月前,5,
唐慧玲,6 個月前,5,山ㄧ直都在、就等你做準備🇹🇼
Shih Dobi,6 個月前,4,"雲龍瀑布

從東埔吊橋走到雲龍瀑布，走八通關古道4.2公里，途中古道部分路段有土石坍崩，其中還有經過樂樂溫泉的下切路線，不過現在已經被圍起來了，其他路段都很好走！
從東埔吊橋走到雲龍瀑布 一共花了1.5小時"
Peggy Pang,6 個月前,5,沿路有多處崩塌、落石，遊客需要自身評估狀況前往
Jung Tsan Chang,6 個月前,5,"雲龍瀑布是八通關古道上最壯觀的瀑布，為典型的懸谷瀑布，水量豐沛，氣勢磅礡，終年不竭。瀑布有四層，因地勢遮蔽，在步道上無法見到最上段，目光所見的瀑布分做三層，總落差達100公尺以上，為八通關古道上著名的景觀。

往瀑布路上必經的父子斷崖，舊稱「父不知子斷崖」，名稱由來是因昔日斷崖險峻難行，即使是親如父子也無法分心照顧自己的兒子，在玉管處的維護下，險峻處都設有鐵鍊或護欄，小心行走必能安全通過。

雲龍瀑布位在八通關古道4.3公里處，從東埔往返只需半日腳程，可以選擇在壯觀的瀑布旁休息午餐。過雲龍吊橋就是步道健行的終點，是生態保護區的界線，如需進入要向玉山公園管理處申請許可。"
黃偉倫,6 個月前,5,
Mr.B,6 個月前,5,峭壁絕景 延著峭壁山谷一路向內彎延  每個轉彎處美景  有錐麓古道的感覺   雲龍瀑布  可以當天往返  算是輕鬆 走得愜意  下山可以吃一下愛玉   沿路有多處坍崩 和落石  通過要務必小心   建議可以戴膠盔去
陳睿祥,6 個月前,5,離東埔4.5k，芬多精充沛
Hsienhao Chiu,6 個月前,5,
Jack Sheng,6 個月前,5,非常美的景點
Shawn Kao,7 個月前,5,
林志持,7 個月前,5,路徑好走，風景優美。
alan,7 個月前,4,
LISA LEE,7 個月前,4,
葉金連,7 個月前,5,
張愛平,7 個月前,4,很美
林德銘,7 個月前,5,
郭煜焮,8 個月前,5,"台南市悅岳社郡大公車2日遊。
雲龍瀑布。"
林湘妙,8 個月前,4,
張啟德,8 個月前,5,
鐘雅慧Cherry Hui,8 個月前,5,
吳岳倫,8 個月前,5,"來回約4小時
慢慢走兒童可到，需注意安全，自備飲用水"
Simon Tu,8 個月前,5,很壯麗的景色，帶需要走二小時4.3K路程
翁雪華,9 個月前,5,八通關越嶺古道至雲龍瀑布，值得來走一趟，美不勝收
毛哥EM,9 個月前,4,
