name,setTime,star,content
Along Lin,2 天前,4,
Helen,2 週前,5,
Zack Liao,1 個月前,5,
Chen-I Shen,1 個月前,5,
陳修賢,1 個月前,5,超級美的步道
鍾文星,1 個月前,4,
悅寧甜甜,1 個月前,5,
卓德力,2 個月前,4,"古道以賞楓最為著名,全程大約20公里,生態多元,竹林楓紅,吊橋遺跡,都不會令人失望,值得大推。。"
Claire Chen,2 個月前,5,
鄭博元,2 個月前,5,美！下山剛好遇到雲海
温振郎（hayun gasu）,2 個月前,4,安全、自然、原生態…幽古空靈之山道（山林與身心合一之行）
Oliver Lo,3 個月前,5,"今天我們包場，整條古道只有我們三人，絕美的古道。道路安全，平緩好走，缺點是自己開車，所以沒辦法走到白石吊橋，我們到馬鞍就回頭了養老。

下次研究遺下游五峰石鹿進出，看看有沒有布一樣。"
陳小屏,4 個月前,5,"全段2日行程。
非常推薦冷門時段來個深度旅遊，營地近乎包場。
好幾處崩塌處，建議帶登山杖"
陳秉麟,4 個月前,5,
鍾璧如,4 個月前,3,從清泉桃山鹿口方向進，有山崩落石，有泥水坑洞...開車非常顛。走了約1.5km到祖靈地，看到不該出現的大型黑色袋，跟斷的桿頭，還有火燒碳的痕跡，再加一根新的煙蒂頭...匆匆回程，擔心遇見不好的事。
辰辰,5 個月前,5,還沒去成，但是是口袋名單
Lyra Wang,5 個月前,5,
A chi Wu,5 個月前,5,不管什麼季節來都很美的一個登山步道！只是上上下下的二十幾公里還是需要一點體力的😅😅😅 …
楊千藝,6 個月前,5,A進A出白石吊橋為折返點。步行了8小時左右，快到吊橋之前是高繞路段 其餘大部分都是平坦易走的路。沿途的竹林很美是一大看點
Sophie Chen,6 個月前,5,霞喀羅步道停車場旁的櫻花谷櫻花盛開非常美麗，入場$100/人，都到了付錢入場賞櫻後再去走步道很值得～
Ki-Wi Wu,6 個月前,4,盛開的櫻花，美不勝收，清新的空氣，滋潤身心，值得一去的好地方~🍀💕 …
胡宗翰,6 個月前,4,慢慢遊
Wendy Lin,6 個月前,5,即使沒有楓葉，也無損她的美麗!
Yuan Zhen,6 個月前,5,超讚的地方
許良維,6 個月前,5,
jason wang,6 個月前,5,輕鬆好走 風景優美
錢大爺,6 個月前,4,
Ping Lin,7 個月前,4,
Sweety,7 個月前,4,晚了一兩週，可惜楓葉已經掉了差不多了，不然整條路都是楓樹很美，沿路幾乎都是泥巴路，路濕滑真的不好走，所以下雨就建議不要來比較安全，霞喀羅古道算是好走的步道，沒有叉路不會迷路，只有幾個地方需要攀爬，木棧道每階都隔的蠻大的也不是很好走，回程時，可以直接拉繩子網上攀爬會比較快，或是直接走旁邊的路上去都會比木棧道好走，路途算遙遠，大概三個半小時到白石吊橋，吊橋有點長，建議不要在上面逗留太久，感覺不是很穩，風大時又很晃，旁邊的護網縫隙間隔也大，拍照完要趕快向前走，手機千萬要小心拿不然很容易就掉下去了，這裡步道走起來比較乏味，因為景色都差不多，為了看吊橋必須要走非常遠的路，沒有來過的還是可以來一次看看，風景還算幽美，只是路途非常遙遠，沿路都沒有廁所，上霞喀羅古道前沿路有個全家便利商店，一定要先上，然後自己垃圾一定要帶下山，看到有位先生邊下山邊撿沿路的垃圾，很感謝他。
江育仁,7 個月前,4,日本時期開闢的一條古道，歷史由大家來説，現在結合了優閒的健行步道，景觀步道，直得細細品嚐，泰雅族人的歷史。
暴龍家族,7 個月前,5,"霞喀羅古道賞楓季，養老步道口，週五至週日實施交通管制，每日限量申請車量進，沒有申請的只能做接駁車（免費），大概30分鐘一班次，算是很方便的。
這次走到白石吊橋，全程約10公里，來回近20公里，平常有在爬山的我們用了6小時。前段古道平緩很好走，後面一段陡上陡下的不太好走。"
J.C Tsai,7 個月前,5,
邱響鈴,7 個月前,5,"12/24和朋友漫步在霞喀羅古道，上午迎面吹來陣陣寒風，大家不畏寒冷，邁步向前行欣賞沿途的美景風光
接近中午抵達白石吊橋，站在吊橋上向下方的薩克亞金溪望去，溪水宛如明鏡一般，清晰地映出綠的樹、紅的花、藍的天、白的雲。午後的陽光透過稠密的樹葉灑落下來，成了點點金色的光斑。遠處的山坡，在陽光照映下，披上了金黃色的外衣，顯得格外迷人。"
ou ou,7 個月前,5,很棒
ben lin,7 個月前,3,
李秋蘭,7 個月前,5,
林國華,7 個月前,4,適合喜歡登山活動的朋友
Donald Dawabi,7 個月前,4,
Chinpao Huang,7 個月前,5,一生體驗一次的古道行程
Taichih Kuo,7 個月前,5,
彭金生,8 個月前,1,
Kelly,8 個月前,3,深山裡活動筋骨的好地方，一日遊可從養老步道-白石吊橋折返，但只有停車場一處有🚻... …
spin chan,8 個月前,5,輕鬆好走的步道
22127582小茜,8 個月前,4,官網公布的紅葉訊息不夠真確，最多的是對面的山，步道幾乎不見紅葉
Penelope Lin,8 個月前,4,"12/24、25前往
可惜今年楓葉未紅，沿途只看到一顆真的到了紅葉的階段"
王維尼,8 個月前,5,
Robert Huang,8 個月前,4,"22公里的路程大部分平緩
偶有陡升陡降
是鍛鍊體力不錯的場域
霞喀羅大山雖然沒什麼展望
但稜線上的巨木讓人讚嘆
芬多精和美麗多樣的林相，讓人流連忘返
馬鞍的楓葉季節對時很美
就是交通比較遙遠"
Lawrence Cheng,8 個月前,5,生態豐富，景色多樣，如果在秋天楓紅走一趟，是絕佳一日縱走入門線。
伯特羅,8 個月前,4,
