name,setTime,star,content
ic V,1 個月前,5,很舒服的環境與世無爭適合文青小旅行
Q Q,2 個月前,4,極具特色
C_YJ (Saint_Knight_Rhapsody),2 個月前,5,放鬆起來，只是上山時的自小客車真滴多，而且慢
Jackson Lu,2 個月前,5,
包博安,2 個月前,1,
Chun-Yi Yeh,3 個月前,5,因為路口附近馬路很窄，而且都是紅線無法停車，所以只能拍看到一點岩板的牆面。
李建寧,3 個月前,4,遺世獨立 寧靜的部落
O Jim,3 個月前,4,原住民特色滿滿的部落。
羅偉豪,4 個月前,4,魯凱族文化重地，周圍高山環抱，沿小街都是石板屋，也有不少攤販，在地原住民導覽真的很熱情與來客互動，通常這裡沒有市區的吵雜，而是寧靜的山城，是值得愛山者來此一遊的地方
基基,4 個月前,4,很有原住民特色的巷子，沿路的建築物有各自風格，走走看看很舒服，也有一些小店家可買吃的，這裡應該是霧台一定要來的地方了
柯藹珍,4 個月前,5,"這是個寧靜的山城，
乾淨，純樸...
遊客超愛來拜訪"
Leo Hsi,5 個月前,5,
B ibi,6 個月前,5,滿有特色的一條巷子，充滿石板屋與雕刻，還有一些特色美食小店，沿路都可以看見櫻花盛開
Hatsuhana Liu,6 個月前,5,每間房子都很有特色，不斷逼你按下快門！
Chen,7 個月前,3,參觀部落住民的家，用的都是岩石堆疊上去的單面牆，是霧台社區的景點。
靚DBM,8 個月前,5,一直很想石板烤肉
林豐信,9 個月前,5,神山部落一個很舒服乾淨的景點
どっち豆奇紅豆餅,10 個月前,5,
jeremy g,1 年前,5,值得專程前來，步行、慢遊、細心體會的原鄉部落！
TWKHH,1 年前,5,假日來走走挺不錯的
黃哲豪,1 年前,5,"放晴的霧台🌤️
抹上豔麗的蜜粉💅
現身在岩板巷轉角💃
將大伙兒迷得團團轉🥰
期待再次與妳怦然心動的相遇😘"
金輝,1 年前,5,來到霧台必遊的景點，居民主要的生活圈都在這裡，有民居有教會有商家，還有文物展覽，非常有部落特色的一個地方。順著蜿蜒的街道繞行一圈，欣賞這高海拔的原民城鄉，旖旎風光盡收眼底，可以領略滿滿的魯凱風情。
夏祖亮,1 年前,5,高山原民部落
葉家妤,1 年前,5,
莊憶芳,1 年前,4,巷弄間穿梭，處處原汁原味；喜歡原鄉風味。
黃子桐,1 年前,4,
Tea milk,1 年前,5,
劉茂盛,1 年前,5,"特色巷道，希望能繼續保持下去，
漫遊期間，會有許多小驚喜"
駱重鳴,1 年前,4,"魯凱岩版藏熱腔
米酒香甜味夠嗆
紅蝦奶酪配歡唱
其拿米粽桂花釀
霧台風情憶難忘"
