setTime,star,content,seg_result
18 小時前,5,,
1 天前,4,,
2 天前,3,拍照OK  門票 小貴,拍照 門票 小貴
3 天前,5,"充滿歷史的建築物看到過去家族輝煌的歷史豪華的戲台及寬敞的大廳真是難得一見
921地震以後所造成的損害業主花費了不少的心力讓他能夠重新復原也讓我們能夠再次欣賞到他的輝煌時代",充滿 歷史 建築物 看到 過去 家族 輝煌 歷史 豪華 戲台 寬敞 大廳 難得 地震 以後 造成 損害 業主 花費 不少 心力 復原 欣賞到 輝煌 時代
3 天前,5,,
3 天前,5,"古蹟保存的很完整園區也維護很好帶外國人來他們非常喜歡大花廳有很多值得看的點務必參加導覽非常推薦來台中必遊的地方
謝謝林家保存如此好的地方 ",古蹟 保存 完整 園區 維護 外國人 喜歡 花廳 很多 值得 參加 導覽 推薦 台中 地方 謝謝 林家 保存 地方
3 天前,3,,
4 天前,3,"維護不易但有近13不開放
令人覺得不值得純門票無抵消費有點小貴",維護 不易 13 開放 覺得 值得 門票 消費 小貴
4 天前,5,,
5 天前,5,,
5 天前,5,安靜幽雅如果要安排輕度小旅行是個蠻好的地方,安靜 幽雅 安排 旅行 地方
6 天前,5,,
6 天前,4,,
6 天前,4,,
6 天前,3,,
6 天前,5,"建議一定要預約跟著導覽走才能更認識建物的特色跟歷史不然外行走馬看花能逛到的東西就真的比較有限我們時間抓不好錯過了導覽但有聽到別場次導覽員後半段的介紹超羨慕有全程參與的人

因為倒塌復原有限以及開放參觀的區域其實沒有很多讓人有些小遺憾但有開放的區域確實能讓人感受到以前大戶人家對生活品質的追求以及寄託各種祈福願景寓意而精心設計的建物裝飾真的讓人感受到什麼是雕樑畫棟若有下次機會會希望能預約導覽再仔細的逛一次官網做的蠻好的建議出發前可以上去看一下簡介",建議 預約 導覽 認識 建物 特色 歷史 外行 走馬 逛到 東西 有限 時間 錯過 導覽 聽到 場次 導覽員 介紹 羨慕 參與 倒塌 復原 有限 開放 參觀 區域 沒有 很多 遺憾 開放 區域 感受到 以前 大戶 人家 生活 品質 追求 寄託 祈福 願景 寓意 精心 設計 建物 裝飾 感受到 雕樑 畫棟 機會 希望 預約 導覽 仔細 官網 建議 出發 上去 一下 簡介
1 週前,5,看完疑霧公堂再來參觀彷彿更融入感受當時的時空背景喜歡這裡的建築細節採光格局分布小從門環窗花到戲台梁柱很有文化歷史價值,看完 疑霧公堂 參觀 融入 感受 當時 時空 背景 喜歡 這裡 建築 細節 採光 格局 分布 門環 窗花 戲台 梁柱 文化 歷史 價值
1 週前,4,園區導覽可再加強畢竟有收門票聽完導覽參觀完第二天剛好電視介紹才發現昨天有好多歷史沒講到,園區 導覽 加強 門票 聽完 導覽 參觀完 第二 電視 介紹 發現 昨天 好多 歷史 講到
1 週前,5,"霧峰林家宅園分為頂厝下厝和萊園三大部分
宮保第是屬於下厝系統門票包含宮保第及大花廳都是連在一起的有固定的定時導覽即使沒有提前預約也沒有關係都可以跟著導覽的
頂厝系統包含景薰樓蓉鏡齋頤圃和林獻堂紀念館
萊園是單獨的就在頂厝下厝中間
宮保第一共五進是目前台灣現存規模最大的清代官府宅第還是蠻值得一看的","霧峰 林家 宅園 分為 頂厝 下厝 萊園 大部分 屬於 下厝 系統 門票 包含 大花廳 在一起 固定 定時 導覽 提前 預約 沒有 關係 導覽 
頂厝 系統 包含 景薰樓 頤圃 林獻堂 紀念館 頂厝 下厝 中間 目前 台灣 現存 規模 清代 官府 宅第 值得"
