name,setTime,star,content
Michael Kao,5 個月前,4,展望佳.
廖學聰,8 個月前,4,不論晴雨、都有不同的意境、令人感動！
MrChild,10 個月前,4,20221002 臺北大縱走3rd行經於此，頂山步道至北頂山路上注意往左表示，可以走到，這裡真的很隱密，可以避開人群安靜野餐：）
mila watan,1 年前,3,
黃寶誠,1 年前,3,有整理過走起來很開心～萬里區冷水堀上頂山
Chien-Chang Chen,1 年前,3,沒有明顯的線索到達這個頂峰。希望有人能為我們創建一個。
Chien-Chang Chen,1 年前,3,不是我不想去⋯⋯但沒路了啦⋯⋯走五公尺就一堆雜草～誰來開一下路？
阿風,2 年前,4,
C Jasper,2 年前,5,風擎步道必經之地！秋天一定要再來一次看芒草
油井晶宏,3 年前,5,"雖然只有一點草地，但是感覺很好！
有一個會議我在小道口迷路了！"
蔡大緯,3 年前,4,"20200329風櫃嘴到擎天崗的登山行程，其實算是很輕鬆很悠閒。但是這個步道其實有一些“番外篇”可以去執行，問題是這些番外篇如果你想在這樣溼答答的天氣裡探尋，其難度可能超越你的想像。
首先是頂山西南峰，它的入口就位在風櫃嘴起登即將抵達頂山的登山步道旁，但其實入口有好幾處，因為只是小山頭，所以有些登山客就自己開出路線依照GPS位置衝上三角點。但在這種天氣，前往頂山西南峰不管那條路線，都勢必要經過一堆爛泥巴，甚至有布條的路線更慘……因為大家踩得更深水積得更多更泥濘，所以要探尋這個小山頭，可能要做好讓自己鞋子褲子遭殃的心理準備。另外不只是頂山附近，接下來在前往北頂山、北五指山的路途上都充滿有刺植物，所以你若選擇夏季到訪，沒穿外套可能就會被刺得不要不要。"
Yang Chau,3 年前,4,頂山西南峰，山頂視野佳，距離頂山近，是個遠離觀光客的好地方！
TGG0141,3 年前,5,海拔適當  來回一個小時
張志明,3 年前,3,芒草多，不好走，只適合有方向感，會看地圖，而且喜歡荒野的人
Frank 黃 (K1-439),3 年前,3,
任家佑,3 年前,4,起霧石階微滑，風景好
林瑞祐,3 年前,5,"來這裡根本沒有路可以進來
只能憑著方向感走進來
路上真的很多刺 要小心
到底⊙_⊙"
Harvey Lee,3 年前,5,
P Chang,4 年前,4,
chen tom (tom chen toys),4 年前,2,
郭老虎,4 年前,3,
Chin-Yi Chu,4 年前,4,"頂山西南峰,,740.00m,北市,都3001"
Athlon Lin,5 年前,5,
