setTime,star,content,seg_result
1 小時前,5,,
2 小時前,3,好的,
4 小時前,4,"搭乘輕軌即可到達
可以走走逛逛看看
有許多大型奇特的藝術創作
適合溜小孩.約會聊天的好地方",搭乘 輕軌 到達 走走 許多 大型 奇特 藝術 創作 適合 小孩 約會 聊天 地方
4 小時前,5,,
4 小時前,5,搭乘輕軌很方便適合帶小孩放電的好地方,搭乘 輕軌 方便 適合 小孩 放電 地方
5 小時前,5,各種服務...,服務
5 小時前,5,"南部地區屬一屬二有市集加上廣闊的環境
很適合假日來散心購買市集的手工品",南部 地區 市集 廣闊 環境 適合 假日 散心 購買 市集 手工品
6 小時前,5,喜歡這個地方很文青很多小店面攤位可以逛逛,喜歡 地方 文青 很多 店面 攤位 逛逛
8 小時前,5,"一整個園區非常的大也有很多文藝的商店所有商品都會讓人想入手
充滿了文藝氣息
而隔壁就是棧貳庫有許多大型藝術裝置可以大拍特拍下次會再來的文藝勝地 ",園區 很多 文藝 商店 所有 商品 入手 充滿 文藝 氣息 隔壁 許多 大型 藝術 裝置 大拍 特拍 文藝 勝地
10 小時前,5,去過的 就知道,知道
10 小時前,4,,
11 小時前,5,偶爾會有市集和一些大型活動或者有室內的演唱會,市集 一些 大型 活動 演唱會
13 小時前,4,,
14 小時前,4,20230417到訪千萬不要早上來熱死結果改去棋津騎Ubike結果一樣曬傷高雄的太陽啊,20230417 到訪 早上 熱死 改去 棋津 一樣 曬傷 高雄 太陽
14 小時前,5,"這是台灣高雄必去的地方無論是白天還是晚上駁二藝術區都是一個不錯的去處

除了人們可以享受的創造力之外它還是一個非常適合 instagrammable 的地方有許多藝術裝置和裝飾人們可以在那裡度過很多時間

當你在那裡時千萬不要錯過每天下午 3 點和周末晚上 7 點實際上 180 旋轉的大海港大橋

人們也可以被夜間海灣燈火淹沒海灣港口地區所吸引

週末還有創意東西夜市鹽城夜市",台灣 高雄 地方 白天 晚上 藝術區 不錯 去處 人們 享受 創造力 之外 適合 地方 許多 藝術 裝置 裝飾 人們 那裡 度過 很多 時間 那裡 錯過 下午 周末 晚上 實際 旋轉 大海港 大橋 人們 夜間 海灣 燈火 淹沒 海灣 港口 地區 吸引 週末 創意 東西 夜市 鹽城 夜市
17 小時前,5,,
18 小時前,5,,
19 小時前,5,不錯.... ,不錯
19 小時前,3,,
1 天前,5,記憶中駁二藝術特區以前是港區碼頭有海關圍牆隔絕不是一般民眾可以隨意進出如今能夠就近看海觀船碼頭特有景觀值得佇足觀賞,記憶 藝術 特區 以前 港區 碼頭 海關 圍牆 隔絕 民眾 隨意 進出 如今 碼頭 景觀 值得 佇足 觀賞
