name,setTime,star,content
龍小步,11 小時前,5,讚到一個！！！
Herman He,4 天前,4,就在路邊 但願我沒有標記錯
Eddie Chen,1 週前,5,
王貴坤,2 週前,3,還不錯
Yun Long Shyu,3 週前,5,
葉天任,3 週前,4,"瀑布群的起溯點位於北橫公路37.6k處，從高義橋旁進入，進入後映入眼簾的是林立的巨石和清澈的溪水，很美很壯觀。
瀑布群主要的大瀑布共有六層，我是第一次到此，我們約有二十人，所以只走到第三層瀑布就需折返了，因為從起點到第六層瀑布的路線根本就是一路爬山到底，而且需要拉繩攀爬，尤其是第三層瀑布往四層的路，一開始就是要爬過一面垂直的山壁，難度頗高的。
不是說是溯溪嗎？要到每座瀑布 深潭還真的不須要溯溪，因為都在登山步道旁，不過要下水玩要到瀑布底下就絕對需要溯溪三寶才安全。"
Victor Liu,1 個月前,4,清涼
吳佳靜,1 個月前,5,"夏天玩水的好去處 雖然要稍微爬一下山 不過很值得👍🏻
不推薦帶寵物小孩去 不方便"
jason wu,1 個月前,5,雨天切勿前往，強烈要求攜帶「溯溪三寶」；溯溪鞋、岩盔和救生衣
pihua fiona,1 個月前,4,
Chiang Avangu,1 個月前,5,乾淨 涼爽
Roxanne Kang,1 個月前,5,很自然漂亮的瀑布，但沿路車很多，路窄，要停車下來看風景，一定要小心來往車輛。
ws LING,1 個月前,4,
郭啟森,1 個月前,5,
王雅嫻,1 個月前,4,漂亮，但是沒有可以停留的好地方
YU HSIANG TING,1 個月前,4,
Phú Thiên,2 個月前,5,"泉水很涼，洗澡的味道很咖啡，但是在岩石上移動要小心。
我滑倒了，頭腫了"
唐美珠,2 個月前,3,
簡小葵,2 個月前,5,
gary wu,2 個月前,4,
魏明雄,2 個月前,4,
Jejak Si eqo,2 個月前,5,風景好
戚得志,3 個月前,5,
Jeffrey Li,3 個月前,5,"有難度,需要技術裝備,但地貌的多樣性豐富"
竹三團駱駝刺楊宏洲,3 個月前,5,
Ethan Lo,5 個月前,4,高義瀑布
CHI MING CHEN,5 個月前,4,位於北橫公路37.6處從高義橋旁進入，這裡進入大部份都是大石頭。走在這裡需要小心容易跌倒受傷，但瀑布雖不大溪水確很清澈。
宋美珍,5 個月前,4,
安,5 個月前,5,
徐進明,5 個月前,4,瀑布有很多層
iderlee chen,6 個月前,4,完成所有瀑布拜訪是稍有挑戰的溪徑行程，但也可在橋下溪邊休息玩水！因此適合想進一步探險的溯溪垂降玩水遊客，也適合只在橋下玩水的普通遊客，橋下大石與裸岩加上第一個瀑布，景觀就有可看之處，若雨濕滑，小心岩體行走滑倒受傷，是夏日戲水消暑的好地方！要上溯至上游的瀑布就需克服地形障礙，須要高繞攀繩，峭壁之旁，巨石攀爬，落差和裸露感很大多處20至30公尺垂直上下讓膽小的人心驚懼怕，體力若不能支持，會有危險，墜落高崖就是非同小可的傷害了！因此要三思！走完全程來回約三小時，需攀爬建議不要背負重物，但建議着防寒衣，頭盔，防滑溯溪鞋，對有經驗的溯溪垂降者而言，是很有趣刺激跳水玩水很棒的遊樂場，由高義橋旁小徑下行，至第一個瀑布下方右側岩壁上攀而行，沿溪可以找到上溯路徑 ，刺激好玩，一般遊客建議不要上溯，橋下嬉玩即可！
陳世安,7 個月前,5,紅楓滿山遍野
Ianwang,8 個月前,5,"建議還是找有經驗的人帶路 並要有一定的裝備
一般人到達第一層瀑布應該不會是大問題
有瀑布可以又有冒險的感覺真的很讚"
裕國,9 個月前,3,
邱佶志,9 個月前,4,不錯的地方，但左邊的路看不到了因該是沒人走，剩右邊有路下去，但沒專業工具要到瀑布下會有點危險要注意，還有盡量不要一個人去，我就是一個人去到處爬來爬去超累的還到不了瀑布下
Michael Chen,10 個月前,5,好地方
Yikuang Chen,10 個月前,4,安靜但令人驚嘆的景色。休息和伸展雙腳的時間到了
遺忘日蝕,10 個月前,5,
傅彥達,10 個月前,5,短短的路程就有好幾個瀑布跟深潭，前面三層瀑布簡單好到，滑水道超好玩！之後幾層瀑布就需要翻過較高的地形，需要拉繩攀岩才能到達，風險跟體力需要謹慎評估！路程不遠但驚喜連連真的頗推薦！
程瑋捷,10 個月前,4,北橫公路旁瀑布系列其中一個，有稍微較大的空間可以停車休息～
黑化的騎乘手,11 個月前,5,
吳敬仁,11 個月前,5,可惜旁邊的樹沒有修整
Ding Ding Ding,11 個月前,5,CP值很高
