name,setTime,star,content
汪賢德,5 天前,5,
高元光,2 個月前,5,
邱邱,3 個月前,5,
黃石松,7 個月前,5,
江慶祥,1 年前,5,
潘進亮,2 年前,5,
丹信,2 年前,3,
攝勤鵟,2 年前,5,高雅·幽靜·壯觀
Great.design chen,3 年前,4,好天氣~景就是美😘 …
Hồng Quân phạm,3 年前,5,
翁慶淵,3 年前,4,
洪麗婉,3 年前,4,
sunny,3 年前,5,
李重明,3 年前,5,
Derrick Lin,3 年前,5,
陳良成,4 年前,4,
李元覺,4 年前,5,
yu-yen0827 lin,4 年前,5,
陳金龍,4 年前,5,
孫梅玲,4 年前,4,
廖偉翔,4 年前,5,
趙憶凡,4 年前,5,好環境，好空氣，好茶
方品淵,4 年前,5,風景優美空氣清新重點是茶葉超級好喝
魚語,4 年前,3,
Long Nguyen,5 年前,4,
張明煌,5 年前,5,
Surya Dharmadi,5 年前,5,
子庭,5 年前,4,
Alan Chang,5 年前,5,
AZheng Huang,5 年前,5,非一般觀光茶園 全程自製 好品質的合歡山茶系
粉大顆,5 年前,5,品質看得到，真的很好喝，風景優美，就是路不太好走，買茶葉還是宅配就好...
蔡明耀,5 年前,5,空氣清新、風景優美，茶園非常的大而廣 正對面剛好可以看到清境 來可帶個望眼鏡 可從不同角度看看其它山區景色
蔡叔娟,5 年前,5,空氣好，景色美，茶好喝，晚上無光害天空像是星星叢林，好美！
江宗勳（VITO）,5 年前,5,
邱勤勤,5 年前,5,
徐元寶,6 年前,4,風景優美，氣候涼爽 ，景致宜人，接近產業道路的路況，低底盤車，開車要留意，會車不太方便。
WT Hung,6 年前,5,視野好，兼撿眉溪山三角點。
徐明獻,6 年前,3,
施政君,6 年前,5,
morpheus chang,6 年前,5,
戰魂W,7 年前,5,風景漂亮唷~
