name,setTime,star,content
KYH,1 週前,3,從地形圖看魔神仔洞與實際位置相差一條山溝
黃建倫（冷冷）,5 個月前,4,"一個山洞景色
洞不大差不多兩人寬穿過以後只有一小平台無路繼續前行
洞內潮濕有水窪跟在滴水
除了此洞以外附近還找的到其他類似的山洞
只是不太建議進入探查
如果想來的菁桐車站到菁桐古道後
叉路處要繼續直行偏左下小路
往右上大路會通往石筍尖"
好吧,8 個月前,5,"爬山的時候會經過這裡
登山健行是我的興趣"
ZHONG YAN LIN (酷企鵝),1 年前,4,從盤石嶺過來的路線較原始比較難走，一路陡下。從菁桐車站方向過來路線都是石階比較好走，一路陡上。除了魔神仔洞，附近也有坑洞可以看。今天下午3-4點去健行，沒遇到回程的人。
Seva “崮博士”,1 年前,4,
林明信,1 年前,5,
黃蓉,1 年前,4,菁桐古道平溪段的中繼點，距菁桐坑登山口(公車站牌：二坑口)約1公里，距磐石嶺福興宮約1.3公里(磐石嶺福興宮入口的標示卻寫1600公尺)。洞口林蔭，洞內地面因潮濕而多爛泥，洞後無道路。
Vincent Lin,1 年前,3,
Suling Chang,1 年前,4,
鄭閎中,1 年前,3,就是登山會經過的一個小景點
T. C Fox,1 年前,5,"菁桐古到上的煤礦業遺跡，可以穿透，周邊另有一處礦坑遺址。
古道自然純凈，不時可聽到山羌叫聲。"
Chen James,1 年前,4,路徑雖有上下起伏，但坡度不大，適合全家出遊。
張復源,2 年前,4,80%石板步道，輕鬆易走，空氣清新，離106線道很近，有空可以來走走
遊山玩水,2 年前,1,無趣
阿風,2 年前,4,
彭兆平,2 年前,4,魔神仔洞還算小洞，其實周邊附近有兩個大黑洞，有人知道這兩個大黑洞的由來嗎?
25林岳勳,2 年前,4,很有趣的一個景點😂輕鬆不難走，好入門 …
李玉程,2 年前,4,原始林相空氣好
劉家福,2 年前,3,路好走，洞內地面濕滑
Fumi Tseng,2 年前,4,
yukiyen yen,2 年前,5,
Y S,3 年前,3,聽到這個名字誰敢去（現在七月）。。。
高玉明,3 年前,5,
王中何,3 年前,3,
Last Poetry,3 年前,3,
eyes king,3 年前,4,有趣的深山路。中難度
S.C HU,3 年前,3,普通的礦坑洞
莊明原,3 年前,4,因為名稱增添神秘感
skymoney chen,3 年前,5,刺激
歐爸三,3 年前,5,"魔神仔洞
1-難易度給1.5顆星，石階多
2-里程(從石筍尖入口算)約1公里內
到魔神洞約20多分鐘
路況車道、石階、土徑、洞穴
3-方便停車，摩托車
4-由菁桐榕園民宿方向進去，往石筍尖看板方向進入後，有大廣場，大車不容易開進去，須注意
洞內十分泥濘，下雨還會滲水，須注意
5-菁桐古道路旁的坑道遺跡，據說日據時期為方便運煤台車通行而開闢的隧道
6-白天適合親子探險"
葉天任,3 年前,3,位於平溪區菁桐古道上是一處景點，是以前煤礦開採的通道
Roger Hsu,3 年前,3,
黃詩雅,3 年前,5,魔神洞洞裡泥濘一般布鞋要注意
Peter Woo,3 年前,2,就一個人工挖掘的短短山洞，地面頗潮濕，不建議入洞行走，因為只要入洞口一點點就可以看到不遠出口的光線了。到此一遊拍個照即可。
張永通,3 年前,4,
Anson Kuo,4 年前,3,
胡奎盛,4 年前,3,
李美雲,4 年前,3,因沿路都在樹蔭下，地上都是青苔，有些滑。
楊淑雯,4 年前,5,常常去走菁桐古道。魔神仔洞共有2處。陰暗潮濕。是早期二戰期間當地居民躲美軍空襲的防空洞。
Steve Kim,4 年前,3,是南科斯。到處都有很多障礙物和繩段，千萬不要一個人走，以防發生意外。
周春桂,4 年前,5,
李宜,4 年前,4,"以前的挖礦人工挖鑿的洞，
在外面拍拍照即可，
不要進去探險，
因為迷路走不出來更危險~"
Tony Huang,4 年前,4,菁桐古道路旁運煤坑道遺跡
張欣然,4 年前,4,在平溪石筍尖旁邊
吳爾笛,4 年前,4,洞穴有點可怕 積水多 走進去鞋會全濕
張小葛,4 年前,3,
Brian Chen,4 年前,5,好可佈
Hsiang yi Chen,4 年前,5,
Howtai Chen,4 年前,4,
楊杰,4 年前,5,陰時多雲偶陣雨 別有一番滋味 共走7個小時
馬家承,4 年前,5,
陳桂川,4 年前,5,
蔡美慧,5 年前,5,此洞在菁桐古道必經之地，猜想是較軟的石灰岩被侵蝕掉了，留下較硬的硬砂岩。這裡的森林較原始，有不少的老藤
long jun,5 年前,3,
張兆郎,5 年前,3,純路過給三顆星。
Andre Yen (Yahoo),5 年前,4,
李如珠,5 年前,4,
LiangHui CHEN,5 年前,2,位於菁桐古道的起点！相傳有鬼魅出現！其實是日據時代的煤炭坑！日久沒有工作而荒廢至今！
高北斗,5 年前,5,如果是魔神仔洞那為何不去那過夜一天呢？
Karen Lee,5 年前,4,
tonychou1229 Chou,5 年前,3,
James Tang,5 年前,3,平常人要有一般的體力才有辦法抵達這裡 感覺很像以前的防空洞
柳天雲,5 年前,1,
chenyu dai (小寶),6 年前,5,就ㄧ個洞ㄧ個牌子滿有趣的洞內有天然的冷氣可供休息吃東西
ewekuche ku,6 年前,5,古樸的山徑，見證了先人篳路藍縷經營平溪的痕跡
