name,setTime,star,content
將軍,1 週前,5,
涂文信,1 個月前,3,很熱的天氣。海浪很大。
Hoo Ya,4 個月前,5,放鬆身心好地方
CHI MING CHEN,4 個月前,2,說真的的這裡就是南澳溪的出海口，因沙灘與溪口處有個較大的彎角所以有一處較大較寬的湖面。但景色也算還好沒什麼特別之處，要說是景點也還不算。若是路過來看看是OK的，不要專程來這裡不值得！
Yibin Q,4 個月前,5,
sti Imp (Imp),4 個月前,5,景色相當秀麗，有點夢幻，小朋友打水漂的好地方，
Carol Carol,4 個月前,5,
翁小川,4 個月前,5,
QQ Honey,5 個月前,3,人煙稀少，沙灘無商業活動，地處偏僻。原始海岸景觀
山姆,5 個月前,5,
陳春年,5 個月前,3,
Hsia Fan,5 個月前,5,
Picard H,5 個月前,4,海邊人很少還不錯
蘇江村Martin,6 個月前,4,
徐偉中,6 個月前,5,
Lucas Kuo,6 個月前,4,
辛俊澔,7 個月前,5,
黃永池,7 個月前,3,
Macro Chang,9 個月前,4,
Ning Chuang,10 個月前,1,根本找不到在哪裡 不值得去
楊坤坪,11 個月前,4,
Jackie Wei,11 個月前,1,"溪水上游是養鴨場，臭死了！
因為會被臭死，要不要改名“殉情湖”比較貼切......."
郭玉龍,11 個月前,5,
Sammy Wang,1 年前,4,這裡是從小路進來，所以人潮少！待整個下午也很舒服
liest wang,1 年前,3,神祕海灘、鴛鴦山、定情湖，沙灘位於南澳南溪、南澳北溪出海口的沖積平原上，與大海邊隔著挾長型的湖，稱為「定情湖」，沙灘濕地上有座日經月累的隆起的小丘，形似鴛鴦而稱為「鴛鴦山」。神祕海灘生態多樣，有濕地、天然湧泉、海灘、山丘…等自然生態，是難得一見的生態海灘。據說只要兩個有情人彼此以手撫摸鴛鴦山，並面向定情湖共許山盟海誓的約定，就可以長相廝守。
Miro Tung,1 年前,5,生態豐富的河口，目前為小燕鷗繁殖區，勿越過黃色警界線。
ADV_rider CRF,1 年前,5,沒有人就是爽，但是自己生產的垃圾請自己帶走，這裡不是你家
Ying Lin,1 年前,3,Google導航經過一段［夜總會田間小路］，來到此地，其實就是一處比較‘’僻靜‘’的海邊。比起台灣各地經典山海景致，此處實在是不值得特地前來。唯一的優點是可以不跟人群擠，自在的玩海水。
郭茂松,1 年前,1,一般的海灘沒有看頭
calvin pen,1 年前,5,很幽靜的秘境，河水潺潺的聲音搭配遠方的山景，是非常寧靜的景點，要注意產業道路是沙地石子路，騎摩托車要小心路況
Zong,1 年前,5,👍🏻 …
振興潘,1 年前,5,超級無敵下午美景
蔣佩倫,1 年前,5,
Eric Lin,1 年前,5,
ANNIE LIN,1 年前,5,
KH Hung,1 年前,5,
何坤原,1 年前,3,就海邊
hc,1 年前,4,有點普通，但適合放鬆、思考人生。
Ming-Hsien Yang,1 年前,4,可以在沙灘上戲水、賞景的好地方，交通方便。
李昆達,1 年前,4,
鍾羅伯,1 年前,4,相信好天氣，風景會更美
王崇羽,1 年前,5,適合思考
Pixy 淑嬌探索頻道 Chen,1 年前,3,"幽靜，適合情人約會。觀山望海，適合放空的地方。
有很多奇妙的石頭，很美，但是請留在原處，讓大家欣賞。"
陳景中,1 年前,5,休假放空的地方
0_Fong Lin,1 年前,5,地點隱密，人很少，非常愜意
Paco Liu,1 年前,4,
陳正一,1 年前,5,"打魚，露營，衝浪的好地方
無人打擾，可壞壞"
JackCC Chang,1 年前,5,
yachun W,1 年前,5,別有洞天的海岸，遊客不多，讚
James Wu,1 年前,4,
酷猫猫,1 年前,4,"景色不錯但非觀光景點  適合喜歡自然的人
可以放輕鬆  想靜一下心情的好地方"
高小崴,1 年前,5,
Icheng Chiu,1 年前,5,"非常美的地方⋯
本人比照片好看，
一條長長的沙洲分開湖和海
海浪會打到沙洲上
這海邊幾乎沒什麼人，
有一邊的沙灘上，
有滿滿的漂流木"
S.H. Lin,1 年前,4,
Kiyomi Kitayama,1 年前,5,
Joanne Taipei,1 年前,3,
崇捷地政士事務所,1 年前,5,
shainshing Wang,1 年前,2,
珍珠,1 年前,5,"看日出、聽海的好地方。
環境保養很好的地方。
可能是退潮的關係，海水比較遠，沒有上來形成小池子。
大家來看風景順手撿垃圾回去丟，這片海就會一直美麗下去❤️"
Jhang Roger Jia Rong (roger225 珈榮),1 年前,5,
波拉貝,1 年前,3,"水量充沛時前往比較好
不然上遊養鴨場流下的水.....那個味道....
我是看了今年7月的照片想說去那玩水 結果水質令人却步
但不少人在那釣魚~很熱鬧~"
byton007 byron Hsu,1 年前,4,不一樣的美景，粉特別.
bor-jian Chen,2 年前,4,順往南澳溪的出海口，在南澳龜山的南麓濱海處，有個名為鴛鴦山定情湖的神秘海灘，在出海口的沖積平原上，在大海邊有著挾長彎曲的湖，在這一片平整的黑色礫石灘上，南望台泥水泥廠，北望烏石鼻，已不見鴛鴦山的小山丘，南澳溪溪水清澈、波光粼粼，南澳溪在最終出海口有一長帶狀礫灘隔開海水與溪水，狹窄的出海口使得溪水變得水流加快、湍急奔流，海浪拍打石礫沙灘，最終溪水流歸大海，合而為一。#鴛鴦山定情湖 #南澳溪
omid kahbasi,2 年前,5,
shengyao lin,2 年前,5,
bbcat lai,2 年前,4,"可看山看河看海
求離苦離塵離憂"
Simon Fang,2 年前,5,
Lo Robert,2 年前,5,
Michael Lin,2 年前,5,很美的地方
謝適旭,2 年前,5,
