name,setTime,star,content
Fiona Chen (張賴皮),1 週前,5,適合運動
Yuki Lu,1 週前,5,
陳光中,1 週前,4,現廣場變的很寬闊
陳連是,2 週前,4,
鐘元鴻,1 個月前,5,
龍龜太子,1 個月前,5,
Hensan Chen,1 個月前,5,
Sajeesh Thottungal,2 個月前,5,
蔡鳥,3 個月前,3,
蔡世豐,4 個月前,4,
Elsa_M.C.,4 個月前,5,我是在地人，這段時間看著聖母廟的進步，真的很欣慰。讓我們在地人很方便且覺得驕傲的地方。
詩芳許,5 個月前,5,
叡麟叡麟,5 個月前,5,
DingHsiang Lin,6 個月前,3,
Chen WordFamily,6 個月前,5,小孩放電好地方
劉景華,6 個月前,4,主祀天上聖母，共六爐。佔地非常大的媽祖廟。
楊雅嵐,6 個月前,5,
周聖仁,6 個月前,5,很優秀的地方
陳艷真,6 個月前,5,很適合過年走春，或來看元宵高空煙火
聖徒阿里歐,6 個月前,4,遠離密集人群找一處下風處，車上吃晚餐、喝著咖啡、啃瓜子，欣賞一年一度的國際盛事。
廖小祥,6 個月前,4,
張隆忙什麼,6 個月前,5,很美的地方
廖致理,6 個月前,4,
邱明洲,7 個月前,5,
郭朝詠,7 個月前,4,
YUN-FANG HO,7 個月前,5,很常來這裡拜拜，拜月老（已8年，努力中）、福德正神。
張小益,7 個月前,5,
faradary,8 個月前,3,平日好停車，但那廣播很爛，大聲但聽不清成噪音
王文華,8 個月前,5,"讚！
休閒走走"
Zhenchang Luo,8 個月前,5,星期四晚上， 小型夜市的好地方
afessily lin,9 個月前,5,假日出門散心好地方
蘇文彬,10 個月前,5,
Ruby CAI,11 個月前,5,綠蔭充足，是在地人聚集的好去處
侯旭彥,11 個月前,3,人文薈萃
Peter Wu,1 年前,4,
trenco WU,1 年前,5,
郭高源,1 年前,4,"雄偉的牌樓
媽祖為主神的信仰中心"
紅龍,1 年前,4,
蕭祥麟,1 年前,5,
郭俊男,1 年前,5,
WONG FU GO,1 年前,3,建走，伸展，閒聊，銀髮好去所。
Nick-Topjie,1 年前,5,
彤彤,1 年前,5,
鄭雲龍,1 年前,5,
王啊宗,1 年前,5,
郭水考,1 年前,5,
翁國銘,1 年前,5,
鄭隆勝,1 年前,4,
蔡宗霖,1 年前,5,
永裕專業空調,1 年前,5,
Pppll C,1 年前,5,煙火很盛大！
吳小宏,1 年前,5,
王杉雄,1 年前,5,
洪小瑛,1 年前,4,鹿耳門聖母廟香火鼎盛，兩尊千里眼，順風耳更章顯了氣勢磅礡的廟宇之尊，對面充滿人文的圖書館背後就是公園了，這是當地民眾鬧中取靜的地方，這季節落葉滿地，有些枝葉也抽出了新芽，風很大，吹得紙屑到處飛，是唯一美中不足的地方，樹上木棉花也開始綻放，好天氣可以來此晒個太陽放鬆ㄧ下
陳昱廷,1 年前,4,
俊昌國際有限公司,1 年前,5,走走看看
chen lincathy,1 年前,3,
Mei Mei,1 年前,5,
蔡盈志,1 年前,5,
邱基棟,1 年前,3,"好
不只是天氣"
老陶,1 年前,3,
鄧如松,1 年前,5,
蔡妃雪,1 年前,5,
yushan Wang,1 年前,3,在開基天后宮的對面，公園雖小卻擁有一座土城圖書館，林蔭步道在炎炎夏日也十分涼爽，有兒童遊樂區、健身器材可使用，衹是園區內像是缺乏管理，隨處可見垃圾流浪狗偶見對著遊客吠叫，犬隻並未剪耳結紮處置，希望相關單位能面對問題改善，重視藝文的文化古都台南，還一個潔淨清爽的休憩空間給民眾好嗎？
MARVIC dumagan,1 年前,5,
黃志誠,1 年前,4,
yi-jing cai,1 年前,4,
柯耀耀,1 年前,5,
黃玉嫻小嫻,2 年前,4,
成高,2 年前,4,
