name,setTime,star,content
陳小松,2 天前,4,
Wen Tsung Wang,2 週前,5,
Margaret Chang,3 週前,5,
大衛特大號,3 週前,4,
曾偉立,3 週前,4,懷舊之旅，歷史的軌跡
Ming Lin,4 週前,5,是個可以讓人放鬆小憩的地方。展館不大，擺放著黑松以前用過的包裝跟過去的新聞。稍稍回憶起過去卻又不會沈浸，力度剛剛好。
Elva He,1 個月前,5,
Zoë,1 個月前,2,特地來看黑松的歷史演變展覽，但是到了現場沒有什麼指標指引，走來走去都是精品街，以為展覽已經結束便離開，後來看見別人的評論，才知道在2樓，很可惜
鄭宜珊,1 個月前,5,避暑景點
cy lee,1 個月前,4,可以來逛逛，了解一下黑松這個老公司的歷史
林文培,1 個月前,5,"位在微風廣場二樓尾端的黑松世界，來到微風的頻率算高，而走到這裡還是出於好奇，也還是第一次知道有這樣的地方存在，加上自己還是黑松沙士的愛好者，乾脆花一點時間看看這個懷舊的小世界。

50年代的雜貨店，懷舊的造景完整復刻過去的樣貌，在網路上看到本來一旁還有理髮廳，但這次來訪的時候懷舊理髮廳已經變成其他的展示區，在左去右回的看，啊才發現原來微風廣場這裡曾經就是黑松沙士的廠房，在計算了一下時間，黑松沙士從日治時期開始至今，加上停止營業到復業，已經快要接近百年歷史（2023-1931），對於曾經喜愛的飲料而言，看到這些展出，打心底開心。😄😄😄"
林米米,2 個月前,5,很多舊舊的東西，有的沒看過，慢慢看，大概15分鐘能逛完，剛好來附近吃飯與走走！
YM C,2 個月前,5,企業歷史發展回顧，有我兒時的回憶！
Mandy's World (聽見世界的聲音),2 個月前,4,
薛showyi,2 個月前,4,
兔,2 個月前,5,
WEN,2 個月前,4,在微風裡面
pan pan,3 個月前,4,
Tiffany Huang,3 個月前,5,來逛逛了解黑松的歷史成長也不錯😆可愛的小地方 …
Lin Spot,3 個月前,4,"黑松沙士的歷史
可以看到一些年代久遠的廣告、文件及歷年的包裝
場地不大如果有到附近再過來逛逛就好"
Soyou Chang,4 個月前,5,
Austin Lin,5 個月前,5,工作人員非常的和善！讚！
morris lee,5 個月前,5,從小到大都會來這裡逛和買飲料
劉智偉,6 個月前,3,
Lai Barry,6 個月前,5,
龍一Ryuuichi,6 個月前,4,
Jia-yun Chen,6 個月前,5,位於微風廣場二樓。黑松以前總公司所在地。小小的博物館陳列黑松公司各種產品的歷史，還有歷年電視廣告可以看，十分有趣。
George Chiao,7 個月前,4,這是一個漂亮、小而古老的博物館，帶回許多美好的舊回憶。我喜歡偶然發現它時那種謙卑的驚喜感覺。它隱藏在豪華的微風購物中心二樓的一個角落裡。
Sorena,9 個月前,5,懷舊的氣氛．做的很用心．
楊佳翰,10 個月前,5,"加鹽黑松沙士讚👍
值得來騷兩圈 …"
陳介宇（Chieh-Yu Chen）,11 個月前,5,企業願意花錢做這樣的宣傳與歷史資料，我覺得很棒。也是台灣記憶的一種傳承。
子豪™,11 個月前,5,
ma shiroku,1 年前,5,“黑松”博物館位於購物中心內，就像一個藏身處。如果您喜歡復古，絕對可以享受的地方。而且是免費的。
凃志憲,1 年前,4,原來微風廣場2樓還有這個可以參觀，還蠻懷舊的。
Steve Hsieh,1 年前,3,原來微風廣場前身是黑松
Jeremy Wu,1 年前,3,免費的吹冷氣的景點，喜歡懷舊一定要來。
Gogo Go,1 年前,4,我很失望，因為它很小。
Charlie Chao,1 年前,5,
李振睿,1 年前,5,我來喝汽水
태양,1 年前,5,蠻不錯
Tsao Lien,1 年前,5,黑松的歷史好輝煌，這裡有很多復古有趣的包裝！
KEVIN KUO,1 年前,5,展場位於微風廣場二樓，免費參觀，參觀時間約半小時左右，裡面展出黑松相關的歷史及演進，老東西老照片很多，家裡有長輩的話很多推薦要來，應該會很有共鳴。
945THOMAS,1 年前,5,
柯勇堅,1 年前,5,"黑松汽水成立於1925年至今.來到此地猶如走回台灣百年以來汽水發展史,這個博物館面積不大但卻是很有教育意義"
Captain America,1 年前,5,有歷史介紹有互動遊戲，小朋友很喜歡
陳韋辰,1 年前,5,
Darren Cheng,1 年前,3,不用特別為了這裡來。  地方小小的 也沒什麼人。  這裡停車假日500可以抵半小時。 80/hr
林宏達,1 年前,5,太太逛街時我無意間發現這黑松博物館，我太喜歡了，有好多的歷史記錄和物品在裡面，我放給大家看看
Grace Tseng,1 年前,5,歷史的見證
Mr.熊,1 年前,5,充滿曾經看到過的回憶
xiang rong Wang,1 年前,4,懷舊的場景，讓人留念。
陳紘偉,1 年前,5,
高健華,1 年前,4,只是經過而已…
Wen-Che Wu (Eric),1 年前,5,好久好久沒來黑松世界，地點在微風的二樓，重新了解黑松的歷史。
張益昌,1 年前,3,
Ken Lien,1 年前,4,
YuYu Hsueh (fish ü),1 年前,3,資料展示中心，包含產品歷史、歷代公司嚴格
Yao-Shen Wang,1 年前,5,設計的很棒
邱愛行,1 年前,5,"一個歷史的記憶、一個過往的回憶
彷彿乘載時間的年輪
追憶過去
似水年華
很棒的地方
推。推。推"
pany pan,1 年前,5,
pitung la,1 年前,4,好玩的小遊戲 送飲料
Hsiao Joy,1 年前,3,有許多有趣的展示，值得一逛
小九月,1 年前,3,多媒體照像館有點意思
Baptiste Lam,1 年前,5,蠻有趣的一個地方，可以一窺黑松過去到現在的歷史，真的仔細逛其實可以發現很多有趣的事物。場內基本上沒什麼人，服務人員態度還不錯，還有闖關遊戲可以玩。
Lisa Lan,2 年前,4,
曾永富,2 年前,4,
REX KUO (Head),2 年前,3,20210123-為黑松公司的史蹟館，對懷舊的四丶五丶六年級生可以來看看。
跟我一起去旅行,2 年前,5,
嗨香菇,2 年前,5,
林宏容,2 年前,4,
