name,setTime,star,content
Sylvia Lin,3 個月前,5,俯瞰太平洋和海龜島的好地方
Yi-wei Cheng,11 個月前,5,適合假日悠閒散步的好去處
Ryan Wang,2 年前,5,
An Shun Chu Fu,2 年前,4,
周建宏,2 年前,4,
莊天助,2 年前,4,風景美漂亮大自然美
劉季嘉,2 年前,4,
yazad dehad,3 年前,5,有海蝕平台，可以看海景及龜山島
遂遂唸奶爸,3 年前,5,大海的顯得自己渺小
Kenny Lin,3 年前,5,風景好
王流浪者,3 年前,4,親近大自然的環境！海底淨灘任務
jay chao,3 年前,4,居民不多 民風純僕
Eric Hsu,4 年前,4,可觀賞龜山島
Jimmy CHOU,4 年前,5,舒服！愜意！
廖嘉隆,4 年前,3,幽靜
hcchenc,4 年前,4,景點
謝老師,4 年前,5,
estella佩雯,4 年前,5,很棒的觀海景點，慢慢散步，吹吹海風，登上大塊礁石，看見浪擊打海中大石，澎湃洶湧，心情舒暢。
北風,4 年前,4,
李志偉,4 年前,3,
張培森,4 年前,3,觀海景點
Sam Porsche,4 年前,4,
蔡丁福,5 年前,5,
Sam Wonder,5 年前,5,悠閒休憩的中途點
林文祥,5 年前,3,離龜山島很近
陳厚文,5 年前,4,景色美，還有網元魚莊可用餐，喝珈啡
kc l,5 年前,5,
SeasonBean,5 年前,5,很美很美~愛死那里了啦!!!
劉泓如,5 年前,4,遠眺龜山島~野炊煮卦菜雞泡茶吃零食聊天放鬆的好地方~
簡子禮,5 年前,3,
廖朝漢,5 年前,5,
于鈺,5 年前,4,景色優美
吳世璋,5 年前,5,觀星的好地點
周世林,5 年前,3,
謝光呈,5 年前,5,放空的好地方
欣私畫語,6 年前,4,🐢景色優美🐢，拍照🐢，攝影🐢，日落🐢，可拍到龜山島🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢 …
楊馥徽,6 年前,3,
帥帥,6 年前,5,景色佳
spark chen,6 年前,4,風景不錯，適合攝影
Jackson Huang,6 年前,4,"這裡的海蝕平台和旁邊的番薯寮漁港，
景觀簡單而寬廣，下午來這裡吹海風會睡著。"
