name,setTime,star,content
徐筠,3 週前,5,
翔,3 週前,5,社區小公園，就在農田旁，遛小孩的地方，不知誰種的蓮花🪷，常有愛好攝影來取景。 …
劉弈宏,1 個月前,4,夏日荷花盛開，沿路只有一排路樹沒啥遮蔭，適合清晨或傍晚去散步
kele Ho,1 個月前,5,花蓮夏天賞荷的最佳去處，荷花池周遭有田埂可以極易親近。
盧仁光,1 個月前,1,
H Zhang,2 個月前,4,
Fang Fang,2 個月前,4,龍泉公園附近有一片蓮田，不大遍，不仔細還找不到蓮田。
我是小長,2 個月前,5,"六月美翻了又沒人
還可以看火車
就是熱了點 但有樹蔭"
葉小熊,2 個月前,3,
方韋程,2 個月前,5,風景優美又有稻田的美景
chia -shien yang,2 個月前,5,這邊都是水稻田但是有一條很美的綠蔭步道走起路來很舒服
莊建威,2 個月前,4,生態豐富～賞荷花的好去處
阿勝,2 個月前,5,
蕭希和,3 個月前,4,
Chang Yuan Li,5 個月前,4,很好散步休息，沿途有運動健康設施
鍾旭博,7 個月前,5,
古淑君,7 個月前,5,
chung-min sun,7 個月前,2,
威任陳,9 個月前,5,
Paula Wong,11 個月前,4,
Anish Manandhar,11 個月前,5,放鬆 n
張佳惠,1 年前,5,
chao teng wang (王朝騰),1 年前,5,賞荷拍ㄖ出好地方
Min Li,1 年前,4,
蘇建宸,1 年前,5,龍泉公園稻香涼亭
漫漫,1 年前,4,荷花 稻田 小黑蚊
MaLa Sun,1 年前,5,步道旁邊的蓮池正逢夏日大開的季節，建議穿長褲及鞋子，避免蚊蟲叮咬跟方便走到蓮池旁邊拍照。
Chih-Ming Lee,1 年前,5,不遠處的青山，從荷花池畔的稻田一眼望去，連接的白雲藍天，悠閒自在，漫步其中，偶爾北迴線火車給你很棒的驚喜。
古林精怪,1 年前,3,
何萱,1 年前,5,拍荷花不錯的景點之一
成程,1 年前,4,散步、騎自行車的好地方.
葉阿碧,1 年前,5,騎腳踏車 賞花 好心情
徐德珍,1 年前,4,
王紹洋,1 年前,5,
余海水,1 年前,5,生態環境好 翠綠景象 適合健走愛好 有空不妨來此一遊
郭丞哲,1 年前,5,可以看到各種火車經過，悠閒!
owen Yu,1 年前,4,
楊慈淇（Jim Su）,1 年前,4,
劉魚兒,1 年前,3,有荷花池的小公園
曾柏淳,2 年前,3,
李蘭英,2 年前,4,夏季的荷花大盛開吸引愛好攝影的人士前來拍攝。也是當地人早．晚來散步的好場地
小鵬盧,2 年前,4,
ray adolf,2 年前,3,還不錯 晨昏 清涼的時候 來這裡是一個好地方
亞勇張,2 年前,3,
NHMIH “KuRung”,2 年前,5,經過很多次✅
宋俊彥,2 年前,5,自行車步道規劃的很好
陳錦章,2 年前,5,夏日荷花盛開，在此稍歇，怡然清香。
張議文,2 年前,4,
彭育文,2 年前,5,
吳三寶,2 年前,4,
Chai Hongker,2 年前,4,
Denis Liao,2 年前,3,
虎哥,2 年前,5,
Neil,2 年前,3,一個非常小的公園，沒有太多可看或可做的事情。
陳煜朋,2 年前,5,沒有維護了，慌亂了
hwanpp dan,2 年前,5,
Amy Zou,2 年前,4,沒有很多人，空氣很清新，田園一片綠油油很放鬆，很適合來這透透氣
原森影像特約攝影工作室,2 年前,1,
William Hung,3 年前,4,
Ming Li,3 年前,4,沒甚麼人來，風景不錯
李世文,3 年前,5,道路兩旁綠樹與自行車道，可騎車，可慢跑也可優閒散步
Jamie Hsieh (Fishybabies),3 年前,5,田園風光，還能看到各式各樣的火車經過，風景優美，荷花燦爛
Josh Tung (Tooeyes),3 年前,3,
黃垣暢,3 年前,5,
王明輝自然,3 年前,5,每逢五月會有『夏荷』可觀賞，平時也是休憩的好地方。
周宏宇,3 年前,4,
ckcpc chai,3 年前,4,
Fu Hsu,3 年前,4,開長途車子，娃兒失去耐性，地圖上找了個公園來散散步，沒什麼人很清幽
MacGyver Pan,3 年前,5,
yoyo Lin,3 年前,5,
