words,tfidf,pos,freq
産地,1.0,Nc,1
藝術,0.5996696351594054,Na,1
散步,0.5870590622344862,VA,2
花蓮,0.5369144469957822,Nc,2
高景,0.5369144469957822,Nb,1
松樹群,0.4798761881165919,Na,1
幽靜,0.4798761881165919,VH,1
松園,0.4072124775967045,Nc,1
海景,0.4072124775967045,Na,1
花園,0.33276879254859815,Nc,1
花蓮市,0.33276879254859815,Nc,1
庭院,0.33276879254859815,Na,1
拍照,0.25714370585701973,VB,1
松樹,0.25714370585701973,Na,2
動物,0.24253562503633297,Na,1
姿態,0.24253562503633297,Na,1
木片,0.24253562503633297,Na,1
男女,0.24253562503633297,Na,1
臥松,0.24253562503633297,Nb,1
鹿馬,0.24253562503633297,Nc,1
