words,tfidf,pos,freq
diy,5.231280194711032,FW,3
導覽,2.7826066366266806,VC,15
顏料,0.9542654897307279,Na,3
體驗,0.9353163177279415,VC,5
溜滑梯,0.8122514456153449,VA,4
手作,0.69895534334779,Na,2
遊樂,0.4889878569186267,VA,2
創造力,0.4721772880792994,Na,1
講師,0.38417688642122594,Na,1
勞作,0.3289744528332867,Na,1
教學,0.30510738343673544,VA,1
感情,0.29877958836371155,Na,1
液態,0.2986905116550305,Na,1
動機,0.2861190299322614,Na,1
小波,0.26710013942452376,Nb,1
孩子心,0.2445522946826737,Na,1
拍照,0.23782217252292165,VB,1
五言六色,0.23782217252292165,Na,1
畫作,0.23782217252292165,Na,1
粉專,0.2294664364553503,Nc,1
導覽卷,0.22139225806239377,Na,1
哥哥,0.1816476975432587,Na,2
放風,0.09082384877162936,VA,1
軟軟,0.09082384877162936,Na,1
