words,tfidf,pos,freq
部落,1.647014174961865,Nc,6
人和,0.7071067811865476,Na,1
級別,0.7071067811865476,Na,1
排灣族,0.6272972916479643,Nb,2
古蹟,0.5773502691896257,Na,1
文物,0.5773502691896257,Na,1
老七佳,0.5537948453037022,Na,4
石板屋,0.5149046322553782,Na,2
原始,0.43210669986708583,VH,1
導覽,0.43210669986708583,VC,1
原住民,0.43210669986708583,Na,1
傳統,0.31364864582398216,VH,1
雕刻,0.31364864582398216,Na,1
祖靈,0.2768974226518511,Na,2
吊橋,0.13844871132592554,Na,1
大武山,0.13844871132592554,Nc,1
山麓,0.13844871132592554,Na,1
棲息地,0.13844871132592554,Na,1
洪水,0.13844871132592554,Na,1
潮間帶,0.13844871132592554,Nc,1
火塘,0.13844871132592554,Nc,1
石可見山,0.13844871132592554,Na,1
神話,0.13844871132592554,Na,1
