words,tfidf,pos,freq
七堵,6.224503146607246,Nc,39
公園,5.264355866610526,Nc,30
歷史,3.8078822562014336,Na,12
日式,3.2312552915117254,A,10
烏龍,3.2084884923361945,Na,9
懷舊,3.0787131277320805,VH,7
古蹟,2.555597452129652,Na,8
拍照,2.3309220149172325,VB,11
鐵道,2.004516177373084,Na,16
基隆,1.8328389097487512,Nc,7
紀念,1.7151046525470452,VJ,9
月台,1.3151007900175022,Nc,9
阿兩,1.0488530243593972,Nc,2
藝術,1.0408600140153845,Na,6
寧靜,1.0,VH,1
展覽,0.9641279661011304,VC,2
散步,0.9504691834078487,VA,3
文化,0.9241130998424436,Na,4
檜木,0.8973761701269907,Na,5
站房,0.8722722598023154,Na,5
市場,0.8596492711579684,Nc,2
隧道,0.7555411056737119,Na,3
鐵道迷,0.7071067811865475,Na,1
卡通版,0.7071067811865475,Na,1
七堵站,0.6847010973494908,Nc,3
年代感,0.6093923749192928,Na,1
文物館,0.6088608780580788,Nc,1
日本,0.5886535729110478,Nc,4
體驗,0.571310339710607,VC,1
古樸,0.5531229695298585,VH,2
站體,0.5351340795743411,Na,2
原址,0.4450373044387229,Na,4
古老,0.42064913140017113,VH,2
鐵路,0.4144689780974476,Na,1
榕樹,0.40681565974482853,Na,4
台鐵,0.40607381350750177,Nc,2
典雅,0.3639097725140229,Nv,1
老屋,0.35928848847242145,Na,1
中途點,0.3428369299917062,Nc,1
愜意,0.32060098309218404,VH,1
婚紗照,0.3085188003372956,Na,1
懷舊感,0.3068529251490395,Na,1
工法,0.30092827515747866,Na,1
主題性,0.3007154541399849,Na,1
地區性,0.3007154541399849,Na,1
打卡型,0.3007154541399849,Na,1
時空,0.29723202994434145,Na,2
不鏽鋼,0.295940944079538,Na,1
木頭色,0.295940944079538,Na,1
思古,0.2929239406152172,VH,2
辦公桌,0.28125258656541297,Na,1
兩津勘吉展,0.27260216649746777,Nc,1
立體感,0.27260216649746777,Na,1
夜市,0.251294793123091,Nc,1
粉絲,0.2448897833141735,Na,1
水稻田,0.2322615198690041,Na,1
初中,0.2322615198690041,Nc,1
一中,0.2322615198690041,Nc,1
遺址,0.23007984333608988,Nc,1
遺產,0.23007984333608988,Na,1
軌道,0.2285666283766432,Na,1
雨棚,0.2285666283766432,Na,1
魚池,0.22105891661056098,Nc,1
孫女,0.22105891661056098,Na,1
總督府,0.17480629951628,Nc,2
高齡,0.16496172370329606,Na,2
月台區,0.16119273328020947,Nc,2
原始,0.1557461623555424,VH,2
印記,0.1550528587896848,Na,1
李億勳,0.1550528587896848,Nb,1
台北,0.1550528587896848,Nc,1
光明路,0.1550528587896848,Nc,1
包袱,0.09053696373954832,Na,1
區公所,0.09053696373954832,Nc,1
步道,0.09053696373954832,Na,1
窘況,0.09053696373954832,Na,1
草堆,0.09053696373954832,Na,1
荷花池,0.09053696373954832,Nc,1
金魚,0.09053696373954832,Na,1
式樣,0.08740314975814,Na,1
鐵軌,0.08740314975814,Na,1
礙子,0.08740314975814,Na,1
無償點,0.08740314975814,Na,1
文物,0.08740314975814,Na,2
文化局,0.08740314975814,Nc,1
基隆市,0.08740314975814,Nc,1
屋脊,0.08740314975814,Na,1
字樣,0.08740314975814,Na,1
台鐵局,0.08740314975814,Nc,1
老鷹,0.08059636664010474,Na,1
手提箱,0.08059636664010474,Na,1
眼球,0.08059636664010474,Na,1
樣式,0.08059636664010474,Na,1
悠久,0.08059636664010474,VH,1
彩蛋,0.08059636664010474,Na,1
形態,0.08059636664010474,Na,1
復古,0.08059636664010474,VHC,1
草皮區,0.08059636664010474,Nc,1
