words,tfidf,pos,freq
步道,5.79899506742068,Na,44
公園,3.943620892112782,Nc,39
冷泉,3.5301254916720413,Na,30
爬山,3.412539883927587,VA,7
蘇澳,3.09549041530964,Nc,46
平原,2.419195785166506,Na,10
蘭陽,2.403753543535914,Nc,8
龜山島,1.9210352380591744,Nc,9
星嶺,1.8680796763917815,Nb,33
七星嶺,1.8400189834836778,Nc,16
宜蘭,1.7660396766363742,Nc,11
蘇澳港,1.7439206245919419,Nc,10
健身,1.5291638638785883,VA,4
踏青,1.2853765901571852,VA,2
山頂,1.0635896125814206,Nc,6
健走,0.9838720073253637,VA,2
六星,0.9813779788092767,Nb,12
散步,0.9596222366100968,VA,2
好漢坡,0.9453825586467867,Nc,6
海岸線,0.9155214921388266,Na,3
登山,0.8491370815101273,VA,7
聖愛路,0.8318752934059424,Nc,8
健行,0.8286535689488368,VA,2
蘇花,0.7973455583732387,Nc,8
游泳池,0.7149131226729732,Nc,4
約會,0.6619910449796571,VB,1
郊遊,0.6503608373650418,VA,1
平台,0.6395566767271252,Na,5
七星級,0.6253712958106946,Na,1
木棧道,0.5948399057999924,Nc,2
七星,0.589529791579654,Nb,22
登山口,0.5893095874885739,Nc,4
觀海關,0.5731087225576605,Nc,1
海景,0.5476344561880543,Na,4
觀海,0.5447647580683996,VA,10
至高點,0.5158179599515134,Na,2
登高,0.5152877413255519,VA,1
海港,0.5014123145103471,Nc,1
軍港,0.49498813085852744,Na,1
南方澳港,0.49498813085852744,Nc,1
觀景台,0.49195412303278885,Nc,3
前提,0.486464025199168,Na,1
趣味,0.45157922729034683,Na,1
車軌,0.4400229030034021,Na,1
濕地,0.4295388757575475,Na,2
遼闊,0.4289472836273359,VH,2
海岸,0.4246913557744694,Nc,5
海南,0.38877651689782033,Nc,1
袖套,0.3731296234029704,Na,1
蘇澳鎮,0.36944529975134727,Nc,4
蘇花改,0.36263836971213775,Nc,2
軍事,0.3438167371755896,Na,1
鐵門,0.3438167371755896,Na,1
谷歌,0.3438167371755896,Nb,1
要地,0.3438167371755896,Nc,1
去路,0.3438167371755896,Na,1
間距,0.3397794013654518,Na,1
漁港,0.33497509333199516,Nc,2
腳程,0.3126564908033564,Na,1
隘丁,0.3126564908033564,Na,1
拍攝,0.31145509202480615,VC,2
日出,0.31145509202480615,VA,2
土石路,0.30265150777699945,Na,2
漁村,0.29787755271621474,Nc,1
環景,0.29787755271621474,Na,1
夜景,0.2809808247994061,Na,1
黃昏,0.2809808247994061,Nd,1
熱鬧,0.2800099586719375,VH,1
下坡段,0.27760045571539427,Nc,1
折返點,0.2754191950197637,Na,1
半途,0.26847281023110287,Nc,1
秋千,0.26847281023110287,Nb,1
路障,0.26729339111913364,Na,1
鎮公所,0.26729339111913364,Nc,1
通路,0.26729339111913364,Na,1
自然,0.2670939380473629,VH,2
港口,0.2584389868912205,Nc,2
郊山,0.2576952605926047,Nc,1
山景,0.2525540146042807,Na,1
木耳,0.2525540146042807,Na,1
大自然,0.2525540146042807,Nc,1
7星嶺,0.2525540146042807,Nc,1
南方澳,0.2446348081172416,Nc,4
瞭望台,0.23321393334539273,Nc,1
棒球隊,0.21531995595372116,Na,1
公民,0.2109172048541555,Na,1
動物,0.2109172048541555,Na,1
果皮,0.2109172048541555,Na,1
生態,0.2109172048541555,Na,1
素養,0.2109172048541555,Na,1
石階,0.2072101023670747,Na,3
石礫,0.20175330616624615,Na,1
臺階,0.20175330616624615,Na,1
碎石子,0.19433152198494236,Na,1
土路,0.19433152198494236,Na,2
鐵路,0.19035527774856634,Na,3
海軍,0.19035527774856634,Nc,3
主升段,0.18354134539801423,Na,1
情形,0.18268482057549937,Na,1
視線,0.18268482057549937,Na,1
一望無際,0.1783082636741293,VH,1
原始,0.1783082636741293,VH,1
石子,0.1783082636741293,Na,4
霧霧,0.1783082636741293,Nc,1
土石,0.16547585648497842,Na,3
蘇澳山,0.16547585648497842,Nc,1
冷泉區,0.16547585648497842,Nc,1
中原路,0.16528905059229734,Nc,1
停車處,0.16528905059229734,Nc,1
時令,0.16528905059229734,Na,1
鮮魚湯,0.16528905059229734,Na,1
野餐,0.16098680670195906,VA,1
原點,0.14893765063075853,Na,1
啞鈴,0.1380393530876935,Na,1
涼爽,0.1380393530876935,VH,1
儀容,0.1380393530876935,Na,1
七星山,0.13697797197423578,Nc,1
產業道路,0.13697797197423578,Na,1
肺活量,0.13697797197423578,Na,1
馬賽,0.13697797197423578,Nc,1
魚港,0.13697797197423578,Nc,1
售票亭,0.1296925317402777,Na,1
宜蘭線,0.1296925317402777,Na,1
山友,0.1296925317402777,Na,1
斜對面,0.1296925317402777,Nc,1
北迴,0.12690351849904422,Na,3
花蓮,0.12690351849904422,Nc,2
蔣渭水,0.12690351849904422,Nb,2
蘇花公路,0.12690351849904422,Nc,2
碎石,0.1265895878590933,Na,6
中間點,0.07851251020233038,Na,1
泥土路,0.07851251020233038,Na,1
洗手液,0.07851251020233038,Na,1
石階梯,0.07851251020233038,Na,1
隧道,0.07851251020233038,Na,1
高架路,0.07851251020233038,Na,1
條目,0.07851251020233038,Na,1
臺灣話,0.06345175924952211,Na,1
漁業,0.06345175924952211,Na,1
班車,0.06345175924952211,Na,1
白米,0.06345175924952211,Na,1
管理局,0.06345175924952211,Nc,1
貨輪,0.06345175924952211,Na,1
艦隊,0.06345175924952211,Na,1
花東,0.06345175924952211,Nc,1
旅館,0.06345175924952211,Nc,1
輻輳,0.06345175924952211,Na,1
近海,0.06345175924952211,Nc,1
遠洋,0.06345175924952211,Nc,1
木屐村,0.06345175924952211,Nc,1
消費力,0.06345175924952211,Na,1
拉法葉艦,0.06345175924952211,Na,1
商家,0.06345175924952211,Na,1
戰略,0.06345175924952211,Na,1
