words,tfidf,pos,freq
公園,4.4785105911243495,Nc,22
松鼠窩,1.0,Na,1
溜滑梯,0.9106076101638567,VA,6
溜冰場,0.7459867142970706,Nc,3
盪鞦韆,0.7292578415903421,VA,2
三民,0.7190042542092216,Nc,4
木棉花,0.6408473542140012,Na,4
清幽,0.6150457300691949,VH,2
健身,0.5561486344631148,VA,2
中小型,0.5519331122440736,Na,1
路口處,0.5519331122440736,Nc,1
散步,0.4998583294499802,VA,2
放電,0.4857702501730443,VA,1
遊樂,0.42765316445546164,VA,3
植物,0.39748932915389196,Na,1
整潔度,0.37961707749451506,Na,1
任期,0.35736151541717187,Na,1
曬太陽,0.35392844046522,VA,1
網球場,0.30867823599355376,Nc,4
自由路,0.2872136739407659,Nc,2
中央路,0.2872136739407659,Nc,2
滴水坊,0.2796834525002232,Nc,1
餐館,0.2796834525002232,Nc,1
市場,0.23536081837861456,Nc,1
果菜,0.23536081837861456,Na,1
草皮,0.19460227656922377,Na,1
拍照,0.1896953194056685,VB,1
拍攝,0.1896953194056685,VC,1
一角,0.1896953194056685,Nc,1
木棉花季,0.1896953194056685,Na,1
體健區,0.125485029158655,Nc,1
草坪,0.125485029158655,Na,1
租借處,0.125485029158655,Nc,1
監理站,0.125485029158655,Nc,1
民生路,0.125485029158655,Nc,1
樹葉,0.125485029158655,Na,1
樹叢,0.125485029158655,Na,1
攀爬架,0.125485029158655,Na,1
搖搖椅,0.125485029158655,Na,1
停靠站,0.125485029158655,Nc,1
休息椅,0.125485029158655,Na,1
便利性,0.0710833122080381,Na,1
刺激感,0.0710833122080381,Na,1
新竹,0.0710833122080381,Nc,1
滑道,0.0710833122080381,Na,1
直排輪,0.0710833122080381,Na,3
網球,0.0710833122080381,Na,5
總體,0.0710833122080381,Na,1
