words,tfidf,pos,freq
界寮,1.635840080105531,Nc,8
基隆,0.9535354739191246,Nc,5
新北市,0.7813865014561918,Nc,1
三界山,0.489316310995908,Nc,2
基隆市,0.464378426048659,Nc,2
原始,0.4082482904638631,VH,1
山徑,0.4082482904638631,Na,1
鋼筋,0.4082482904638631,Na,1
雜草樹木,0.36720740441992505,Na,1
森林,0.3296853147273285,Na,2
三角點,0.3261359176093712,Nc,1
山區,0.22485654338684738,Nc,1
陳姓,0.22485654338684738,Nb,1
調查局,0.22485654338684738,Nc,1
萬里安樂,0.22485654338684738,Nc,1
神位,0.22485654338684738,Na,1
圖根點,0.22485654338684738,Na,1
公業,0.22485654338684738,Na,1
三官大帝,0.22485654338684738,Nb,1
七堵,0.22485654338684738,Nc,1
劍潭,0.2159717849348795,Nc,1
末座,0.2159717849348795,Nc,1
海岸,0.2159717849348795,Nc,1
界站,0.19658911107545546,Na,1
鐵牌,0.19658911107545546,Na,1
稜線,0.19658911107545546,Na,1
朝陽,0.19658911107545546,Na,1
登山,0.19658911107545546,VA,1
協會,0.19658911107545546,Nc,1
來源,0.1577310105438829,Na,1
台北市,0.1577310105438829,Nc,1
步道,0.1577310105438829,Na,1
車程,0.1577310105438829,Na,1
高壓,0.1577310105438829,Na,1
