words,tfidf,pos,freq
公園,5.62115031748856,Nc,28
放電,3.352664886440743,VA,7
遊樂,2.216402250647674,VA,11
草皮,1.3102413964632962,Na,4
靜電,1.0960099593537889,Na,5
散步,0.9549943734600526,VA,3
三重,0.7923249225809177,Nc,4
溜滑梯,0.7663566106137097,VA,4
音樂台,0.7357795182885236,Na,3
中小型,0.7232209997095209,Na,2
三重區,0.6800892509398304,Nc,2
盪鞦韆,0.6210000403866337,VA,3
二二八,0.5473927573719132,Nb,2
軟墊,0.5342741316908554,Na,1
攤販,0.46735410304647784,Na,1
正對面,0.4174927945803881,Na,1
滑板,0.4164435394655085,Na,1
直排輪,0.4164435394655085,Na,1
蛇板,0.4164435394655085,Na,1
飄移板,0.4164435394655085,Na,1
磁磚,0.3999688080565275,Na,1
纪念碑,0.3999688080565275,Na,1
公物,0.39262069125742427,Na,1
圖書館,0.3801246399166179,Nc,1
欄竿,0.3461316426796083,Na,1
蔡秀兒,0.3054393932700118,Nb,1
厚德,0.3054393932700118,Nb,1
李長東,0.3054393932700118,Nb,1
簡訊,0.3054393932700118,Na,1
遊具,0.29679807067599095,Na,1
徐薇,0.290371088761958,Nb,1
酸味,0.28386667785034214,Na,1
辣椒,0.28386667785034214,Na,1
豆腐,0.28386667785034214,Na,7
泡菜,0.28386667785034214,Na,1
中式,0.28386667785034214,A,1
蚵仔,0.2783543862516553,Na,1
蛋餅,0.2783543862516553,Na,1
步道,0.26673285045090106,Na,2
規矩,0.26673285045090106,Na,2
黑膽石,0.26673285045090106,Na,2
二段,0.2291392822523642,Nc,2
腳踏車,0.2291392822523642,Na,2
公所,0.21448604113902708,Nc,1
皮膚科,0.21448604113902708,Nc,1
蚊蟲藥,0.21448604113902708,Na,1
里長,0.21448604113902708,Na,1
木椅,0.1992773976879804,Na,1
草坪,0.1992773976879804,Na,1
鳥屎,0.1992773976879804,Na,1
羽毛球,0.13336642522545053,Na,1
退休人,0.13336642522545053,Na,1
市政府,0.13336642522545053,Nc,1
休息椅,0.1145696411261821,Na,1
停靠站,0.1145696411261821,Nc,1
忠孝路,0.1145696411261821,Nc,1
植物,0.1145696411261821,Na,1
樹葉,0.1145696411261821,Na,1
磚瓦,0.1145696411261821,Na,1
租借處,0.1145696411261821,Nc,1
自強路,0.1145696411261821,Nc,1
花草,0.1145696411261821,Na,1
攀爬,0.1106208712796916,VC,1
城堡,0.1106208712796916,Na,1
想法,0.1106208712796916,Na,1
樣式,0.1106208712796916,Na,1
秩序,0.1106208712796916,Na,1
規則,0.1106208712796916,Na,1
