words,tfidf,pos,freq
拍照,5.972469697507127,VB,30
宜蘭,5.483426480318389,Nc,48
公園,4.32185048198611,Nc,21
藝術,4.017951785431048,Na,16
市集,3.1440450007615883,Na,13
森林,2.9753266439243853,Na,20
列車,1.5025967738466681,Na,10
童話,1.4393899997453423,Na,5
星空,1.3988815669829568,Na,12
正對面,1.2116005923489555,Na,5
雕塑,1.1043705060918165,Na,4
地点,0.8151954434211567,Na,1
童趣,0.8025131920107028,Na,3
文創,0.7646963435899927,Na,2
宜蘭站,0.75176141525341,Nc,4
散步,0.7112332244259728,VA,3
熱鬧,0.6517369556870365,VH,3
動物,0.6443411009061156,Na,2
紅磚屋,0.6333505063795204,Na,2
趣味,0.6253712958106946,Na,1
童話風,0.6201642802246439,Na,1
商家,0.5826902602164076,Na,2
快車,0.5559821843912984,Na,2
外縣市,0.5339034672471559,Nc,1
繪畫,0.5245595336567617,Na,2
物體,0.5237013543403084,Na,1
樂器,0.5151045953858326,Na,2
星空號,0.5100064334633673,Nb,1
吉米,0.4824591753436135,Nb,2
遊樂,0.4334272959804173,VA,2
台北,0.41435300129194114,Nc,3
天際,0.40267833541105397,Nc,1
吊車,0.40205816468440375,Na,1
白兔,0.39976971747118806,Na,1
作家,0.3968614960905009,Na,2
九芎城,0.38534194397601557,Nc,3
舊名,0.38534194397601557,Na,3
鋼構,0.38534194397601557,Na,3
百果樹,0.38534194397601557,Na,3
藝文,0.38534194397601557,A,3
黃聲遠,0.38534194397601557,Nb,3
九芎樹,0.38534194397601557,Na,3
旅館,0.36283915064940836,Nc,1
初心,0.3245922808051334,Na,1
成份,0.31385063940723656,Na,1
巨樹,0.31246228096076184,Na,2
實體,0.3081631070781808,Na,2
夜市,0.3004574831906625,Nc,2
炸彈,0.29793063631508626,Na,1
集市,0.28806611946906713,Nc,1
頭頂,0.2872932263531232,Nc,1
宜蘭人,0.2872932263531232,Na,1
頂棚,0.2722238235717454,Na,1
工業風,0.2722238235717454,Na,1
自然,0.27068921784141065,VH,2
台北市,0.26847158067089905,Nc,1
博士,0.2588432139417229,Na,1
漢堡王,0.2588432139417229,Nb,1
鴨寶雅,0.2588432139417229,Na,1
粉絲,0.24313568860889634,Na,2
宜蘭縣,0.24313568860889634,Nc,2
為數,0.24313568860889634,Na,2
親民,0.21985659966247775,VH,1
故事性,0.21985659966247775,Na,1
廊帶,0.21985659966247775,Na,1
文青,0.20864993998168385,Nb,1
拍攝,0.203213871884148,VC,1
大軍,0.19994113084159318,Na,1
我軍,0.19994113084159318,Na,1
背後,0.19994113084159318,Nc,1
遊樂園,0.19766600630704906,Nc,1
角色,0.19766600630704906,Na,1
圖畫書,0.19766600630704906,Na,1
鋼鐵,0.18879804529891211,Na,1
療癒,0.185732031474068,VC,1
溜滑梯,0.18129828631336464,VA,1
攤販,0.18129828631336464,Na,1
北宜路,0.17622280741831992,Nc,1
拍照點,0.17622280741831992,Na,1
礁溪站,0.17622280741831992,Nc,1
纜車,0.17622280741831992,Na,1
車程,0.17622280741831992,Na,1
長椅,0.17622280741831992,Na,1
陽光明媚,0.17622280741831992,Na,1
採訪,0.16915303988757932,Na,1
風格檔,0.16915303988757932,Na,1
宜蘭市,0.16915303988757932,Nc,1
中途點,0.16915303988757932,Nc,1
中年,0.15586081371187382,Na,1
候車區,0.15586081371187382,Nc,1
地下鐵,0.15586081371187382,Na,1
模樣,0.15586081371187382,Na,1
毛毛兔,0.15586081371187382,Na,1
男子,0.15586081371187382,Na,1
盲女,0.15586081371187382,Na,1
魚缸,0.15586081371187382,Na,1
魚𥚃,0.15586081371187382,Na,1
購物,0.15022874159533126,VA,1
東門,0.15022874159533126,Nc,1
爾本,0.15022874159533126,Nb,1
防空洞,0.15022874159533126,Na,1
雨遮,0.1162638880509846,Na,1
環島,0.1162638880509846,VA,1
用路人,0.1162638880509846,Na,1
巨型,0.10318768971883298,Na,1
