words,tfidf,pos,freq
公園,7.561299296517775,Nc,29
散步,2.781881630106896,VA,8
步道,1.8927860338733469,Na,9
溜冰場,1.8354688913412638,Nc,8
籃球場,1.7660196009577955,Nc,10
放電,1.6914770270681885,VA,4
溜滑梯,1.6002827478990427,VA,4
放風,1.2607239324614494,VA,2
藝術,1.2602080174006756,Na,7
遊樂,0.9644479855350307,VA,6
騎車,0.9020488442993031,VA,4
雕塑,0.8480445957419492,Na,4
石斛蘭,0.7840716831815804,Na,2
遛小孩,0.751028199290666,VA,1
警察局,0.7498563269923673,Nc,2
盪鞦韆,0.7430597283264381,VA,2
直排輪,0.7383722870117448,Na,4
軟墊,0.7250834572400706,Na,2
草皮,0.7162125803090905,Na,2
中壢,0.7083564019901635,Nc,4
樂園,0.6447237526770191,Na,1
土地公廟,0.6131068181999326,Nc,3
溪流,0.5650383592461442,Na,1
清涼,0.5650383592461442,VH,1
老少咸宜,0.529742959449466,VH,1
熱鬧,0.5125705876432824,VH,1
覆蓋率,0.4657935692404465,Na,1
新街溪,0.4538670305023631,Nc,3
拜拜,0.45330024978251815,VA,1
土地公,0.45330024978251815,Nb,4
悠閒,0.45154829938257557,VH,2
石槲蘭,0.4131157171305981,Na,1
長期,0.40300832652627516,Na,1
新勢,0.39765269317179935,Nb,1
中福,0.38855937578109806,Nb,2
告別式,0.3743856487337981,Na,1
雙人,0.33790504036720476,Na,1
太極,0.33207689036226523,Na,1
廣場舞,0.33207689036226523,Na,1
阿公,0.33207689036226523,Na,1
河濱,0.31539185376282036,Nc,2
吳郭魚,0.30050457913136536,Na,1
水圳,0.30050457913136536,Na,1
體型,0.30050457913136536,Na,1
南園二路,0.2991255420450306,Nc,2
恐龍,0.2901369315172315,Na,1
羽毛球,0.2901369315172315,Na,1
工業區,0.2849033832267793,Nc,1
鄰進,0.2849033832267793,Na,1
青少年,0.2562110562744074,Na,1
高額,0.24990499484909934,Na,1
福德宮,0.2393791398119176,Nc,2
忠福,0.23322313938126543,Nb,1
灰泥,0.2272046829489776,Na,1
華僑,0.2272046829489776,Na,1
腳踏車,0.22490793144437332,Na,1
飲水台,0.22490793144437332,Nc,1
足球,0.20181830559250727,Na,1
雕像,0.20181830559250727,Na,1
體操,0.20181830559250727,Na,1
內壢,0.19427968789054903,Nc,1
隣居,0.19427968789054903,Nc,1
籃球,0.19427968789054903,Na,11
單車,0.19427968789054903,Na,1
中壢人,0.19427968789054903,Na,1
祈福,0.12983272797904657,VB,1
參拜,0.12983272797904657,VC,1
普照,0.12983272797904657,Nb,1
谷歌,0.12983272797904657,Nb,1
草坪,0.1283796036508304,Na,1
體健,0.1283796036508304,Na,1
雕刻,0.1283796036508304,Na,1
蹺蹺板,0.1283796036508304,Na,1
西園路,0.1283796036508304,Nc,1
攀爬,0.1283796036508304,VC,1
球場,0.1283796036508304,Nc,11
溪水,0.1283796036508304,Na,1
永福橋,0.1283796036508304,Nc,1
山洞,0.1283796036508304,Na,1
休息椅,0.1283796036508304,Na,1
官帽,0.11241387069688247,Na,1
斗笠,0.11241387069688247,Na,1
榕樹,0.11241387069688247,Na,1
標竿,0.11241387069688247,Na,1
福德正神,0.11241387069688247,Na,1
銅雕,0.11241387069688247,Na,1
