words,tfidf,pos,freq
公園,1.974436616283466,Nc,7
劉文正,0.7071067811865476,Nb,1
杆子,0.7071067811865476,Na,1
遊樂,0.6130451230238986,VA,1
衞生,0.46428009957857286,Na,1
散步,0.45499649897094474,VA,1
寧靜,0.45499649897094474,VH,1
聚會所,0.4472135954999579,Na,1
部落,0.4472135954999579,Nc,1
社區型,0.4438140960745129,Na,1
華僑,0.43543640164465075,Na,2
放電,0.4244748060319827,VA,1
籃球場,0.40295094272561105,Nc,2
湯頭,0.3857689435262064,Na,1
牛羊肉,0.3857689435262064,Na,1
溜滑梯,0.29454026779968134,VA,1
圓環,0.23149129540750255,Nc,1
會所,0.23149129540750255,Nc,2
貨櫃屋,0.23149129540750255,Na,1
槌球,0.2244690280795041,Na,1
玩沙池,0.2244690280795041,Na,1
社區味,0.2244690280795041,Na,1
花蓮,0.2244690280795041,Nc,1
長者,0.2244690280795041,Na,1
李堅亭,0.21771820082232538,Nb,1
李姓,0.21771820082232538,Nb,1
琉球,0.21771820082232538,Nc,1
