words,tfidf,pos,freq
櫻花,53.36722123885119,Na,353
公園,12.903586084990936,Nc,61
散步,7.208056444168302,VA,20
拍照,6.927812167369323,VB,32
步道,5.62036001234525,Na,16
崴立,4.931639706501251,Nb,34
櫻花季,4.478160030413495,Na,15
櫻花樹,3.9992556434526456,Na,12
佛心,3.360230337118514,Na,12
花季,3.2002017700763887,Nd,25
八重櫻,3.0516309284269805,Na,16
攤販,2.760745931892504,Na,11
花海,2.3526096563882763,Na,5
茂盛,2.26439682152535,VH,7
后里,2.2417582668261162,Nc,16
花期,2.046789718893934,Na,7
日本,2.019683796049064,Nc,4
野餐,1.8879650580346397,VA,9
泰安,1.845542270304477,Nc,18
河津櫻,1.813933497731861,Nc,10
浪漫,1.6880300069517673,VH,5
流蘇,1.6748974152823863,Na,3
櫻花林,1.6384899608098136,Na,5
中科,1.6318856277414686,Nc,12
愜意,1.5932163631711111,VH,4
花園,1.5874563380445823,Nc,9
美光,1.5643597369504656,Nb,6
企業,1.480668614153335,Na,6
櫻花園,1.427026942835227,Nc,3
綠萼櫻,1.3877372672956327,Na,7
吉野櫻,1.2901377648828125,Na,6
表演,1.270418721836746,VC,6
蜜蜂,1.2477181194858273,Na,3
櫻花道,1.2357644981010374,Na,2
曬太陽,1.199928190804701,VA,2
山櫻花,1.1892721616826256,Na,6
花兒,1.1271277883931874,Na,2
機電,1.124924808166191,Na,8
宮廟,1.025731957391489,Nc,3
密境,1.0,Na,1
水水,1.0,Nc,1
花道,1.0,Na,4
花美人,1.0,Na,1
約會,0.9855398034003495,VB,2
熱鬧,0.9606945083523467,VH,5
工業區,0.9472305060455233,Nc,3
紫藤花,0.9408302556777293,Na,2
體驗,0.9307837735244392,VC,3
耐性,0.801957881936765,Na,1
綠頭鴨,0.7694377586036996,Na,2
壯觀,0.7683016014177144,VH,2
桃色,0.7545595236113862,Na,1
粉色,0.7477679574485955,Na,4
樱花,0.7356027906184642,Na,2
威立,0.7282548962376962,Nb,2
花朵,0.7101876684271087,Na,1
廠區,0.6877838599519339,Nc,2
週遭,0.6814735784459254,Nc,2
木蘭花,0.6735058485722716,Na,2
清幽,0.6692092754631389,VH,2
悠閒,0.654812288812044,VH,2
植物,0.6290629476367429,Na,2
加油站,0.626110089672431,Nc,2
桃李杏,0.621620136699197,Na,1
騎車,0.594445980468969,VA,1
九甲路,0.5862147632380117,Nc,4
科學園區,0.5826303201841783,Nc,2
桃紅色,0.5815554024882492,Na,3
外婆,0.5615360985524014,Na,1
謝光光,0.5405704564827006,Nb,1
警察會,0.5373201345063165,Na,1
幸褔,0.5238600484815668,Nb,1
義德宮,0.5236869484725918,Nc,2
武陵,0.5172328043000982,Nc,1
樹葉,0.5083603761401453,Na,2
櫻花美,0.5063956002932477,Na,1
平地,0.48732823776171663,Na,1
涼爽,0.4838592527190604,VH,1
觀點,0.4838592527190604,Na,1
謝光,0.47026046816356876,Nb,2
花美,0.46626665169503506,Na,3
遊人,0.46558999286620173,Na,2
在來花,0.45704510755362765,Na,1
週圍,0.4552566595078531,Nc,1
草地,0.45457277422202125,Nc,2
旁片,0.43283117080826017,Na,1
泰安櫻,0.4308496623757156,Nc,1
拍攝,0.4297141703962354,VC,2
賞櫻期,0.42401107800788057,Na,1
少女,0.4235349631436933,Na,1
風鈴木,0.41967429353360486,Na,1
黃昏,0.4195655903481888,Nd,1
