words,tfidf,pos,freq
爬山,1.0,VA,1
支地,1.0,Nc,1
中窯尖,0.7781879892314563,Nc,3
根點,0.6365268843137366,Na,3
登山,0.6269070461091399,VA,3
土調局圖,0.5283001178106893,Nc,1
調查局,0.5248051634965882,Nc,2
五四,0.4739530815470936,Nb,2
中窯,0.40271983312936077,Nc,4
圖根點,0.40271983312936077,Na,1
尖丸山,0.40271983312936077,Nc,1
地形,0.3897537570813512,Na,1
棱線,0.38372335419762543,Na,1
健行,0.35825347186568407,VA,1
峽谷,0.35825347186568407,Na,1
暖東,0.35825347186568407,Nb,1
界山,0.3455597850997784,Na,1
新北市,0.3455597850997784,Nc,1
基隆,0.3455597850997784,Nc,1
平溪,0.3455597850997784,Nc,1
高峰,0.26001259701485424,Na,1
山勢,0.2581988897471611,Na,1
靈巖寺,0.2581988897471611,Nc,1
原始,0.18718498888817506,VH,1
台北,0.18718498888817506,Nc,1
天際線,0.18718498888817506,Na,1
山徑,0.18718498888817506,Na,1
山頂,0.18718498888817506,Nc,1
標高,0.18718498888817506,Na,1
路跡,0.18718498888817506,Na,1
姜子寮山,0.17320925004774895,Nc,1
山野,0.17320925004774895,Nc,1
手杖,0.17320925004774895,Na,1
目的地,0.17320925004774895,Nc,1
