words,tfidf,pos,freq
步道,10.469721608577029,Na,76
瀑布,4.361331103852107,Na,35
溪水,3.8202890654874113,Na,17
生態,2.2600215130618926,Na,12
健行,1.8496089524827632,VA,5
散步,1.7872723783618076,VA,6
自然,1.745835495342824,VH,9
溪流,1.4055049474021324,Na,8
九寮溪,1.3749566856163633,Nc,10
清涼,1.3301165183576067,VH,6
玩水,1.2421468821358905,VA,6
祕境,1.1963170985928713,Nc,2
戈霸,1.167470516142716,Nb,8
老少咸宜,0.9865729526214269,VH,2
森林,0.9298556517036025,Na,2
芬多精,0.8681892373073891,Na,2
負離子,0.6818635448151489,VJ,4
消暑,0.6697485150013784,VA,2
踏青,0.6567147041392613,VA,1
泡泡腳,0.6412392436367441,Na,2
藍鵲,0.596803309685141,Na,2
原始,0.5880998115014305,VH,3
碎石,0.5808703759117633,Na,6
老少皆宜,0.5739796837490178,Na,1
壯觀,0.5584688781227234,VH,2
健走,0.5569880356551922,VA,2
花香,0.5506803367771802,Na,1
涼爽,0.5255991504802198,VH,2
朱鸝,0.49975712913693127,Nb,1
時間點,0.47916729596535174,Na,1
橋梁,0.4763751980927912,Na,1
雄偉,0.46828194198377554,VH,1
蟲鳴,0.4459128803069892,Na,2
拍照,0.4455122777196906,VB,2
植物園,0.4434716165462815,Nc,1
宜蘭,0.41724888798314785,Nc,3
療癒,0.4155597652395518,VC,2
植物,0.39072842067538266,Na,5
橋樑,0.3905123522394901,Na,1
大自然,0.38802134443982195,Nc,1
戲水,0.38556102136659065,VA,3
體驗,0.37823857058899246,VC,1
動植物,0.37823857058899246,Na,1
小龍,0.37382292284458496,Nb,1
淺水區,0.37289572196735676,Nc,1
遮蔭樹,0.3678135205948476,Na,1
清幽,0.3673596125453471,VH,1
山林,0.36396245698227647,Nc,2
破礑溪,0.3554035779313788,Nc,1
深山,0.35412256860053887,Na,1
寧靜,0.35412256860053887,VH,1
山區,0.3481371988674989,Nc,4
編輯,0.3404903730258007,Na,1
總長,0.3081408216508864,Na,2
秀麗,0.29555278438200855,VH,1
蝴蝶,0.2919869697528989,Na,3
雨勢,0.28840483459684235,Na,2
腳步,0.27751463156133827,Na,1
野薑花,0.26718163538812345,Na,2
河流,0.2527198005506669,Na,1
青菜,0.25123022533802947,Na,1
商家,0.25123022533802947,Na,1
產業道路,0.23899214745127967,Na,3
不速之客,0.2309651607324667,Na,1
高難度,0.22784322632846732,Na,1
片數,0.22784322632846732,Na,1
腳程,0.22784322632846732,Na,1
攀爬,0.22784322632846732,VC,1
碎石舖,0.22698623491859282,Na,1
震撼,0.22698623491859282,VJ,1
野餐,0.221367165590017,VA,1
老公,0.22029916217767156,Na,1
青森,0.21336643660283458,Nc,1
眼簾,0.21336643660283458,Na,1
景像,0.21336643660283458,Na,1
奧入瀨溪,0.21336643660283458,Na,1
日本,0.21336643660283458,Nc,1
腿程,0.2115471691337731,Na,1
離子,0.2115471691337731,Na,5
瀑布區,0.20735049194654415,Nc,2
古圳,0.17095931528134437,Nc,2
石磐,0.17095931528134437,Nb,2
坪頂,0.17095931528134437,Nc,2
大屯,0.17095931528134437,Nc,2
大溝溪,0.17095931528134437,Nc,2
公園,0.17095931528134437,Nc,2
烏來,0.17095931528134437,Nc,2
林美,0.17095931528134437,Nb,2
柏油,0.16814246982005443,Na,1
輪子,0.16814246982005443,Na,1
竹雞,0.1653483261232712,Na,1
迷猴,0.1653483261232712,Na,1
芭比q,0.1653483261232712,Nb,0
爬山,0.1653483261232712,VA,1
野生,0.1653483261232712,A,1
指標牌,0.1641058337383332,Na,1
腎上腺素,0.1641058337383332,Na,1
涼意,0.15932809830085312,Na,2
溪畔,0.15932809830085312,Na,2
荒郊,0.1462347403943979,Nc,1
野外,0.1462347403943979,Nc,1
動物,0.1462347403943979,Na,1
昆蟲,0.1462347403943979,Na,1
濕度,0.1462347403943979,Na,1
幽香,0.14420241729842118,Na,1
抉擇,0.14420241729842118,Na,1
小成,0.14420241729842118,Na,1
悠閒,0.14420241729842118,VH,1
花季,0.14399977565981553,Nd,1
桂花,0.14399977565981553,Na,1
生態區,0.14399977565981553,Nc,1
蜜蜂窩,0.14399977565981553,Na,1
露營區,0.14399977565981553,Nc,1
鷺絲,0.14399977565981553,Na,1
路基,0.1422158056326168,Na,1
自小客,0.1422158056326168,Na,1
天然,0.13761715039620132,A,1
恐龍,0.13761715039620132,Na,1
石階,0.13761715039620132,Na,1
收費亭,0.12638322167397478,Na,1
識別證,0.10809942497121382,Na,1
紀念章,0.10809942497121382,Na,1
蛙鳴聲,0.10809942497121382,Na,1
林木,0.10809942497121382,Na,1
輪椅族,0.10809942497121382,Na,1
鳥叫聲,0.10809942497121382,Na,1
溪水聲,0.10809942497121382,Na,1
露營,0.10809942497121382,VA,2
文化,0.10809942497121382,Na,1
心神,0.10809942497121382,Na,1
山頂,0.10809942497121382,Nc,1
大同鄉,0.10809942497121382,Nc,1
原住民,0.10809942497121382,Na,1
世外桃源,0.10809942497121382,Na,1
下游,0.10809942497121382,Nc,1
産業道路,0.08547965764067218,Na,1
新寮,0.08547965764067218,Nc,1
新北市,0.08547965764067218,Nc,1
新北,0.08547965764067218,Nc,2
大三,0.08547965764067218,Na,1
台北市,0.08547965764067218,Nc,1
台北,0.08547965764067218,Nc,2
山肩,0.07966404915042656,Nc,1
樹葉,0.07966404915042656,Na,1
爬升段,0.07966404915042656,Na,1
登山客,0.07966404915042656,Na,1
禪意,0.07966404915042656,Na,1
綠葉,0.07966404915042656,Na,1
總體,0.07966404915042656,Na,1
