words,tfidf,pos,freq
戰車,2.419373238367069,Na,9
戰地,2.3723182658275253,Nc,7
戰機,2.232772680353034,Na,8
武器,2.0794914247412892,Na,7
散步,1.7207760028107686,VA,6
毛澤東,1.613736053052022,Nb,5
金門,1.5373174138431085,Nc,5
歷史,1.4883568378672205,Na,3
軍事,1.4478587843366246,Na,4
紀念館,1.3573748672576396,Nc,5
中山林,1.19884415026478,Nb,6
運輸機,1.0361319594530156,Na,3
公園,1.0323231111665105,Nc,4
坦克,0.9948413178301326,Na,3
蔣經國,0.9494980616578496,Nb,4
自行車,0.8121873437151218,Na,4
海陸空,0.8079024053892878,Nc,1
軍武味,0.7905499585150366,Na,1
堡壘,0.7071067811865475,Na,1
壯觀,0.6650494172200179,VH,1
想像力,0.6284360067194826,Na,1
清新,0.625513829955912,VH,2
腳踏車,0.6094687824546692,Na,4
貓咪,0.5675970890644284,Na,1
蚵仔煎,0.548906373939384,Na,1
老母雞,0.5373169724958446,Na,1
文物,0.5251808155362298,Na,1
展覽,0.5251808155362298,VC,1
震撼,0.5228583170308597,VJ,2
軍械,0.5110189642527945,Na,1
熱點,0.5055125195053564,Na,1
體驗,0.4848341985572049,VC,2
坦克車,0.453529991990253,Na,1
雷達,0.453529991990253,Na,1
拍照,0.4511449873053488,VB,1
單車,0.4222619470862787,Na,1
戰貨機,0.4108629631546524,Na,1
紀念,0.3967218811747051,VJ,7
森林,0.3348214073032616,Na,1
遊樂,0.32381610552890766,VA,2
軍機,0.32381610552890766,Na,1
銅像,0.32381610552890766,Na,1
水門口,0.32012920205129336,Na,1
步道,0.3078548244601171,Na,1
清幽,0.3078548244601171,VH,1
地形,0.3040836946077409,Na,1
故事館,0.27514418007785907,Nc,1
團體客,0.27087723918186735,Na,1
戰場,0.26218357154862815,Na,1
一望無際,0.244552261021622,VH,1
高山,0.244552261021622,Na,1
嚮導,0.24284096751447126,Na,1
戰爭,0.24284096751447126,Na,1
美援,0.2383309641468698,Na,1
自然,0.21889491147181006,VH,1
高梁酒,0.21889491147181006,Na,1
涼爽,0.18960307399529433,VH,1
野餐,0.18960307399529433,VA,1
解說牌,0.13647966172978002,Na,1
梅樹館,0.13647966172978002,Nc,1
機種,0.13647966172978002,Na,1
登高,0.13647966172978002,VA,1
實體,0.13647966172978002,Na,1
卡車,0.13647966172978002,Na,1
中山,0.09327694469113437,Nb,7
博物館,0.09327694469113437,Nc,1
林區,0.09327694469113437,Nc,1
滑板,0.09327694469113437,Na,1
甲車,0.09327694469113437,Na,1
維護率,0.09327694469113437,Na,1
越野車,0.09327694469113437,Na,1
高粱,0.09327694469113437,Na,1
