words,tfidf,pos,freq
王公,1.4974688593931331,Nb,15
壯觀,1.4016175361583718,VH,4
十八王公廟,1.3124909226409638,Nc,9
肉粽,0.9465842615166931,Na,5
拜拜,0.8529253583222204,VA,2
靈驗,0.8323141827817226,VH,2
海景,0.7071067811865476,Na,1
乾華,0.656994731688401,Nb,6
攤販,0.5970182038338663,Na,2
核一廠,0.5871221914887703,Nc,4
神明,0.5773502691896257,Na,1
神像,0.5368610595938953,Na,1
義犬,0.5368610595938953,Na,1
寺廟,0.5167180873376642,Nc,2
拍照,0.5154629907584475,VB,3
廟宇,0.5140821632109456,Na,2
古蹟,0.5139866186995948,Na,1
雕像,0.5012415764604939,Na,2
清幽,0.47585771170313196,VH,4
莊嚴,0.449428663012494,VH,2
山林,0.42674193370761504,Nc,1
銅犬,0.41414316237627224,Na,1
新乾華,0.41414316237627224,Nb,1
石門,0.41414316237627224,Nc,1
巨犬,0.41219287625123685,Na,3
環淨,0.4105047779453573,Nb,1
清靜,0.4105047779453573,VH,1
狗石像,0.4020096760754829,Na,1
訪客,0.4020096760754829,Na,1
山腳,0.36676340186574524,Nc,2
半山腰,0.36676340186574524,Nc,2
銅像,0.3621805684340966,Na,2
菩薩,0.34830013101389057,Na,6
海岸,0.3260362679824812,Nc,4
北海岸,0.3153393925413753,Nc,3
英姿,0.30758813753113495,Na,1
青銅,0.3070377619361707,Na,2
幽靜,0.29365346525177766,VH,1
朗佛聲,0.29365346525177766,Na,1
大殿,0.2747952508341579,Nc,2
狗像,0.27337868416518646,Na,1
腳手架,0.27337868416518646,Na,1
民眾黨,0.24481731300050397,Nb,5
清幽廟,0.24464650020169793,Nc,1
老婆婆,0.2240123860949397,Na,1
雄偉,0.2189833113347416,VH,1
銅製,0.2181273832284296,Na,1
狗嘴巴,0.2181273832284296,Na,1
十八王公橋,0.1995371294700094,Nc,1
鷹架,0.1995371294700094,Na,1
步道,0.17846363551858194,Na,1
茶山,0.17846363551858194,Na,1
主神,0.13739762541707895,Na,1
佛祖,0.13739762541707895,Na,1
名義,0.13739762541707895,Na,1
天公,0.13739762541707895,Na,1
觀世音,0.13739762541707895,Nb,1
財神,0.13739762541707895,Na,1
路彎,0.13739762541707895,Na,1
造價,0.13739762541707895,Na,1
萬金,0.1279173516672716,Na,1
狗身,0.1279173516672716,Na,1
狗頭,0.1279173516672716,Na,1
鬼片,0.1279173516672716,Na,1
金銀,0.1279173516672716,Na,1
鬼影,0.1279173516672716,Na,1
狗肚,0.1279173516672716,Na,1
狗角,0.1279173516672716,Na,1
傢伙,0.1279173516672716,Na,1
狗耳,0.1279173516672716,Na,1
狗嘴,0.1279173516672716,Na,2
山頂,0.1279173516672716,Nc,1
富貴,0.1279173516672716,Na,1
厝角,0.1279173516672716,Na,1
偏門,0.1279173516672716,Na,1
黃昏,0.1279173516672716,Nd,1
狗尾,0.1279173516672716,Na,1
社會,0.09792692520020159,Na,2
真理,0.09792692520020159,Na,2
境界,0.09792692520020159,Na,2
佛教,0.09792692520020159,Nb,2
總體,0.048963462600100795,Na,1
法性,0.048963462600100795,Na,1
法界,0.048963462600100795,Nc,1
無生,0.048963462600100795,Na,1
琉璃,0.048963462600100795,Na,1
生態,0.048963462600100795,Na,1
生死,0.048963462600100795,Na,1
神咒,0.048963462600100795,Na,1
緣覺,0.048963462600100795,Na,1
議題,0.048963462600100795,Na,1
羅漢,0.048963462600100795,Na,1
聲聞,0.048963462600100795,Na,1
至道,0.048963462600100795,Na,1
藥師,0.048963462600100795,Na,1
行為,0.048963462600100795,Na,1
極樂世界,0.048963462600100795,Nc,1
責任,0.048963462600100795,Na,1
通訊,0.048963462600100795,Na,1
階位,0.048963462600100795,Na,1
集團,0.048963462600100795,Na,1
正念,0.048963462600100795,Na,1
惡趣,0.048963462600100795,Na,1
根信,0.048963462600100795,Nb,1
利益,0.048963462600100795,Na,1
事務,0.048963462600100795,Na,1
位次,0.048963462600100795,Na,1
佛果,0.048963462600100795,Nb,1
佛陀,0.048963462600100795,Na,1
傳媒,0.048963462600100795,Na,1
公正性,0.048963462600100795,Na,1
凡夫,0.048963462600100795,Na,1
初果,0.048963462600100795,Na,1
動機,0.048963462600100795,Na,1
本土,0.048963462600100795,Nc,1
名號,0.048963462600100795,Na,1
命終,0.048963462600100795,Na,1
善人,0.048963462600100795,Na,1
如來,0.048963462600100795,Nb,1
客觀性,0.048963462600100795,Na,1
政治,0.048963462600100795,Na,1
文化,0.048963462600100795,Na,1
旗下,0.048963462600100795,Nc,1
須陀洹,0.048963462600100795,Na,1
