words,tfidf,pos,freq
步道,0.7808371843284762,Na,7
生態,0.5288128490982048,Na,4
自行車道,0.5,Na,1
蚊蠅,0.5,Na,1
導覽,0.29422484815828526,VC,1
浮竹,0.29422484815828526,Na,1
竹筏,0.29422484815828526,Na,1
安檢所,0.2582989306580352,Nc,2
彈塗魚,0.2582989306580352,Na,2
招潮蟹,0.2582989306580352,Na,2
漁港,0.2582989306580352,Nc,2
二仁溪,0.2259103966909469,Nc,2
水筆仔,0.19089323820911405,Na,1
茄苳,0.19089323820911405,Na,2
白沙崙,0.19089323820911405,Nc,1
濕地,0.19089323820911405,Na,1
斜對面,0.19089323820911405,Nc,1
教學,0.11295519834547345,VA,1
涼爽,0.11295519834547345,VH,1
出海口,0.11295519834547345,Nc,1
南區,0.11295519834547345,Nc,1
台南市,0.11295519834547345,Nc,1
左岸,0.11295519834547345,Nc,1
木質,0.11295519834547345,Na,1
樹群,0.11295519834547345,Na,1
水光,0.11295519834547345,Na,1
海茄苳,0.11295519834547345,Na,1
白砂崙,0.11295519834547345,Nc,1
紅樹林,0.11295519834547345,Na,1
膠筏,0.11295519834547345,Na,1
金黃色,0.11295519834547345,Na,1
黄土,0.11295519834547345,Na,1
