words,tfidf,pos,freq
原住民,2.8344605280893322,Na,28
文化,2.358390004489608,Na,14
張學良,2.269377435090996,Nb,18
市集,2.0118176836654635,Na,12
歷史,1.9432982555500464,Na,11
故居,1.756263237492023,Nc,16
賽夏族,1.5133153808503446,Nb,6
文物,1.455194878335708,Na,10
原住民族館,1.4370085607358376,Na,6
泰雅族,1.3243858173354506,Nb,10
紀念館,1.2671190949841613,Nc,4
日式,0.857089455793278,A,5
清泉,0.8524116470743827,Na,6
五峰,0.7719418900900655,Nc,5
族館,0.7565575676478022,Nc,12
起落,0.6666607517765859,Na,1
吊橋,0.6304349257319664,Na,4
原址,0.6258648919546989,Na,3
商家,0.5550006699192006,Na,1
公園,0.5550006699192006,Nc,1
清幽,0.4612367517069309,VH,2
印像,0.4506762157219459,Na,1
民族館,0.4192204110998394,Nc,7
民族,0.4192204110998394,Na,9
風範,0.4192204110998394,Na,1
正道,0.36987282805100913,Na,1
領域,0.36987282805100913,Na,1
工藝,0.35765431534084413,Na,5
博物館,0.3466730778624925,Nc,1
風景區,0.3388021938441833,Nc,2
桃山,0.32440059173363434,Nb,2
避暑,0.3227158693258642,VA,1
彎路,0.3227158693258642,Na,1
潘尚林,0.3015147037035,Nb,1
居處,0.3015147037035,Nc,1
展館,0.3015147037035,Nc,1
三毛,0.2971294899608893,Nb,2
傳統,0.291966982724356,VH,1
藝術,0.2771187256166086,Na,2
菜單,0.27024999227136703,Na,2
竹筒飯,0.25755061372551996,Na,1
雞肉捲,0.257442466299937,Na,1
海陸,0.257442466299937,Na,1
拼盤,0.257442466299937,Na,1
用餐區,0.23867289627567603,Nc,1
秋柿,0.23337260182672348,Na,1
橄欖樹,0.23337260182672348,Na,1
事蹟,0.23337260182672348,Na,1
散步,0.23337260182672348,VA,1
五峰鄉,0.22916306921628657,Nc,1
新竹縣,0.22916306921628657,Nc,1
溪流,0.22453394010660155,Na,1
屋況,0.18343259560985495,Na,1
山景,0.18343259560985495,Na,1
才氣,0.18343259560985495,Na,1
溫泉,0.18343259560985495,Na,1
圖騰,0.17882715767042207,Na,2
夫人,0.17578698165128498,Na,1
葛樂禮,0.17578698165128498,Nb,1
檜木,0.17578698165128498,Na,1
平房,0.17578698165128498,Na,1
趙一荻,0.17578698165128498,Nb,1
傳奇,0.17578698165128498,Na,1
井上,0.16220029586681717,Nb,1
協會,0.16220029586681717,Nc,1
向心力,0.16220029586681717,Na,1
平台,0.16220029586681717,Na,1
教育所,0.16220029586681717,Nc,1
舊名為,0.16220029586681717,Na,1
一號,0.142629095429015,Nc,1
足湯,0.142629095429015,Na,1
頭目,0.142629095429015,Na,1
將軍池,0.142629095429015,Nc,1
夢屋,0.142629095429015,Na,1
原始,0.14190213538287696,VH,1
優點,0.14190213538287696,Na,1
原住民族,0.14190213538287696,Na,7
圖像,0.14190213538287696,Na,1
李白,0.14190213538287696,Nb,1
真話,0.14190213538287696,Na,1
祖靈祭,0.1370888868228139,Na,1
歷程,0.1370888868228139,Na,1
祭儀,0.1370888868228139,Na,1
泰雅,0.1370888868228139,Nb,11
體驗,0.1370888868228139,VC,1
手藝,0.1370888868228139,Na,1
展覽,0.1370888868228139,VC,2
diy,0.1370888868228139,FW,0
夾子,0.13512499613568352,Na,1
婦人,0.13512499613568352,Na,1
快炒店,0.13512499613568352,Nc,1
袋子,0.13512499613568352,Na,1
雇員,0.13512499613568352,Na,1
側殿,0.0949570059574062,Nc,1
分所,0.0949570059574062,Nc,1
展覽館,0.0949570059574062,Nc,1
奶味,0.08941357883521103,Na,1
宣傳,0.08941357883521103,Na,1
工藝品,0.08941357883521103,Na,1
紀念品,0.08941357883521103,Na,1
