words,tfidf,pos,freq
腳踏車,1.5819030147265278,Na,4
濕地,1.4414913006946053,Na,5
散步,1.4294845496070157,VA,4
河濱,1.2087444269157763,Nc,2
水水,1.0,Nc,1
生態,0.9930691307782723,Na,4
新北,0.962631813182568,Nc,2
公園,0.824287284332045,Nc,2
樂土,0.7391387109017791,Nc,1
五股,0.7359986520202236,Nc,3
化身,0.7071067811865476,Na,1
路地,0.7071067811865476,Na,1
淡水河,0.6604408636837836,Nc,3
豆漿店,0.5773502691896257,Nc,1
日落,0.5522981713293259,VA,1
風光明媚,0.5522981713293259,VH,1
自行車道,0.5504832895474622,Na,1
愜意,0.46428009957857286,VH,1
溼地,0.44787022084190714,Na,4
霧霾,0.4472135954999579,Na,1
基隆河,0.42037624758640896,Nc,2
密境,0.409792810576012,Na,1
踏青,0.40195971326198165,VA,1
野餐,0.40195971326198165,VA,1
騎車,0.40195971326198165,VA,1
河面,0.3507068577988959,Na,1
堤岸,0.3507068577988959,Na,1
夜景,0.3507068577988959,Na,1
匯流處,0.3327186310628593,Nc,2
單車,0.3327186310628593,Na,1
社子島,0.3327186310628593,Nc,1
晨光,0.3172268383253843,Na,1
日出,0.3172268383253843,VA,1
白鷺絲,0.285384467982895,Na,1
彈塗魚,0.285384467982895,Na,1
招潮蟹,0.285384467982895,Na,1
賞鳥人,0.12859064584076046,Na,1
生機,0.12859064584076046,Na,1
疏洪道,0.12859064584076046,Na,1
自然,0.12859064584076046,VH,1
鐵馬道,0.12859064584076046,Na,1
關渡,0.12859064584076046,Nc,1
高灘地,0.12859064584076046,Na,1
水陸,0.12859064584076046,Na,1
泥沙,0.12859064584076046,Na,1
塭子川,0.12859064584076046,Nc,1
水沙蓮,0.12859064584076046,Na,1
左岸,0.12859064584076046,Nc,1
堤外道,0.12859064584076046,Na,1
動植物,0.12859064584076046,Na,1
出水口,0.12859064584076046,Nc,1
八里,0.12859064584076046,Nc,1
二重,0.12859064584076046,Nc,1
晨曦,0.10570846582942418,Na,1
灰色,0.10570846582942418,Na,1
雲彩,0.10570846582942418,Na,1
