words,tfidf,pos,freq
夜景,6.158704093022245,Na,27
林口,3.4215715402289764,Nc,16
觀景台,2.989912493816852,Nc,9
台北,2.9615033419408627,Nc,27
平台,1.674571081017489,Na,5
幽靜,1.2994508897225552,VH,2
台北市,1.2666823873358566,Nc,5
新光三越,1.2617612459300178,Nb,4
步道,1.113975359786133,Na,4
寧靜,1.0483754791575866,VH,3
日出,0.9106105003141469,VA,3
新北,0.8229168328915918,Nc,2
陰雨天,0.7333447766035898,Na,1
油桐花,0.7071067811865475,Na,1
單車,0.7071067811865475,Na,1
清幽,0.701673368035949,VH,3
悠閒,0.6517655734312119,VH,1
讚風,0.5773502691896257,Na,1
盆地,0.5452814928567027,Na,10
遼闊,0.5280043260313123,VH,2
林口區,0.5188559188787206,Nc,2
前景,0.5036607404910838,Na,1
信義區,0.4959297557340844,Nc,2
高地,0.49362493803658164,Na,1
陽明山,0.4684490273936961,Nc,1
土地公,0.46844902739369604,Nb,1
禪叫聲,0.4649593871437352,Na,1
腳踏車,0.45776269768775674,Na,1
櫻花,0.440362904494553,Na,1
炮仗花,0.440362904494553,Na,1
山谷,0.4370648079134631,Na,2
板橋,0.42439522318498635,Nc,1
怪人,0.4240053554986758,Na,1
死角,0.4240053554986758,Nc,1
霓虹,0.3909272678414193,Na,1
大稻埕,0.3885449810563196,Nc,1
燈火,0.3885449810563196,Na,1
豪宅,0.3825589991172481,Na,1
天龍,0.3825589991172481,Na,1
城區,0.3825589991172481,Nc,1
日落,0.35245313913159954,VA,1
文化,0.3396275973730693,Na,1
藝品,0.3396275973730693,Na,1
優點,0.3379139612281791,Na,1
別墅,0.3379139612281791,Na,1
刮刮樂,0.3321683235695347,Na,1
阿飄,0.3321683235695347,Nb,1
自行車,0.323010235999071,Na,1
仁愛路,0.3214604678036757,Nc,1
直線,0.3214604678036757,Na,1
散步,0.31950204353751727,VA,1
高樓,0.31194399280271534,Na,1
坐椅,0.2981950166595855,Na,1
區公所,0.296674881133571,Nc,1
樹枝,0.296674881133571,Na,1
住宅區,0.29226419809147564,Nc,1
座右銘,0.2771176539084653,Na,1
繁星,0.2771176539084653,Na,1
髒污,0.2674127925556716,Na,1
苔癬,0.2665286437652757,Na,1
觀音寺,0.2665286437652757,Nc,1
山凹處,0.2665286437652757,Na,1
廢氣,0.24508311324177343,Na,1
缺口,0.24508311324177343,Na,1
貨卡噴,0.24508311324177343,Na,1
圓山,0.23729910796421683,Nc,1
清新,0.23729910796421683,VH,1
新寮,0.2357284617204041,Nc,1
水碓,0.22636783780338124,Na,1
燈景,0.22636783780338124,Na,1
廣告,0.22300311517564655,Na,1
松山機場,0.22300311517564655,Nc,1
跑道,0.22300311517564655,Na,1
森林,0.21796670044872637,Na,1
露台,0.21796670044872637,Na,1
天台,0.18565145994365384,Nc,1
站牌,0.18565145994365384,Na,1
按鈕,0.17458311120916795,Na,1
公所,0.11763317754440675,Nc,2
小多,0.11763317754440675,Na,1
障礙物,0.11763317754440675,Na,1
