words,tfidf,pos,freq
碧湖,2.7978155017247834,Nc,8
水庫,2.045856884132116,Na,16
萬大,1.155480964653172,Nb,6
山水畫,0.7625744782144853,Na,1
木亭子,0.7071067811865476,Na,1
亭子,0.653337973332862,Na,4
山頂,0.6229399136604434,Nc,1
鮮花,0.6229399136604434,Na,1
圓管,0.6063801061603757,Na,1
鐵椅,0.6063801061603757,Na,1
公園,0.5395558195677815,Nc,5
霧社,0.48699560630121597,Nc,5
視角,0.44830032835297595,Na,2
介壽亭,0.43968020083522413,Nc,2
山景,0.4045284676806855,Na,1
山脈,0.3745817378159685,Na,1
壯觀,0.3686350120507652,VH,1
拍照,0.3686350120507652,VB,1
毛毛蟲,0.3531954398800917,Na,1
視景,0.3531954398800917,Na,1
塔洛灣,0.335153288830622,Nc,2
小攤,0.32385753773387044,Nc,1
杏鮑菇,0.32385753773387044,Na,1
佳景,0.3225765164150372,Na,1
枝椏,0.3225765164150372,Na,1
間歇性,0.3062701999546183,Na,1
空檔,0.3062701999546183,Na,1
入彎處,0.20153115317255132,Nc,1
台14,0.20153115317255132,Nc,1
干卓,0.20153115317255132,Nb,1
拍攝點,0.20153115317255132,Na,1
電廠,0.19785913405484956,Nc,3
交通安全,0.16625680394922707,Na,1
視線,0.16625680394922707,Na,1
濁水溪,0.1319060893698997,Nc,2
集水區,0.1319060893698997,Nc,2
淤積量,0.1319060893698997,Na,2
右手,0.1079111639135563,Na,1
樹梢,0.1079111639135563,Nc,1
步道,0.1079111639135563,Na,1
武嶺,0.1079111639135563,Nb,1
目的地,0.1079111639135563,Nc,1
縫隙,0.1079111639135563,Na,1
介壽,0.1079111639135563,Nc,3
自然,0.06595304468494985,VH,1
總容量,0.06595304468494985,Na,1
溢流壩,0.06595304468494985,Na,1
烏來,0.06595304468494985,Nc,1
碧水,0.06595304468494985,Na,1
碧玉,0.06595304468494985,Na,1
豪雨,0.06595304468494985,Na,1
羅好壩,0.06595304468494985,Nc,1
美國,0.06595304468494985,Nc,1
泥砂,0.06595304468494985,Na,1
重力壩,0.06595304468494985,Na,1
阿玉壩,0.06595304468494985,Nc,1
清淤量,0.06595304468494985,Na,1
敏督利,0.06595304468494985,Nb,1
河川,0.06595304468494985,Na,1
水力,0.06595304468494985,Na,1
曲線型,0.06595304468494985,Na,1
戰爭,0.06595304468494985,Na,1
容量,0.06595304468494985,Na,2
天輪,0.06595304468494985,Na,1
大甲溪,0.06595304468494985,Nc,1
墾務局,0.06595304468494985,Nc,1
南投縣,0.06595304468494985,Nc,1
仁愛鄉,0.06595304468494985,Nc,1
主因,0.06595304468494985,Na,1
霧社溪,0.06595304468494985,Nc,1
