words,tfidf,pos,freq
眷村,3.054563522858375,Nc,12
散步,1.2727819993075715,VA,3
花園,1.0317449392318745,Nc,4
拍照,1.008683885752463,VB,5
拍照點,1.0,Na,1
坐椅,0.7071067811865476,Na,1
歷史,0.7071067811865476,Na,1
傳統,0.6525307024661815,VH,1
文創,0.6006933701016337,Na,3
花圃,0.5943953651378014,Nc,1
懷舊,0.5464774002527683,VH,1
圖騰,0.5185015082848391,Na,1
牆壁,0.48857825793826426,Na,1
歐洲,0.3782968122029115,Nc,1
公園,0.33888886430914833,Nc,1
體驗,0.29908835309021375,VC,1
下小姐,0.29908835309021375,Na,1
游家榕,0.29908835309021375,Nb,1
蹟像,0.29908835309021375,Na,1
軍村,0.2942444255570469,Nc,1
蔣介石,0.2942444255570469,Nb,1
壁畫,0.2811594238047796,Na,1
事權,0.2581988897471611,Na,1
住戶,0.2581988897471611,Na,1
國產局,0.2581988897471611,Nc,1
外貌,0.2581988897471611,Na,1
市公所,0.2581988897471611,Nc,1
物權,0.2581988897471611,Na,1
雨點,0.24628899913663257,Na,1
老兵,0.24628899913663257,Na,1
雷聲,0.24628899913663257,Na,1
時光機,0.23636909624404626,Na,1
懷念,0.23636909624404626,VJ,1
反派,0.23369245189258206,Na,1
男女,0.23369245189258206,Na,1
言論,0.22888756795985765,Na,1
音量,0.22888756795985765,Na,1
花海,0.20707751857593804,Na,1
花草,0.20707751857593804,Na,1
花蓮,0.20707751857593804,Nc,1
