words,tfidf,pos,freq
洞穴,10.250843865878078,Na,58
天然,9.249269421425767,A,49
佛手洞,8.403656564650582,Nc,46
基隆,5.849564013534072,Nc,55
海蝕洞,5.620182259944064,Na,31
涼爽,5.579736252499179,VH,16
仙洞巖,5.442740569734366,Nc,46
體驗,5.43545348945675,VC,20
佛手,5.023770994218189,Na,66
山洞,4.935492935025124,Na,16
廟宇,4.453658963441219,Na,15
仙洞,4.435487212258312,Nc,82
石洞,3.872642644764481,Na,10
岩洞,3.627462782652915,Na,14
歷史,3.519970495543343,Na,13
莊嚴,3.436916902387689,VH,11
鬼斧神工,3.4322447183293123,VH,8
寺廟,3.381591935411108,Nc,13
大自然,3.0064491981743027,Nc,11
公園,2.70684547922488,Nc,16
佛像,2.385508410441542,Na,10
地形,2.190079071633521,Na,9
自然,2.038973203770552,VH,18
基隆港,1.870660296568054,Nc,9
體型,1.8551144733157585,Na,6
拜拜,1.7573875296142711,VA,5
神像,1.705200411720018,Na,7
參拜,1.664352652635408,VC,7
佛門,1.6463791555981317,Nc,3
雕刻,1.5677558693916398,Na,9
清幽,1.5388486188465182,VH,3
菩薩,1.5330571103515098,Na,12
身材,1.4258783194803466,Na,3
神明,1.3823275822413115,Na,7
悠久,1.3562105923675154,VH,4
石壁,1.2703543494329126,Na,9
岩縫,1.261448413142393,Na,5
岩壁,1.2613012672625579,Na,7
仙氣,1.2588899673644616,Na,3
步道,1.2027458008648373,Na,6
巖洞,1.1386426764009503,Nc,3
敦煌,1.0910673654454368,Nc,3
尼姑,1.066253669012454,Na,2
肅穆,1.0564122581216195,VH,2
佛教,1.0179783851897437,Nb,2
燈塔,1.0124272226150737,Na,8
山壁,1.012062666906151,Na,3
小道,0.995940333857495,Na,3
文化,0.9459520011418212,Na,3
蝙蝠,0.920650358634625,Na,3
佛寺,0.8481441517895975,Nc,3
洞窟,0.8223359231703997,Na,3
古跡,0.7887626781385635,Na,1
縫隙,0.7786589530925518,Na,2
石雕,0.7777956817927074,Na,4
洞府,0.7561029797970963,Na,1
仙洞嚴,0.7526056627211473,Nc,1
迷宮,0.7521276857660424,Na,1
洞體,0.7439225732229556,Na,1
淨地,0.7439225732229556,Na,1
清涼,0.742262293936033,VH,2
仙境,0.7412311224912416,Nc,2
文人,0.7122366131745345,Na,4
思古,0.7071067811865475,VH,1
散步,0.7060596616996315,VA,1
雕像,0.7000371512694052,Na,3
缺氧,0.6976404146129508,Na,2
觀世音,0.6858413128467237,Nb,6
手掌,0.6561211311087158,Na,4
石縫,0.6509276846431554,Na,4
山巖,0.6440612646665241,Na,1
聖安宮,0.642821294334034,Nc,5
拍照,0.63788706079664,VB,2
遺恨,0.6362069962974122,Na,1
終生,0.6362069962974122,Na,1
白米,0.6276337390046717,Na,12
觀音,0.5918310505962133,Nb,5
步伐,0.5898885192889225,Na,1
石岩,0.5745612084572463,Na,1
基隆市,0.5690591435730967,Nc,6
佛祖,0.5679701642348626,Na,3
碼頭,0.5620221014802236,Nc,4
神經病,0.5411048994115539,Na,1
石窟,0.5365874610317793,Na,1
貨櫃,0.536579267356571,Na,4
地貌,0.5348924921248409,Na,1
銀髮族,0.5347653324696213,Na,1
窄洞,0.529826731664676,Na,1
胖子,0.529826731664676,Na,1
神仙,0.5212786009283978,Na,1
香油錢,0.5203719035176619,Na,2
古色古香,0.5198672351397954,VH,1
祕境,0.5179385828274737,Nc,2
寧靜,0.5177648299452307,VH,1
墨跡,0.5177085745984673,Na,4
出家眾,0.5106491819230063,Na,1
岩窟,0.5071088814122027,Na,1
水簾洞,0.5041295365432242,Nc,1
現代版,0.5041295365432242,Na,1
石刻,0.4999053975644415,Na,3
洞頂,0.49750286795192006,Na,1
手指,0.49611643730401533,Na,2
景點區,0.49270109254425265,Nc,1
球子山,0.4882923425609397,Nc,4
石巷,0.4825209661405185,Nc,1
佛巷,0.4825209661405185,Nc,1
禮佛,0.47727508464264634,VA,2
峽谷,0.4688458771770903,Na,1
港口,0.4681199032278745,Nc,2
肅然起敬,0.45932031553791164,VH,1
中山區,0.45529150395491297,Nc,4
雜貨店,0.449283847989984,Nc,1
主洞,0.4361914752466665,Na,5
福氣,0.43489039282343595,Na,1
佛堂,0.4309597023515814,Nc,1
女王,0.42847589188165863,Na,1
閒暇,0.42648300873626754,Na,1
村里,0.42648300873626754,Nc,1
古早味,0.4216108367148098,Na,1
太白莊,0.41414669829441997,Nb,2
神殿,0.413220159057478,Nc,1
恐懼症,0.4099714280589358,Na,2
仙桌,0.40694396125699767,Na,4
腳步,0.3981890697114886,Na,2
單行道,0.3906511217338072,Nc,2
瘦子,0.3888370482900759,Na,1
止滑鞋,0.38711623134596435,Na,1
阿公,0.3840054275522366,Na,1
雅痞,0.3819755483346467,Na,1
患者,0.38178393251807435,Na,2
香煙,0.3816655019041046,Na,1
