words,tfidf,pos,freq
伴手禮,22.15536886196741,Na,79
拍照,18.515363895105104,VB,70
麵包,10.531696231865048,Na,29
牛軋糖,7.16725318357162,Na,16
元首,5.696492824134896,Na,39
購物,5.622173288530407,VA,13
大黑松,4.534321269481845,Nb,16
果凍,4.525851417220258,Na,8
香蒜,4.477578291513961,Na,10
蛋塔,3.7499568813330995,Na,7
元首館,3.445383454679174,Nc,22
大蒜,3.1571042987597155,Na,6
埔里,3.1539527282964945,Nc,15
百香,2.4588611207961124,Na,7
城堡,2.311256003428066,Na,18
南投,2.0293114849060574,Nc,6
拌手禮,1.6312972731746025,Na,2
娃娃酥,1.50796569523856,Na,2
馬車,1.4607857905362218,Na,7
西洋棋,1.4573047340424914,Na,9
蒜香,1.4459249602630346,Na,5
日月潭,1.2197411461233723,Nc,4
體驗,1.213688861122625,VC,3
商店,1.2049097005723128,Nc,3
火鍋,1.1972181527349923,Na,4
蛋撻,1.179782765328906,Na,3
泡芙,1.1661350076515458,Na,4
藝術,1.1389049021428983,Na,5
香味,1.0587132924997156,Na,3
寧靜,1.0,VH,1
元首館站,1.0,Nc,1
象棋,0.9791976111689036,Na,4
可頌,0.9712345207371599,Na,2
商家,0.9333960728978674,Na,3
牛轧糖,0.9225696040788413,Na,1
黃春珠,0.8587939170141035,Nb,2
礦泉水,0.857545336004372,Na,2
品項,0.8438844038653219,Na,2
牛嘎糖,0.8194290449718638,Na,1
禮讚,0.8194290449718638,Na,1
牛尬糖,0.7788382413910399,Nb,1
棋盤,0.7655839297148109,Na,3
銷售站,0.7635455561712994,Nc,1
庭園,0.7314045308687422,Na,2
黑豆,0.7071067811865476,Na,1
木鼈,0.7071067811865476,Na,1
古錐,0.7071067811865476,Nb,1
东西,0.7071067811865476,Na,1
愛蘭,0.6610337518473803,Nc,2
瓦片饼,0.6525820078274416,Na,1
踏青,0.6511886650677702,VA,1
香葱,0.646013207448063,Na,1
清幽,0.6320810639856945,VH,1
蛋糕,0.6277837846853991,Na,3
庭院,0.6220764933812367,Na,1
牛軋餅,0.6017270723269978,Na,2
态度,0.5960403225652184,Na,1
底片,0.5953978818403084,Na,1
湯頭,0.5837252974520402,Na,1
專賣店,0.5812512788600516,Nc,1
約會,0.5785621532161471,VB,2
肉紙,0.5783429970691059,Na,1
補寄站,0.571196132797381,Nc,1
團旅,0.564932841466189,Na,1
漢餅,0.5612221771850339,Na,1
紅豆,0.5612221771850339,Na,1
麻糬,0.5612221771850339,Na,1
湯底,0.5474882222655878,Na,1
愛情,0.5474193832378363,Na,4
石蓮花,0.5428473997675388,Na,2
特色鍋,0.541627147480305,Na,1
放風,0.5400255275290784,VA,1
蒜頭,0.5400255275290784,Na,1
年代感,0.5230455353115325,Na,2
攤位,0.5197950577210861,Na,2
人员,0.5177133517438215,Na,1
購物區,0.514213812794709,Nc,1
陷阱,0.511992594486483,Na,1
過年,0.5108678247135833,VA,1
沙士,0.5108517308703309,Na,1
中間站,0.5068585271651701,Nc,1
