words,tfidf,pos,freq
鳶山,3.9149665946407426,Nc,29
爬山,2.9775480612355265,VA,6
夜景,2.6776832569976667,Na,4
三峽,2.461576437405496,Nc,15
步道,1.7829664543661947,Na,7
登山,1.598469059581359,VA,8
拍照,1.4651030837198822,VB,4
散步,1.249946987676363,VA,2
健走,1.1752495212663228,VA,2
騎車,1.1214346604976324,VA,5
彩壁,0.8134748425826344,Na,5
壯觀,0.8093938437828265,VH,2
元山,0.7402349790499897,Nc,1
山頂,0.6859432487245598,Nc,3
郊遊,0.6643210850146712,VA,1
日出,0.6446288325235362,VA,1
軌道車,0.6446288325235362,Na,1
遼闊,0.6373863762265081,VH,2
登山口,0.6263519385539643,Nc,3
機車格,0.5830728103547108,Na,1
健行,0.575081243670241,VA,3
老街,0.538466244355882,Nc,4
路幅,0.5346688363545147,Na,2
視線,0.523917956149358,Na,2
夕陽,0.5090231215877978,Na,1
山友,0.47878294720040904,Na,5
鎮長,0.46473913761015884,Na,2
銅鐘,0.46261363030781694,Na,3
小累,0.4569526768962479,Nb,1
公園,0.4453743563690703,Nc,2
產業道路,0.4453743563690703,Na,2
踏青,0.4397705153003264,VA,1
油漆,0.3580379669825234,Na,1
銘碑,0.3580379669825234,Na,1
鳶山岩,0.3576657264327535,Na,2
木棧道,0.35451996842191685,Nc,1
高山,0.3379962200132872,Na,1
汽車格,0.3281844162845367,Na,1
鐘樓,0.3281844162845367,Na,1
網球場,0.32460568431100384,Nc,1
鎮民,0.30757344531348163,Na,1
紀念,0.30757344531348163,VJ,2
高點,0.30381828513535447,Na,1
桐花,0.3034563033038137,Na,1
花朵,0.3034563033038137,Na,1
思古,0.3006483302120934,VH,1
文物,0.3006483302120934,Na,1
暮鼓晨鐘,0.3006483302120934,Na,1
祖師廟,0.2989092350969135,Nc,1
清幽,0.2969056161517052,VH,1
紀念鐘,0.2969056161517052,Na,1
覽勝亭,0.2969056161517052,Nc,1
簡單版,0.26507431665008524,Na,1
難易度,0.26507431665008524,Na,1
代誌,0.25241444442059197,Na,1
公務員,0.25241444442059197,Na,1
歷史,0.24776233523910424,Na,1
觀景石,0.24776233523910424,Na,1
場商,0.24550375883333683,Nc,1
茶葉,0.24550375883333683,Na,1
松柏,0.207099317520954,Na,1
齊柏林,0.2000598194696037,Nb,1
樹叢,0.19548816904749033,Na,1
山腳,0.19548816904749033,Nc,1
老公,0.19548816904749033,Na,1
箭頭,0.17946126744636676,Na,1
簽字筆,0.17946126744636676,Na,1
油性,0.17946126744636676,Na,1
腳踏車,0.1645207946743998,Na,1
豆花店,0.1645207946743998,Nc,1
表忠碑,0.14773978387916398,Nb,1
街面,0.14773978387916398,Nc,1
街區,0.14773978387916398,Nc,1
葉氏,0.14773978387916398,Nb,1
碑體,0.14773978387916398,Na,1
葉建寅,0.14773978387916398,Nb,1
興隆宮,0.14773978387916398,Nc,1
聯對,0.14773978387916398,Nb,1
手蹟,0.14773978387916398,Na,1
民權街,0.14773978387916398,Nc,1
桃園,0.14773978387916398,Nc,1
書法,0.14773978387916398,Na,1
手筆,0.14773978387916398,Na,1
廟額,0.14773978387916398,Na,1
大臺北,0.14773978387916398,Nc,1
福德坑山,0.12589428612244677,Nc,1
鳶峰路,0.12589428612244677,Nc,1
老少咸宜,0.12589428612244677,VH,1
山徑,0.12589428612244677,Na,1
南投,0.11569774453167529,Nc,1
土城,0.11569774453167529,Nc,1
地峽,0.11569774453167529,Na,1
山景,0.11569774453167529,Na,1
山色,0.11569774453167529,Na,1
廢棄物,0.11569774453167529,Na,1
攝圖,0.11569774453167529,Na,1
新如,0.11569774453167529,Nb,1
武嶺,0.11569774453167529,Nb,1
鳶鐘,0.11569774453167529,Na,1
鶯歌,0.11569774453167529,Nc,1
