words,tfidf,pos,freq
溜滑梯,12.579403665952874,VA,65
滑草,12.482152967769931,VH,113
公園,12.451577470193403,Nc,73
放電,8.622215324450462,VA,29
放風箏,8.186670359602314,VA,31
散步,4.945727220663025,VA,11
滑草場,4.668850894426054,Nc,17
滑草板,4.657568717431376,Na,22
遊樂,4.173851266355762,VA,22
草皮,3.8404141927927764,Na,17
滑草區,3.5778725592887257,Nc,15
盪鞦韆,3.147249412649326,VA,16
八里,2.9704235596392197,Nc,30
野餐,2.762081133275747,VA,13
十三行,2.431305167735257,Nc,23
腳踏車,2.398689553212641,Na,11
風箏,2.2084338855395775,Na,44
孩童,2.069853618629521,Na,7
放風,1.90389731217331,VA,37
遛小孩,1.9016951741348223,VA,4
博物館,1.7921179424810347,Nc,10
草地,1.6817646062586524,Nc,9
淡水,1.6374857072352218,Nc,9
滑梯,1.6002353528353042,Na,72
夕陽,1.5603314943966893,Na,4
攤販,1.5489634669403447,Na,5
海邊,1.3535092979809915,Na,4
曬太陽,1.2749394506802794,VA,3
眼睛,1.2502343117977708,Na,4
踏青,1.2320268343859526,VA,3
滑索,1.1885530841241523,Na,7
視線,1.0790854723390717,Na,2
蹺蹺板,0.993649746836925,Na,5
遊戲場,0.9204204304551078,Nc,3
台北,0.8995141297641294,Nc,7
海風,0.8701222380234178,Na,2
新北,0.8348702881877428,Nc,14
考古,0.8079440608042403,VA,5
遼闊,0.8059726388258325,VH,3
歷史,0.8033758043157775,Na,6
遊具,0.7869524219652229,Na,3
左岸,0.7832420188136452,Nc,3
騎車,0.7403299325128534,VA,3
紙板,0.7283040724262585,Na,3
長官,0.7139579871519615,Na,3
公园,0.7071067811865475,Nc,1
文化,0.7048957134661136,Na,10
涼爽,0.6382547619871571,VH,1
台北港,0.6331195035568715,Nc,3
繩索,0.6200413181386224,Na,2
小朋,0.6181943951780665,Na,44
砂池,0.6170942967645279,Na,1
磨石子,0.6107119942990629,Na,3
大都會,0.6079833855316966,Nc,1
樂園,0.5965691669986593,Na,2
閒人,0.5892832309913147,Na,1
療癒,0.5750197769039854,VC,3
草坪,0.545495574520583,Na,3
體驗,0.537965257606389,VC,3
地域,0.535142359856601,Na,1
觀音山,0.533938821871937,Nc,2
老街,0.5297193357296851,Nc,3
新北市,0.5276457270111786,Nc,6
花草,0.5194543937988219,Na,2
幻燈片,0.4838938944573755,Na,1
邏輯,0.4815888754166868,Na,1
古蹟,0.4754829599573666,Na,1
居家,0.4718109274159422,Na,1
悠閒,0.471069945989444,VH,2
米菲,0.468686125557632,Nb,2
黃昏,0.4525144929493917,Nd,1
廢氣,0.4509400899361045,Na,1
米飛兔,0.44570145946643636,Nb,3
生態池,0.4441310796123379,Na,2
幅員,0.4430799750048022,Na,1
流浪狗,0.4430799750048022,Na,1
考古學家,0.43133549661611176,Na,1
腦震盪,0.43111414199067694,Na,1
鵝子,0.41807965972074657,Na,1
八里人,0.41190575819940006,Na,1
台64,0.4111205208036277,Nb,1
四輪車,0.39999462226303767,Na,1
內區,0.39999462226303767,Nc,1
路人,0.3991922648074304,Na,1
雕塑,0.39886596469062513,Na,2
商店,0.39879402337194025,Nc,2
老者,0.3977212712728428,Na,1
塑膠,0.3948991397687747,Na,1
風險,0.3943438122717768,Na,1
軟墊,0.3894628675925891,Na,2
孩兒,0.38621942587195085,Na,2
單車,0.3836891457106453,Na,2
風箏線,0.3734046588057575,Na,2
高灘局,0.3556150796160075,Nc,1
熱鬧,0.35334693621951524,VH,1
至高點,0.3525086216507593,Na,1
山坡,0.3525086216507593,Na,1
磨石,0.3500073198882001,Na,4
拍照,0.3464376461518345,VB,3
假日人,0.34612781839983836,Na,1
腳踏車道,0.3458448172702983,Na,1
沙堆,0.344208137747993,Na,1
騎警隊,0.34032997535372134,Na,1
馬兒,0.34032997535372134,Na,1
目光,0.34032997535372134,Na,1
滑索區,0.33835232982810676,Nc,1
沙區,0.33835232982810676,Nc,1
溜龍,0.33398340641912666,Nb,1
飛盤,0.33133952000095,Na,1
樹陰,0.33132486285140067,Na,1
租金,0.33132486285140067,Na,1
草原,0.3256497393175036,Na,2
小孩兒,0.3249155839802864,Na,1
滑輪,0.3249155839802864,Na,1
古老,0.32366988099730926,VH,5
傳統,0.32366988099730926,VH,5
岸際,0.31499475215826106,Nc,1
夜色,0.31499475215826106,Na,1
