words,tfidf,pos,freq
公園,7.229520440339537,Nc,34
鯨魚,3.004496633732117,Na,17
溜滑梯,2.598904347192466,VA,13
散步,2.5297466895529306,VA,6
放電,2.034967125187089,VA,5
遊樂,1.5195155729111516,VA,6
八里,1.3349588960439365,Nc,7
自然,0.943439160585658,VH,2
盪鞦韆,0.8896478048459007,VA,6
悠閒,0.8804181258631587,VH,1
腳踏車,0.8597352431280245,Na,3
遊具,0.8180059813327804,Na,3
海邊,0.7787978261923292,Na,2
生態,0.7333447766035898,Na,1
羽球場,0.6284030872197475,Nc,1
放風,0.5672762587266075,VA,1
特殊性,0.551309797816362,Na,1
港口,0.551309797816362,Nc,1
天棚,0.5278166841365555,Na,1
日落,0.5251808155362298,VA,1
觀景台,0.5251808155362298,Nc,1
蹺蹺板,0.5103689916291749,Na,2
清新,0.5090231215877978,VH,1
商港,0.5007761148897282,Nc,1
落日熱,0.5007761148897282,Na,1
攀岩,0.49410766801543143,VA,4
螞蟻,0.4909204173308384,Na,2
專場,0.4885866950878098,Nc,1
滑梯,0.4697192706227454,Na,14
藍鯨,0.4697192706227454,Na,1
攀爬,0.4171890401873151,VC,1
騎車,0.4029491456847227,VA,1
孩童,0.38153531052156175,Na,1
遛小孩,0.3714447112236816,VA,1
弟弟,0.35513880032255607,Na,2
曬太陽,0.3392728603676636,VA,1
拍照人,0.3392728603676636,Na,1
國中生,0.32869569714859215,Na,1
長照,0.3210655467759307,Nb,1
椅背,0.3210655467759307,Na,1
製造商,0.3210655467759307,Na,1
居服,0.3210655467759307,Na,1
林木,0.3210173445301365,Na,1
植被,0.3210173445301365,Na,1
汽車聲,0.28431960967986597,Na,1
翹翹板,0.27292306266754635,Na,2
夕陽,0.26431533074702906,Na,1
攀岩牆,0.26431533074702906,Na,1
貨櫃屋,0.2456478160406836,Na,1
災難,0.2454602086654192,Na,1
圖景,0.24370015465036052,Na,1
拍照,0.24370015465036052,VB,2
外表,0.21864905972304916,Na,1
公所,0.21864905972304916,Nc,1
野餐,0.21438067509653927,VA,1
攀岩石,0.19093931083418383,Na,1
磨石子,0.19093931083418383,Na,1
遊戲場,0.19093931083418383,Nc,1
圓盤,0.1786027009081889,Na,1
日本,0.1786027009081889,Nc,1
禾家歡,0.1786027009081889,Nb,1
口水,0.17756940016127803,Na,1
父母,0.17756940016127803,Na,1
路人,0.17756940016127803,Na,1
普照,0.15786673587018377,Nb,1
十三行,0.11579262703193463,Nc,1
博物館,0.11579262703193463,Nc,1
左岸,0.11579262703193463,Nc,1
玩法,0.11579262703193463,Na,1
秒數,0.11259801360186843,Na,1
警示帶,0.11259801360186843,Na,1
警示錐,0.11259801360186843,Na,1
里長,0.11259801360186843,Na,1
