words,tfidf,pos,freq
遺跡,1.1709466558618427,Na,4
古蹟,1.0228363455266505,Na,6
淡水,0.7416251514415247,Nc,15
遺蹟,0.7354624803924769,Na,3
市鎮,0.6893837035934609,Na,3
新北,0.6063801061603757,Nc,1
古橋,0.5399564925491757,Nc,2
石版,0.5185015082848391,Na,1
舊蹟,0.5,Na,1
文明,0.4870160067225823,Na,1
腳步,0.4870160067225823,Na,1
住屋,0.46428009957857286,Na,1
大自然,0.4472135954999579,Nc,1
史敗,0.4319826822700223,Nb,1
雞籠,0.43003816665608174,Na,1
便道,0.43003816665608174,Na,1
滬尾,0.43003816665608174,Nc,1
田溪橋,0.40878640998601923,Nc,7
田溪,0.4053921072038905,Nc,13
步道,0.3984100698393043,Na,1
石板,0.39435007794418675,Na,4
企鵝妹,0.38746834442722644,Na,1
政治,0.3419919713343545,Na,1
釣魚,0.3419919713343545,VA,1
拍照,0.3220922553754748,VB,2
碼頭,0.3220922553754748,Nc,1
計劃,0.3220922553754748,Na,1
新橋,0.3020968393812193,Nc,4
石塊,0.26997824627458783,Na,1
原始,0.26997824627458783,VH,1
溪流,0.26572718783954175,Na,4
貿易,0.26572718783954175,Na,4
文化,0.25095444435933123,Na,1
祖德,0.25095444435933123,Nb,1
歷史,0.25095444435933123,Na,1
山林,0.25095444435933123,Nc,1
古跡,0.25095444435933123,Na,1
單車,0.19101449627788303,Na,1
家樂福,0.19101449627788303,Nb,1
時空,0.19101449627788303,Na,1
晚餐,0.19101449627788303,Na,1
農田,0.19101449627788303,Na,1
高樓大廈,0.19101449627788303,Na,1
淡海,0.18797101566998578,Nc,2
文筆柱形,0.18599580087467785,Na,2
橋墩,0.18599580087467785,Na,3
漢人,0.18072248247328004,Na,3
碑記,0.180463760716255,Na,3
田橋,0.180463760716255,Nc,3
公司田,0.15375517626562396,Nc,1
大廈型,0.15375517626562396,Na,1
橋頭,0.15375517626562396,Nc,1
溪橋,0.15375517626562396,Na,8
紀念橋,0.15375517626562396,Nc,1
基隆,0.13286359391977087,Nc,2
東印度,0.13286359391977087,Nc,2
淡水街,0.13286359391977087,Nc,2
老梅莊,0.13286359391977087,Nb,2
荷蘭,0.13286359391977087,Nc,4
荷蘭人,0.13286359391977087,Na,2
舊址,0.10503804341367846,Nc,2
北海岸,0.09328181454366083,Nc,1
淡水道,0.09328181454366083,Nc,1
田地,0.09328181454366083,Na,2
說法,0.09328181454366083,Na,1
鄉鎮,0.09328181454366083,Nc,1
長條,0.09299790043733892,Na,1
長形,0.09299790043733892,Na,1
金山,0.09299790043733892,Nc,1
石材,0.09299790043733892,Na,1
營建署,0.09299790043733892,Nc,1
水患,0.09299790043733892,Na,1
橋墩頭,0.09299790043733892,Na,1
榫孔,0.09299790043733892,Na,1
原址,0.09299790043733892,Na,1
內政部,0.09299790043733892,Nc,1
中游,0.09299790043733892,Nc,1
三芝,0.09299790043733892,Nc,1
柴橋,0.09299790043733892,Na,1
田地名,0.05251902170683923,Na,1
道南,0.05251902170683923,Nc,1
農耕區,0.05251902170683923,Nc,1
臺北,0.05251902170683923,Nc,1
石橋板,0.05251902170683923,Na,1
石橋,0.05251902170683923,Na,2
省級,0.05251902170683923,Na,1
登陸地,0.05251902170683923,Na,1
林子街橋,0.05251902170683923,Nc,1
溪水,0.05251902170683923,Na,1
橋板,0.05251902170683923,Na,2
木橋,0.05251902170683923,Na,1
必要性,0.05251902170683923,Na,1
墩座,0.05251902170683923,Na,1
同治,0.05251902170683923,Nb,1
丁桁橋,0.05251902170683923,Na,1
遺構,0.05251902170683923,Na,1
