words,tfidf,pos,freq
雲海,1.345178225953811,Na,7
平台,1.1378959098327601,Na,2
拍照,1.0009834924451364,VB,3
步道,0.9190027029470276,Na,3
遼闊,0.9000997949910382,VH,3
山景,0.7430929503651447,Na,4
夜景,0.7071067811865476,Na,1
山頂,0.6722176342397319,Nc,3
登山,0.6158196361373184,VA,4
鳥嘴山,0.6130451230238986,Nc,1
山際線,0.561685466885314,Na,1
髮夾彎,0.5294054332166329,Na,2
山巒,0.48657237236626366,Na,2
李棟山,0.43721707035381707,Nb,2
稜線,0.42562657114025904,Na,1
觀景台,0.41414316237627224,Nc,1
農場,0.39267707444980665,Nc,1
露營,0.39267707444980665,VA,1
凹谷,0.38262791422719505,Na,1
萬物,0.38262791422719505,Na,1
青山,0.38262791422719505,Na,1
雜草叢生,0.3752911646081556,VH,1
日出,0.3752911646081556,VA,1
巴陵,0.32701722587141996,Nb,1
北橫,0.32701722587141996,Nc,1
騎車,0.31691375604496025,VA,1
咖菲,0.31691375604496025,Nb,1
尖石,0.3026463213283317,Nc,2
那羅山,0.3026463213283317,Nc,2
大車,0.2943807608697528,Na,1
清幽,0.2769740601297785,VH,1
自行車,0.2769740601297785,Na,1
涼爽,0.2769740601297785,VH,1
數碼,0.2642398942934289,Na,2
雲海路,0.25094345104923604,Nc,1
中餐,0.24842020280287747,Na,1
大混山,0.24842020280287747,Nc,1
煤源山,0.24842020280287747,Nc,1
那羅,0.2470945106753906,Nc,3
八五山,0.2470945106753906,Nb,1
停車處,0.23136972760554855,Nc,1
夕陽,0.23136972760554855,Na,1
桃園,0.23136972760554855,Nc,1
遠景,0.23136972760554855,Na,1
山嵐,0.1950176531251274,Na,1
涼庭,0.1950176531251274,Nc,1
ㄧ路,0.15132316066416585,Nc,1
媒源山,0.15132316066416585,Nc,1
新竹,0.15132316066416585,Nc,1
木棧道,0.15132316066416585,Nc,1
東北風峰,0.15132316066416585,Na,1
琉璃光,0.13211994714671446,Na,1
