words,tfidf,pos,freq
歷史,27.105125109481484,Na,183
拍照,12.069211765957853,VB,51
古蹟,9.07370465403802,Na,27
龍山寺,8.772951460255703,Nc,50
街區,8.547753554617888,Nc,67
古色古香,8.385468824462407,VH,16
文化,8.097336381350273,Na,45
展覽,7.977645144582109,VC,44
剝皮寮,5.958882326558716,Nc,53
萬華,5.750507546932289,Nc,35
台北,5.609119576044745,Nc,38
體驗,4.231277801870634,VC,15
艋舺,4.160220898806317,Nc,33
懷舊,3.566077664909505,VH,11
夜市,3.4937652687989096,Nc,19
散步,2.9781913766374934,VA,12
清代,2.802100407332858,Nd,14
人文,2.517439359819555,Na,11
台北市,2.5122597577269854,Nc,11
文青,2.4177675448352947,Nb,7
藝術,2.3929594658251108,Na,14
街景,2.161661086103951,Na,5
老街,2.1593899501843645,Nc,12
古老,2.0344470128831778,VH,9
歷史街區,1.980356413815867,Na,6
博物館,1.8581722151135023,Nc,8
傳統,1.8566525376870433,VH,7
悠久,1.7514715084098804,VH,4
老街區,1.7214426859316614,Nc,4
時空,1.5467651361347403,Na,4
歷史性,1.528222085306579,Na,2
萬華區,1.5024922892185681,Nc,9
文創,1.457887032700048,Na,7
紅磚,1.4382366833891949,Na,9
寧靜,1.357805875925461,VH,3
商店,1.3559283059443836,Nc,5
藝文,1.3257000751453112,A,6
城區,1.3133693255992438,Nc,3
熱鬧,1.2974374489047245,VH,6
悠閒,1.2510634345610203,VH,3
古早味,1.236767199262637,Na,3
隧道,1.2088787958072924,Na,3
復古,1.1898361108365567,VHC,6
童玩,1.176989025427276,Na,4
歴史,1.1258416580810295,Na,3
文物,1.1029694343701384,Na,4
草藥街,1.0941285622778414,Nc,2
西門,1.0087090476609046,Nc,4
寓教於樂,1.0,VA,1
歷史課,1.0,Na,1
日本,0.9678958188213391,Nc,4
導覽,0.965227627542014,VC,2
日落,0.9453115007238981,VA,2
古樸,0.9262490400712737,VH,4
華西街,0.9088283128672083,Nc,6
底片,0.9026359690968593,Na,1
文化區,0.8818879015720871,Nc,2
行旅,0.8463133857190483,Na,1
古代,0.8389464021713277,Nd,2
市政府,0.8211396295662063,Nc,2
拍攝,0.7900859358339882,VC,4
表演,0.7787102593604726,VC,2
遺跡,0.778671111411116,Na,3
歷史味,0.7539453015417973,Na,1
酒店,0.7387645288843018,Nc,2
涼爽,0.7295140527965769,VH,2
租客,0.7275143535206854,Na,1
保護區,0.7091917570160957,Nc,2
老店,0.7081737999654782,Nc,3
正宗,0.7071067811865476,Na,1
陽光天,0.7071067811865476,Na,1
歷史感,0.6924182343043038,Na,2
老松,0.6824562142945331,Nb,3
公眾,0.6799822446796265,Na,1
雪花,0.6736333446716635,Na,2
樹皮,0.6692888334782687,Na,4
放電,0.6554484400158549,VA,1
市街,0.653193772486242,Na,5
臺北市,0.6531386795827395,Nc,5
市場,0.6500346063812995,Nc,4
戲劇社,0.6389493698642249,Nc,1
語言,0.6181924249084811,Na,2
懷舊感,0.6144617764125655,Na,1
教學,0.6121721008660921,VA,3
韓國,0.6116968399429292,Nc,3
建築群,0.6003038315268514,Na,2
打卡章,0.5960403225652184,Na,1
寺廟,0.5912282232112849,Nc,3
紀念章,0.5863748102792494,Na,1
历史,0.5773502691896257,Na,1
青草茶,0.5695332559032671,Na,1
店鋪,0.5689649280189174,Na,1
廣州街,0.5646104399122256,Nc,3
康定路,0.5646104399122256,Nc,3
展示館,0.5551142646559896,Nc,1
三水,0.5543887872071639,Nc,2
拱型,0.5513536941648647,Na,4
閒暇,0.5497400307851102,Na,1
古厝,0.5411630074143583,Na,2
想法,0.5268098090790184,Na,1
畫展,0.5257632311379343,Na,2
明洞,0.5255205685450031,Na,1
月老廟,0.5236449421985928,Nc,1
剥皮寮街,0.5236449421985928,Nc,1
龙山寺,0.5236449421985928,Nc,1
景物,0.5202013919509363,Na,1
華西,0.5162234847487988,Nc,8
鬧市,0.513595034729085,Nc,1
紅磚牆,0.5132321624757263,Na,3
地鐵站,0.512568268376977,Nc,1
盧建寺,0.5097673076857704,Nc,1
復古風,0.508435207118165,Na,1
文化街區,0.5068148168429739,Na,1
公園,0.5042831177215561,Nc,2
長凳,0.5038215381092345,Na,1
攝影線,0.5018584714287266,Na,1
美女街,0.5013074177787814,Nc,1
攤位,0.499379055699585,Na,2
首都,0.48116310553092734,Nc,1
古物,0.47912135867742456,Na,1
