words,tfidf,pos,freq
拍照,1.4514415961067073,VB,3
彩繪村,1.1638113706236075,Nc,3
南崙,0.9745491602993468,Nc,3
農村,0.8430064874137185,Nc,2
家意,0.7071067811865476,Na,1
鄉村,0.6534491783801588,Nc,2
寧靜,0.5861591486465481,VH,2
情感,0.5109488602265194,Na,1
普實,0.5109488602265194,Nb,1
村莊,0.47732150543952234,Nc,2
鄉下,0.4472135954999579,Nc,1
腳踏車,0.41414316237627224,Na,1
水圳,0.41414316237627224,Na,1
傳統,0.41414316237627224,VH,1
民雄,0.3653621343053928,Nc,1
繪畫,0.3653621343053928,Na,1
畫風,0.34199197133435444,Na,1
粉紅豹,0.34199197133435444,Na,1
致遠,0.34199197133435444,Nb,1
早餐店,0.30124287974271374,Nc,1
雜貨舖,0.30124287974271374,Nc,1
家鄉,0.22255654943315162,Nc,1
柑仔店,0.22255654943315162,Nc,1
民風,0.22255654943315162,Na,1
藝術,0.22255654943315162,Na,1
