words,tfidf,pos,freq
雲海,8.629008579589595,Na,32
茶園,4.0826521104883575,Nc,15
坪林,3.810255977961827,Nc,21
日出,3.099093465036231,VA,9
廟宇,2.88380217182352,Na,8
莊嚴,2.681593487638813,VH,7
寧靜,2.6539458423156748,VH,6
寺廟,2.3109021105703715,Nc,10
南山寺,2.2672391420100055,Nc,13
步道,2.2058078860021224,Na,9
山景,2.1628457807045405,Na,7
仙境,2.1392626904289207,Nc,6
星空,1.874813669399816,Na,4
清幽,1.7142326804530683,VH,3
呂洞賓,1.4188775431649687,Nb,3
新北,1.405861579238004,Nc,7
幽靜,1.3963712642162553,VH,2
涼爽,1.14475152358764,VH,4
仙氣,1.1276170500376967,Na,3
獅公,1.086973431360963,Nb,7
髻尾山,1.086973431360963,Nc,6
仙公廟,1.0647382382194988,Nc,6
拜拜,1.062005552918942,VA,3
香火,1.0207564392722002,Na,3
鼎盛,1.0207564392722002,VH,3
單車,1.0125083046407213,Na,2
清新,1.0091966183923597,VH,2
山明水秀,1.0,VH,1
展望度,1.0,Na,1
散步,0.9739016381380987,VA,3
觀景台,0.923509244247153,Nc,4
騎車,0.9203884712767667,VA,2
神明,0.8638037658889828,Na,2
小吃店,0.8617612311232478,Nc,2
樟空子路,0.8081306666951507,Nc,3
健行,0.8035671403357032,VA,2
爬山,0.784272302326298,VA,3
營火蟲,0.7836069975745419,Na,1
廟會,0.7788766471414919,Na,4
漁光,0.7651226935998523,Nb,4
孚佑,0.7531642028875651,Nb,2
帝君,0.7531642028875651,Na,2
平溪,0.7074076865866383,Nc,5
師父,0.7071067811865475,Na,1
避暑,0.7071067811865475,VA,1
體驗,0.6381917916546921,VC,1
鄉間,0.6244656572538776,Nc,1
山頂,0.6162767466488928,Nc,2
祈福,0.614098063623142,VB,2
車泊,0.6112705525211708,Na,1
悠閒,0.6040374178520791,VH,1
熱點,0.5915713563056171,Na,2
茶葉,0.5782257708738185,Na,4
平溪山,0.5778464526852886,Nc,1
台北,0.5692379279094903,Nc,8
死角,0.5653046977434345,Nc,1
北宜,0.5598398923131347,Nc,2
快炒店,0.5584371295765476,Nc,2
楓葉,0.5539484779384752,Na,1
山靈,0.5464849675452931,Na,1
獅公髻尾山,0.5427330915729407,Nb,2
廟埕,0.5399124781790433,Na,1
風光明媚,0.5235852091428059,VH,1
雞肉,0.5220219233456809,Na,1
韓國,0.4930979652067439,Nc,1
新北市,0.4871638823300599,Nc,4
先祖,0.4871425027754724,Na,1
平安,0.4826618367400124,VH,2
茶山,0.4813020891903402,Na,1
梯田,0.46610363849246794,Na,3
仙公,0.4592779940474099,Nb,7
藍鵲,0.45790880684073143,Na,2
芬多精,0.45030199785216857,Na,2
平台,0.43868481898544964,Na,1
獅尾髻,0.4374010781962162,Na,1
遠地,0.4329739069030278,Nc,1
草地,0.4189610141676928,Nc,1
茶葉糖,0.4104191885089104,Na,2
坪林區,0.41010640119550307,Nc,3
拍攝,0.4005690075113101,VC,1
車軌,0.4005690075113101,Na,1
琉璃,0.4005690075113101,Na,1
低空,0.4005690075113101,Nc,1
登山,0.3866454348992223,VA,1
原始林,0.3825048314924191,Na,1
咖啡車,0.372022948837728,Na,1
祖師,0.3480205869655863,Na,1
純陽,0.3480205869655863,Nb,1
仙祖,0.3480205869655863,Nb,1
南山,0.34548747747411196,Nc,14
保佑,0.3356486277853024,VJ,1
車宿界,0.3264939605595204,Nc,1
流星,0.32205818944376335,Na,1
公園,0.32205818944376335,Nc,1
麵包店,0.31533557389784017,Nc,1
電扇,0.3089466271761887,Na,1
山巒,0.3089466271761887,Na,1
天分,0.30885868873662076,Na,1
瀑布,0.30181126743224246,Na,1
基隆,0.30181126743224246,Nc,1
天燈,0.30181126743224246,Na,1
熱炒店,0.2971523981604551,Nc,1
山巔,0.29368560587753423,Na,1
麵包,0.28744549116608165,Na,2
手工,0.28744549116608165,Na,1
市集,0.28744549116608165,Na,1
野菜,0.2832397441585575,Na,1
車流量,0.2832397441585575,Na,1
山產,0.2832397441585575,Na,1
布袋戲,0.2782968702804037,Na,1
懷念,0.2782968702804037,VJ,1
廟庭,0.26788407600142095,Nc,1
鐘聲,0.26198970696513146,Na,1
湖光山色,0.2478321372382863,Na,1
山客,0.2478321372382863,Na,1
仙宮廟,0.24553433482809203,Nc,1
海流,0.24553433482809203,Na,1
車程,0.24437187172891425,Na,1
跑車,0.24437187172891425,Na,1
能源,0.24385061687114928,Na,1
攤商,0.24385061687114928,Na,1
遼闊,0.23867381392109563,VH,1
老鷹,0.23867381392109563,Na,1
晨昏,0.23867381392109563,Na,1
佛寺,0.22366799963829642,Nc,1
儀容,0.22366799963829642,Na,1
祈求,0.22366799963829642,VE,1
機率,0.21782914864529793,Na,1
拍照,0.21093721669721602,VB,1
秀麗,0.21093721669721602,VH,1
踏青,0.2106131319453694,VA,1
古色古香,0.2052095942544552,VH,1
供桌,0.2052095942544552,Na,1
包種茶,0.1989207816962006,Na,2
頂双溪,0.1989207816962006,Nc,2
山嵐,0.19455192241636457,Na,1
文章,0.19455192241636457,Na,1
國五,0.16519211863193173,Na,2
生態,0.16519211863193173,Na,2
聖殿,0.1488370668237853,Nc,2
水泥路,0.14708421177481418,Na,1
深坑,0.14708421177481418,Nc,1
街景車,0.14708421177481418,Na,1
鐵門,0.14708421177481418,Na,1
壯觀,0.13827288394392867,VH,1
層次,0.10900333892633061,Na,1
獅公髻尾,0.10900333892633061,Na,3
水仙公廟,0.10900333892633061,Nc,1
新店站,0.10900333892633061,Nc,1
山峰,0.10900333892633061,Na,1
商家,0.10900333892633061,Na,1
自然,0.10900333892633061,VH,1
文山,0.0994603908481003,Nc,1
雲朵,0.0994603908481003,Na,1
露營區,0.0994603908481003,Nc,1
點影,0.0994603908481003,Na,1
雲層,0.0994603908481003,Na,1
車難,0.0994603908481003,Na,1
虎豹潭,0.0994603908481003,Nc,1
胡桶,0.0994603908481003,Na,1
競賽,0.0994603908481003,Na,1
灣曲,0.0994603908481003,Na,1
涼意,0.0994603908481003,Na,1
村人,0.0994603908481003,Na,1
景觀點,0.0994603908481003,Na,1
日軍,0.0994603908481003,Na,1
廟公会,0.0994603908481003,Na,1
悲劇,0.0994603908481003,Na,1
古道,0.0994603908481003,Na,1
山區,0.0994603908481003,Nc,1
七彩,0.0994603908481003,Na,1
中點站,0.0994603908481003,Nc,1
冠軍,0.0994603908481003,Na,1
古代,0.0994603908481003,Nd,1
台北区,0.0994603908481003,Nc,1
地域,0.0994603908481003,Na,1
大舌湖,0.0994603908481003,Nc,1
宜蘭,0.0994603908481003,Nc,1
售價,0.0994603908481003,Na,1
林口,0.08259605931596586,Nc,1
火燒寮山,0.08259605931596586,Nc,1
樓牌,0.08259605931596586,Na,1
業務,0.08259605931596586,Na,1
森林,0.08259605931596586,Na,1
大冠鷲,0.08259605931596586,Na,1
探勘點,0.08259605931596586,Na,1
富士,0.08259605931596586,Nb,1
原生種,0.08259605931596586,Na,1
闊瀨,0.08259605931596586,Nc,1
野生,0.08259605931596586,A,1
軟片,0.08259605931596586,Na,1
綠茶,0.07441853341189265,Na,1
英語,0.07441853341189265,Na,1
震撼,0.07441853341189265,VJ,1
普通話,0.07441853341189265,Na,1
僧侶,0.07441853341189265,Na,1
麵條,0.07441853341189265,Na,1
