words,tfidf,pos,freq
手作,4.696166848674526,Na,17
diy,3.871280341137704,FW,0
體驗,3.615808470265068,VC,10
市集,2.8444270015585813,Na,7
熱鬧,2.186865241678019,VH,4
教學,1.4686573897187336,VA,4
甲蟲刮,1.434743782550742,Na,2
藝術村,1.386523502856812,Nc,3
手作課,1.270244527868022,Na,2
文創,1.0193283622646714,Na,5
童趣,1.0,Na,1
放風,0.8722605171404816,VA,1
勞作,0.8508863048117579,Na,2
遛小孩,0.7856370867881752,VA,1
表演,0.7610195738069642,VC,3
佳節,0.5914312966291635,Na,1
蕃茄樹,0.5773502691896257,Na,1
粽子,0.5251808155362298,Na,1
黏土,0.5251808155362298,Na,1
南崁,0.5204134908534724,Nc,2
手作品,0.48965201410153253,Na,1
演藝廳,0.48580066179465564,Nc,1
萬花筒,0.4537733693655117,Na,1
遊憩所,0.4505499510180299,Nc,1
藝術,0.44497734641651177,Na,6
掛飾,0.43972237356282023,Na,1
手工藝,0.42346105729129957,Na,1
捏麵人,0.4103986843479966,Na,1
鈕扣,0.4103986843479966,Na,1
藝品,0.38223980390170814,Na,1
文化,0.35208282608369273,Na,1
水泥路,0.3377496884899523,Na,1
面紗,0.3377496884899523,Na,1
館慶,0.336620273346063,Na,2
人文,0.33574252529771015,Na,1
老屋,0.33574252529771015,Na,1
悠閒,0.33448355375281497,VH,1
趣味,0.33448355375281497,Na,1
相聲,0.32887312367163923,Na,1
計劃,0.3049949793699988,Na,1
善事,0.2987956511793276,Na,1
閒錢,0.2987956511793276,Na,1
歷史,0.26966483841555533,Na,3
文創類,0.2607602117163177,Na,1
粉專,0.2417562328224415,Nc,1
草地,0.2417562328224415,Nc,1
臺北,0.2417562328224415,Nc,1
曲藝團,0.2417562328224415,Na,1
商家,0.23227142269533765,Na,1
鬼城,0.1879011069332727,Na,1
服裝店,0.1879011069332727,Nc,1
歷史感,0.1879011069332727,Na,1
展演廳,0.1683101366730315,Nc,1
布袋戲,0.1683101366730315,Na,1
攤位,0.1683101366730315,Na,1
老少皆宜,0.1683101366730315,Na,1
葫蘆,0.1683101366730315,Na,1
軌道,0.1683101366730315,Na,1
拍攝,0.15111288609913656,VC,2
檳榔,0.07555644304956828,Na,1
草坪,0.07555644304956828,Na,1
腳踏車,0.07555644304956828,Na,1
空拍機,0.07555644304956828,Na,1
滑板車,0.07555644304956828,Na,1
野餐,0.07555644304956828,VA,1
導盲犬,0.07555644304956828,Na,1
咎責,0.07555644304956828,Na,1
周二,0.07555644304956828,Nb,1
古蹟,0.07555644304956828,Na,1
公務車,0.07555644304956828,Na,1
香菸,0.07555644304956828,Na,1
