words,tfidf,pos,freq
老街,24.26902617723672,Nc,150
客家,8.527373644892272,Na,61
桂花,7.656148038260586,Na,115
南庄,7.592994730705852,Nc,58
桂花巷,6.96212638496905,Nc,38
熱鬧,6.053565614331616,VH,20
悠閒,4.325689190733642,VH,11
桂花釀,4.316925179433488,Na,20
吊橋,3.321881534411847,Na,21
九份,3.1003089754825854,Nc,11
商家,2.674084442512085,Na,10
過年,2.534777576147828,VA,6
郵局,2.5132041713450928,Nc,16
文化,2.29963286418403,Na,9
散步,2.1526749922692456,VA,9
傳統,1.9807645444036142,VH,7
麻糬,1.9413718984739998,Na,6
客家菜,1.9309861254347236,Na,9
南莊,1.8266748950582867,Nc,6
苗栗,1.793033605153525,Nc,9
拍照,1.705039404890497,VB,8
清新,1.702407686615864,VH,5
商店,1.6832776194934582,Nc,6
客家味,1.5860848171673307,Na,2
歷史感,1.5435828694346432,Na,2
豆腐,1.4411062105527108,Na,5
古老,1.4035377461238507,VH,3
慢城,1.3087340540799375,Nc,3
市集,1.3017550692454158,Na,2
伴手禮,1.2765004665705373,Na,5
杏仁,1.2694779265042648,Na,4
康濟,1.1256401826316118,Nb,5
古色古香,1.1119402766609603,VH,2
花草,1.1015106077714205,Na,3
人情味,1.0936532721901784,Na,2
北埔,1.0723930339349317,Nc,3
攤販,1.0458960382272842,Na,5
攤位,1.0177242503876947,Na,2
深山,1.0078279166379547,Na,2
牛窩窩,1.0036344527439105,Na,2
豆干,0.9939170112711189,Na,5
草莓乾,0.971497903064453,Na,2
踏青,0.9666961940648986,VA,2
豆乾,0.8981961876034832,Na,7
皮蛋,0.8803947695822343,Na,1
勾勾湯,0.8538187348184958,Na,1
永昌宮,0.8282873047833368,Nc,7
丈母娘,0.8093325110289918,Na,6
表演,0.768845289224463,VC,2
洗衫坑,0.7551594530949219,Nc,5
小吃店,0.733035285129882,Nc,4
歷史,0.722577527772846,Na,5
小炒,0.7200663668077878,Na,3
古早味,0.697975698908503,Na,2
一角,0.6949516568329955,Nc,1
中正路,0.686994773194298,Nc,6
山城,0.6819097720731384,Na,4
桂花蜜,0.6717807801617097,Na,3
文創,0.6389691041706886,Na,2
竹南,0.63815223199767,Nc,2
農產品,0.6237473447815142,Na,1
寧靜,0.6184715709982083,VH,2
櫻花,0.6162571977750944,Na,2
麵店,0.5883046184499416,Nc,4
桂花酒,0.5869376261570198,Na,3
購物,0.5827727554522123,VA,2
冰鎮,0.5806188045958487,Nc,4
味兒,0.5765199816923271,Na,1
米食,0.5739867192867792,Na,3
客家莊,0.5730815169887256,Nc,1
網美照,0.5616504652150334,Na,1
步道,0.5574387138959049,Na,3
南庄鄉,0.5417001713188867,Nc,3
苗栗縣,0.5372065818650883,Nc,3
親切感,0.5370812307054235,Na,1
客家人,0.5370812307054235,Na,1
手工麵,0.5368398116790716,Na,3
村落,0.5303448695734262,Na,1
酒釀,0.5269657707173351,Na,1
重覆性,0.5257365790854138,Na,1
霜淇林,0.5244268326122382,Na,1
鮮奶,0.5244268326122382,Na,1
貓貓,0.5234706457085527,Na,1
東村,0.5192165085853337,Nc,2
山谷,0.50542153294795,Na,1
愜意,0.4800278901889128,VH,1
內用區,0.47177808336144667,Nc,1
形態,0.46746130033559086,Na,1
内灣南庄,0.46746130033559086,Nc,1
小城,0.46443592875859624,Na,1
桂花糕,0.46443592875859624,Na,1
發糕,0.4643126588132641,Na,1
麵食,0.4643126588132641,Na,1
刨冰,0.45884837970710934,Na,1
草苺乾,0.4566331656377684,Na,1
童玩,0.4562048247026551,Na,1
古物,0.4562048247026551,Na,1
香氣,0.44765392583525826,Na,2
香味,0.44676567343187534,Na,1
涼糕,0.44372576863819546,Na,2
懷舊,0.4418675700198402,VH,2
豆漿,0.43938906423475516,Na,1
嘉芯,0.43935246015118085,Nb,1
熱點,0.4339997577668831,Na,1
乃木崎,0.427861102133754,Nb,3
擂茶,0.427861102133754,Na,3
佳餚,0.42742043773947874,Na,1
特色菜,0.42742043773947874,Na,1
拉糖蔥,0.4249433904577839,Na,1
郊遊,0.42319052690998943,VA,1
小老街,0.41714508925714283,Nc,1
好人,0.4169093405913681,Na,1
郵便所,0.41461999006398614,Nc,1
美食街,0.40824573621095944,Nc,1
小吃街,0.40824573621095944,Nc,1
寺廟,0.4072995484678356,Nc,1
合彩,0.40539240230808665,Na,1
乾果,0.40539240230808665,Na,1
體驗,0.4013214916669162,VC,2
號誌,0.39475493309612786,Na,1
海鮮麵,0.3925484742130947,Na,1
土雞湯,0.3925484742130947,Na,1
市場,0.3925484742130947,Nc,1
叫賣聲,0.3901480739159887,Na,1
隔鄰,0.38405957715731187,Nc,1
新竹,0.38405957715731187,Nc,1
可比性,0.38405957715731187,Na,1
麵包,0.37307670656641956,Na,3
手工,0.37307670656641956,Na,5
鄉村感,0.36568152561371214,Na,1
薄片,0.35897924490184063,Na,2
復古,0.35825554309411817,VHC,1
武廟,0.3544254142161876,Nc,1
情人巷,0.35222485956550476,Nc,1
妹子,0.35222485956550476,Na,1
桂花類,0.3521031918266454,Na,1
豬血湯,0.3506871204274237,Na,1
樣式,0.34674708973966667,Na,2
水汴頭,0.34556616389492756,Nc,2
穿堂,0.33704609511134126,Nc,1
小費者,0.3335475063585996,Na,1
貓咪,0.3331809504413298,Na,1
甜食,0.330777771683841,Na,1
卡錢,0.328327656947002,Na,1
桐花,0.32393921216256927,Na,2
豬籠粄,0.3238791801920239,Na,4
幽靜,0.3191738364635643,VH,1
壁畫,0.31886362561265696,Na,1
街貓,0.31886362561265696,Na,1
晚飯,0.3160351753537502,Na,1
瀑布,0.3160351753537502,Na,1
板條,0.30932800543356553,Na,2
粄條,0.3091015919762269,Na,2
絕品,0.30553972347773534,Na,1
蟲鳴,0.30553972347773534,Na,1
河谷,0.30553972347773534,Nc,1
頭份,0.3019168868477664,Nc,1
紀念館,0.3019168868477664,Nc,1
夜市,0.3019168868477664,Nc,1
蘇維拉,0.3019168868477664,Nb,1
ㄧ般,0.29991301924368113,Nb,1
無車族,0.29991301924368113,Na,1
油耗味,0.29264052326549317,Na,1
花生粉,0.29264052326549317,Na,1
嘉玲,0.2855547138624054,Nb,2
親戚,0.28552218825871223,Na,1
銀杏樹,0.28060589722753404,Na,1
手沖,0.28060589722753404,Na,1
三灣,0.27901193324015894,Nc,1
原住民,0.27747375858995815,Na,1
江記,0.2739915973722472,Nb,2
南江,0.27205285566668164,Nc,2
老屋,0.27205285566668164,Na,2
圓仔冰,0.27142087546381366,Na,1
大老街,0.2602349264083243,Nc,1
家鄉,0.2602349264083243,Nc,1
菜包,0.2602349264083243,Na,1
消暑,0.25766959057977873,VA,3
大自然,0.2512306119090023,Nc,1
醬菜,0.2512306119090023,Na,1
麵包店,0.2512306119090023,Nc,1
蜜餞,0.2506417038558643,Na,1
奮起湖,0.2398351564750966,Nc,1
心血,0.23793210056132316,Na,1
玫瑰花,0.23793210056132316,Na,1
蒜蓉,0.23793210056132316,Na,1
蒜香,0.23793210056132316,Na,1
行徑,0.23761223109798066,Na,1
雞爪,0.23761223109798066,Na,1
桂花梅,0.23512310413258386,Na,2
薑粽,0.23512310413258386,Na,2
豬籠粄狗,0.23512310413258386,Na,2
杏仁茶,0.23474632725229125,Na,1
辣味,0.23474632725229125,Na,1
豆乾條,0.23474632725229125,Na,1
禮盒,0.23474632725229125,Na,1
桂花冰,0.2244683461131943,Na,1
露營,0.22370708096487965,VA,2
糖蔥,0.22370708096487965,Na,2
主力,0.22205864789530236,Na,1
紅磚屋,0.22205864789530236,Na,1
下午茶,0.21323892561914198,Na,2
家常菜,0.21162267220893477,Na,2
回客率,0.20140770948149989,Na,1
新客,0.20140770948149989,Nb,1
滷肉飯,0.19886217620519867,Na,1
泰奶味,0.19886217620519867,Na,1
泰式,0.19886217620519867,Na,1
印記,0.1929986758601783,Na,1
風絮,0.1929986758601783,Na,1
花枝燒,0.19001975769789883,Na,1
民怨,0.18538078362915533,Na,1
説法,0.18538078362915533,Na,1
售價,0.18538078362915533,Na,1
攤商,0.18538078362915533,Na,1
騎車,0.18369719121656702,VA,1
隱密度,0.18369719121656702,Na,1
嚮導,0.18040131872155885,Na,1
文物,0.18040131872155885,Na,1
站點,0.18040131872155885,Na,1
內灣,0.1766705216742416,Nc,2
目的地,0.17440099275948925,Nc,1
住宅區,0.17440099275948925,Nc,1
鐵鍋,0.17440099275948925,Na,1
米製品,0.15455079598811344,Na,1
蜜茶,0.15455079598811344,Na,1
黑糖板,0.15455079598811344,Na,1
米香,0.15455079598811344,Na,1
嚼勁,0.15455079598811344,Na,1
q度,0.15455079598811344,Na,0
婦女,0.15363827398362861,Na,1
苗栗市,0.15363827398362861,Nc,1
飲料店,0.152066742758074,Nc,1
橘子,0.152066742758074,Na,1
蒸籠,0.152066742758074,Na,1
拜拜,0.15172584996521593,VA,1
桂花茶,0.15172584996521593,Na,1
茶園坪,0.15172584996521593,Nc,1
許小弄,0.15172584996521593,Nb,1
負能量,0.1465720111851616,Na,1
冰淇淋,0.1465720111851616,Na,1
博物館,0.1465720111851616,Nc,1
在來,0.1465720111851616,Na,1
繡花球,0.1465720111851616,Na,2
露營區,0.14508221577505573,Nc,1
蔥醬油,0.1427773569312027,Na,1
蒜滷,0.1427773569312027,Na,1
涼爽,0.1427773569312027,VH,1
商店街,0.14056680733038443,Nc,1
彩球,0.14056680733038443,Na,1
標示牌,0.14056680733038443,Na,1
禮品,0.14056680733038443,Na,1
給皂機,0.14056680733038443,Na,1
花束,0.14056680733038443,Na,1
情人弄,0.13602642783334082,Na,1
黑糖粿,0.13602642783334082,Na,1
蕭記,0.13602642783334082,Nb,1
花枝,0.13602642783334082,Na,2
宿舍群,0.13602642783334082,Na,1
小乖,0.13602642783334082,Nb,1
大甲,0.13602642783334082,Nc,1
理查吉兒,0.13602642783334082,Nb,1
芋圓,0.11871639545849105,Na,1
用料,0.11871639545849105,Na,1
