words,tfidf,pos,freq
討海人,1.4550749470234488,Na,3
海景,1.0,Na,1
南方澳,0.9296276753132588,Nc,9
豆腐岬,0.8270847357198003,Na,5
文化館,0.7080184055897636,Nc,4
泛舟,0.7071067811865476,VA,1
蝦餅,0.7071067811865476,Na,1
集合點,0.7071067811865476,Na,1
博物館,0.6281122369289625,Nc,3
海邊,0.6063801061603757,Na,1
討海,0.5301998746719778,Nc,12
歷史,0.49618541024196816,Na,4
功用,0.45499649897094463,Na,1
埤子尾,0.4472135954999579,Nc,1
閩南,0.382627914227195,Nc,1
本土,0.382627914227195,Nc,1
討海館,0.3726874072199551,Nc,5
導覽,0.3701170327354864,VC,2
文物,0.3701170327354864,Na,1
館長,0.3701170327354864,Na,1
文化,0.356784072704263,Na,8
宜蘭,0.3527585446270449,Nc,4
泥沙,0.3419889416382979,Na,1
蘇澳,0.3269668767695417,Nc,4
海防,0.3074464333677352,Na,4
哨所,0.23058482502580138,Na,3
孤魂野鬼,0.2087154419552051,Na,2
疑難雜症,0.2087154419552051,Na,2
班車,0.19187898623656385,Na,1
珊瑚,0.1783920363521315,Na,2
生態,0.1783920363521315,Na,2
軍事,0.1537232166838676,Na,2
班哨,0.1537232166838676,Na,2
警察所,0.1537232166838676,Nc,2
警備總部,0.1537232166838676,Nc,2
港務,0.1537232166838676,Na,2
基隆,0.1537232166838676,Nc,2
斷橋,0.10435772097760256,VHC,1
平安,0.10435772097760256,VH,1
國聖井,0.10435772097760256,Nc,1
地方道路口,0.10435772097760256,Na,1
城隍爺,0.10435772097760256,Nb,1
廟宇,0.10435772097760256,Na,1
彰化,0.10435772097760256,Nc,1
東龍宮,0.10435772097760256,Nc,1
車禍,0.10435772097760256,Na,1
營運館,0.08919601817606575,Nc,1
蘭陽,0.08919601817606575,Nc,1
總面積,0.08919601817606575,Na,1
水域,0.08919601817606575,Na,1
漁業,0.08919601817606575,Na,1
服務區,0.08919601817606575,Nc,1
人文,0.08919601817606575,Na,1
崗哨,0.0768616083419338,Na,1
軍方,0.0768616083419338,Na,1
警政署,0.0768616083419338,Nc,1
蘇澳港,0.0768616083419338,Nc,1
總體,0.0768616083419338,Na,1
玻璃片,0.0768616083419338,Na,1
營房,0.0768616083419338,Nc,1
港檢處,0.0768616083419338,Nc,1
平地,0.0768616083419338,Na,1
內政部,0.0768616083419338,Nc,1
山壁,0.0768616083419338,Na,1
射擊孔,0.0768616083419338,Na,1
官兵,0.0768616083419338,Na,1
壁面,0.0768616083419338,Na,1
商港,0.0768616083419338,Nc,1
南興里,0.0768616083419338,Nc,1
南建里,0.0768616083419338,Nc,1
南堤,0.0768616083419338,Nc,1
軍管,0.0768616083419338,Na,1
